,Athletic Club (4-4-2),Athletic Club (4-4-2).1
0,1,Unai Simón
1,4,Iñigo Martínez
2,5,Yeray Álvarez
3,9,Iñaki Williams
4,10,Iker Muniain
5,14,Dani García
6,17,Yuri Berchiche
7,18,Óscar de Marcos
8,21,Ander Capa
9,22,Raúl García
10,27,Unai Vencedor Paris
11,Bench,Bench
12,13,Jokin Ezkieta
13,2,Jon Morcillo
14,3,Unai Núñez
15,6,Mikel Vesga
16,7,Ibai Gómez
17,8,Unai López
18,11,Iñigo Córdoba
19,12,Álex Berenguer
20,15,Iñigo Lekue
21,16,Oihan Sancet
22,20,Asier Villalibre
