,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lionel Messi,10.0,ar  ARG,FW,33-221,90,1,0,0,0,4,2,0,0,72,8,1,0,0,0.8,0.8,0.3,10,1,50,62,80.6,10,64,18,8,10
1,Antoine Griezmann,7.0,fr  FRA,LW,29-316,83,1,0,0,0,3,2,0,0,37,10,0,0,3,0.7,0.7,0.0,0,0,21,26,80.8,0,21,2,1,1
2,Clément Lenglet,15.0,fr  FRA,CB,25-228,7,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0
3,Ousmane Dembélé,11.0,fr  FRA,"RW,CM",23-261,86,0,0,0,0,1,0,0,0,51,13,2,0,1,0.1,0.1,0.2,3,2,31,37,83.8,4,35,7,3,6
4,Martin Braithwaite,9.0,dk  DEN,CM,29-240,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
5,Pedri,16.0,es  ESP,"AM,CM",18-067,90,0,0,0,0,0,0,0,0,56,14,4,1,2,0.0,0.0,0.0,1,0,37,45,82.2,5,39,6,0,2
6,Frenkie de Jong,21.0,nl  NED,DM,23-264,90,0,0,0,0,0,0,1,0,93,4,0,0,1,0.0,0.0,0.1,2,0,80,87,92.0,3,73,5,4,4
7,Miralem Pjanić,8.0,ba  BIH,DM,30-304,66,0,0,0,0,2,1,0,0,69,6,0,0,0,0.2,0.2,0.4,2,0,54,60,90.0,4,48,4,2,3
8,Sergi Roberto,20.0,es  ESP,DM,28-359,24,0,0,0,0,0,0,0,0,22,3,2,0,1,0.0,0.0,0.0,0,0,16,18,88.9,1,15,2,1,1
9,Jordi Alba,18.0,es  ESP,"LB,WB",31-316,90,0,0,0,0,1,1,1,0,84,8,0,1,2,0.2,0.2,0.0,0,0,59,76,77.6,5,48,2,0,1
10,Samuel Umtiti,23.0,fr  FRA,CB,27-078,90,0,0,0,0,0,0,0,0,76,5,1,1,2,0.0,0.0,0.0,1,0,65,67,97.0,1,51,2,0,0
11,Ronald Araújo,4.0,uy  URU,CB,21-330,90,0,0,0,0,1,0,0,0,56,5,1,1,3,0.0,0.0,0.0,1,0,41,46,89.1,0,38,2,1,1
12,Óscar Mingueza,28.0,es  ESP,"RB,WB",21-263,90,0,1,0,0,0,0,0,0,70,14,1,0,2,0.0,0.0,0.5,1,1,60,62,96.8,4,44,4,0,0
13,Marc-André ter Stegen,1.0,de  GER,GK,28-276,90,0,0,0,0,0,0,0,0,49,0,0,0,0,0.0,0.0,0.0,0,0,40,45,88.9,0,24,0,0,0
14,14 Players,,,,,990,2,1,0,0,12,6,2,0,742,92,12,4,17,1.9,1.9,1.4,21,4,559,637,87.8,37,506,54,20,29
