,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Lionel Messi,10.0,ar  ARG,FW,33-221,90,62,53,9,3,0,7,3,1,4,0,2,1,46,8,8,50,12,0,0,0,50,0,0,1,6
1,Antoine Griezmann,7.0,fr  FRA,LW,29-316,83,26,25,1,0,0,4,0,0,0,0,0,0,17,4,5,13,7,3,1,1,21,0,0,1,1
2,Clément Lenglet,15.0,fr  FRA,CB,25-228,7,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0
3,Ousmane Dembélé,11.0,fr  FRA,"RW,CM",23-261,86,37,36,1,0,0,2,0,4,1,0,0,0,34,0,3,20,15,0,0,2,31,0,0,1,1
4,Martin Braithwaite,9.0,dk  DEN,CM,29-240,4,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0
5,Pedri,16.0,es  ESP,"AM,CM",18-067,90,45,44,1,1,0,11,2,1,0,0,0,0,43,1,1,11,34,0,0,0,37,0,1,0,1
6,Frenkie de Jong,21.0,nl  NED,DM,23-264,90,87,86,1,1,0,9,0,0,0,0,0,0,83,0,4,10,75,0,0,0,80,0,0,2,1
7,Miralem Pjanić,8.0,ba  BIH,DM,30-304,66,60,55,5,3,0,10,1,0,2,0,0,0,50,2,8,1,55,1,0,2,54,0,1,2,0
8,Sergi Roberto,20.0,es  ESP,DM,28-359,24,18,17,1,1,0,1,0,0,0,0,0,0,17,0,1,3,15,0,0,0,16,0,0,1,0
9,Jordi Alba,18.0,es  ESP,"LB,WB",31-316,90,76,66,10,1,1,2,0,3,0,0,0,0,54,14,8,54,11,2,9,0,59,0,0,4,1
10,Samuel Umtiti,23.0,fr  FRA,CB,27-078,90,67,62,5,4,0,1,0,0,0,0,0,0,57,5,5,51,13,2,1,0,65,0,0,0,0
11,Ronald Araújo,4.0,uy  URU,CB,21-330,90,46,44,2,2,0,0,0,0,0,0,0,0,41,2,3,3,42,1,0,0,41,0,0,0,0
12,Óscar Mingueza,28.0,es  ESP,"RB,WB",21-263,90,62,56,6,2,0,5,1,1,0,0,0,0,49,7,6,2,54,1,4,1,60,0,0,0,0
13,Marc-André ter Stegen,1.0,de  GER,GK,28-276,90,45,40,5,2,0,7,1,0,0,0,0,0,30,3,12,11,28,0,0,5,40,0,0,1,0
14,14 Players,,,,,990,637,590,47,20,1,60,8,10,7,0,2,1,526,46,65,232,364,10,15,11,559,0,2,13,11
