,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Iñaki Williams,9.0,es  ESP,FW,26-230,83,0,0,0,0,1,0,0,0,27,14,0,1,0,0.0,0.0,0.0,0,0,10,17,58.8,1,21,3,0,0
1,Asier Villalibre,20.0,es  ESP,FW,23-123,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
2,Raúl García,22.0,es  ESP,FW,34-204,90,0,0,0,0,2,1,1,0,40,23,1,1,0,0.1,0.1,0.1,3,0,25,36,69.4,1,28,1,0,0
3,Iker Muniain,10.0,es  ESP,LM,28-043,90,0,0,0,0,0,0,0,0,61,17,3,1,0,0.0,0.0,0.1,3,0,41,48,85.4,5,44,6,1,1
4,Óscar de Marcos,18.0,es  ESP,RM,31-292,66,0,0,0,0,0,0,0,0,17,11,0,1,1,0.0,0.0,0.0,0,0,8,11,72.7,0,12,0,0,0
5,Álex Berenguer,12.0,es  ESP,RM,25-211,24,0,0,0,0,1,0,0,0,20,5,0,0,0,0.0,0.0,0.0,0,0,13,17,76.5,1,17,3,0,1
6,Unai Vencedor Paris,27.0,es  ESP,DM,20-077,65,0,0,0,0,0,0,0,0,29,20,2,0,3,0.0,0.0,0.0,0,0,15,20,75.0,1,19,0,0,0
7,Mikel Vesga,6.0,es  ESP,DM,27-255,25,0,0,0,0,0,0,0,0,16,9,0,0,1,0.0,0.0,0.0,0,0,14,15,93.3,1,13,1,0,0
8,Dani García,14.0,es  ESP,DM,30-252,90,0,0,0,0,0,0,0,0,69,16,2,1,2,0.0,0.0,0.0,2,0,53,62,85.5,3,51,0,0,0
9,Yuri Berchiche,17.0,es  ESP,LB,30-356,90,0,0,0,0,2,1,0,0,66,7,0,2,0,0.1,0.1,0.0,3,1,44,55,80.0,5,52,5,1,5
10,Iñigo Martínez,4.0,es  ESP,CB,29-259,90,0,0,0,0,0,0,0,0,60,16,2,2,2,0.0,0.0,0.0,1,1,47,52,90.4,3,39,4,0,0
11,Yeray Álvarez,5.0,es  ESP,CB,26-007,90,0,0,0,0,1,0,1,0,67,7,2,2,3,0.0,0.0,0.1,2,0,45,55,81.8,5,42,4,0,0
12,Ander Capa,21.0,es  ESP,RB,28-358,83,0,0,0,0,0,0,1,0,44,13,0,3,1,0.0,0.0,0.0,0,0,29,38,76.3,2,25,4,1,2
13,Iñigo Lekue,15.0,es  ESP,RB,27-272,7,0,0,0,0,0,0,0,0,8,2,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,8,0,0,1
14,Unai Simón,1.0,es  ESP,GK,23-234,90,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,14,0,0,0
15,15 Players,,,,,990,0,0,0,0,7,2,3,0,553,161,12,14,13,0.3,0.3,0.3,14,2,371,458,81.0,29,386,31,3,10
