,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Iñaki Williams,9.0,es  ESP,FW,26-230,83,17,15,2,0,0,3,0,0,0,0,0,0,13,4,0,0,16,1,0,0,10,0,1,0,2
1,Asier Villalibre,20.0,es  ESP,FW,23-123,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2,Raúl García,22.0,es  ESP,FW,34-204,90,36,36,0,0,0,4,0,1,0,0,0,0,19,9,8,6,24,2,0,3,25,1,1,1,2
3,Iker Muniain,10.0,es  ESP,LM,28-043,90,48,38,10,4,0,6,3,1,3,2,0,0,35,6,7,2,43,0,2,0,41,0,0,0,0
4,Óscar de Marcos,18.0,es  ESP,RM,31-292,66,11,11,0,0,0,4,0,1,0,0,0,0,9,2,0,2,8,1,0,0,8,0,0,0,0
5,Álex Berenguer,12.0,es  ESP,RM,25-211,24,17,17,0,0,0,2,0,2,0,0,0,0,12,3,2,3,14,0,0,0,13,0,0,0,0
6,Unai Vencedor Paris,27.0,es  ESP,DM,20-077,65,20,19,1,1,0,1,0,0,0,0,0,0,12,3,5,0,19,1,0,0,15,0,0,0,1
7,Mikel Vesga,6.0,es  ESP,DM,27-255,25,15,15,0,0,0,0,0,0,0,0,0,0,14,0,1,13,2,0,0,0,14,0,0,0,1
8,Dani García,14.0,es  ESP,DM,30-252,90,62,61,1,1,0,3,1,2,0,0,0,0,40,9,13,4,55,3,0,0,53,0,0,1,0
9,Yuri Berchiche,17.0,es  ESP,LB,30-356,90,55,46,9,0,0,1,2,4,0,0,0,0,28,22,5,39,4,3,9,0,44,0,2,0,4
10,Iñigo Martínez,4.0,es  ESP,CB,29-259,90,52,48,4,3,0,2,1,0,0,0,0,0,39,6,7,38,13,0,1,0,47,0,1,0,0
11,Yeray Álvarez,5.0,es  ESP,CB,26-007,90,55,54,1,1,0,4,1,0,0,0,0,0,40,8,7,4,49,2,0,0,45,0,1,0,1
12,Ander Capa,21.0,es  ESP,RB,28-358,83,38,26,12,1,0,3,0,0,0,0,0,0,19,17,2,1,25,1,11,0,29,0,0,1,4
13,Iñigo Lekue,15.0,es  ESP,RB,27-272,7,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,1,6,0,0,0,7,0,0,0,0
14,Unai Simón,1.0,es  ESP,GK,23-234,90,24,17,7,2,0,0,0,0,0,0,0,0,12,3,9,2,16,0,0,6,19,0,1,1,0
15,15 Players,,,,,990,458,411,47,13,0,33,8,11,3,2,0,0,299,92,67,115,295,14,23,9,371,1,7,4,15
