,Granada (4-2-3-1),Granada (4-2-3-1).1
0,1,Rui Silva
1,2,Dimitri Foulquier
2,6,Germán Sánchez
3,8,Yan Brice Eteki
4,9,Roberto Soldado
5,10,Antonio Puertas
6,11,Darwin Machís
7,15,Carlos Neva
8,19,Ángel Montoro
9,21,Yangel Herrera
10,22,Domingos Duarte
11,Bench,Bench
12,13,Aarón Escandell
13,31,Arnau Fàbrega Mañas
14,3,Nehuén Pérez
15,5,Luis Milla
16,7,Luis Javier Suárez
17,12,Ramon Azeez
18,14,Fede Vico
19,20,Jesús Vallejo
20,23,Jorge Molina
21,24,Kenedy
22,26,Alberto Soro
23,28,José Sánchez
