,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Roberto Soldado,9.0,es  ESP,FW,35-227,45,0,0,0,0,0,0,0,,0,7,2,28.6,0,1,6,0,0,0,0,1,1,0,1
1,Luis Javier Suárez,7.0,co  COL,FW,23-038,45,1,0,0,1,0,0,0,,0,14,1,7.1,0,8,6,1,0,0,1,0,1,0,0
2,Darwin Machís,11.0,ve  VEN,LW,27-337,64,1,1,0,1,0,0,1,0.0,1,4,1,25.0,0,3,1,1,0,0,1,1,2,0,0
3,Kenedy,24.0,br  BRA,LW,24-336,26,1,0,1,0,0,0,1,0.0,1,6,0,0.0,4,1,1,0,0,0,0,0,1,0,0
4,Antonio Puertas,10.0,es  ESP,"RW,LB",28-323,90,0,0,0,0,0,0,0,,0,8,1,12.5,3,3,2,2,0,0,2,0,0,0,0
5,Ángel Montoro,19.0,es  ESP,AM,32-198,45,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,1,1,0,0,0,0,0,0
6,Luis Milla,5.0,es  ESP,"AM,CM",26-094,45,1,1,1,0,0,1,2,50.0,1,9,1,11.1,3,5,1,0,0,0,0,0,1,0,0
7,Yan Brice Eteki,8.0,cm  CMR,CM,23-136,90,0,0,0,0,0,0,0,,0,21,4,19.0,5,13,3,2,0,0,2,0,0,0,0
8,Yangel Herrera,21.0,ve  VEN,CM,23-002,66,2,1,1,1,0,1,2,50.0,1,19,4,21.1,5,12,2,2,0,0,2,1,3,1,0
9,Alberto Soro,26.0,es  ESP,"RW,CM",21-306,24,0,0,0,0,0,0,0,,0,4,0,0.0,0,1,3,0,0,0,0,0,0,0,0
10,Carlos Neva,15.0,es  ESP,LB,24-211,45,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,1,0,0,1,0,0,0,0
11,Jesús Vallejo,20.0,es  ESP,"RB,AM",24-004,32,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0
12,Germán Sánchez,6.0,es  ESP,CB,34-070,90,1,1,1,0,0,1,1,100.0,0,2,1,50.0,0,2,0,1,0,0,1,1,2,3,0
13,Domingos Duarte,22.0,pt  POR,CB,25-305,90,0,0,0,0,0,0,1,0.0,1,3,1,33.3,1,2,0,1,1,0,0,3,3,2,0
14,Dimitri Foulquier,2.0,fr  FRA,"RB,LB",27-292,90,2,2,2,0,0,1,1,100.0,0,11,2,18.2,5,6,0,3,1,0,2,2,4,1,1
15,Rui Silva,1.0,pt  POR,GK,26-337,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,977,9,6,6,3,0,4,9,44.4,5,116,20,17.2,27,62,27,15,3,0,12,9,18,7,2
