,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,FW,33-199,64,65,0,2,44,22,3,63,0,1,0.0,0,0,48,299,145,9,1,1,0,0,70,60,85.7,3
1,Martin Braithwaite,9.0,dk  DEN,FW,29-218,26,12,0,1,3,9,2,12,0,0,,0,0,7,18,9,1,0,0,0,0,16,10,62.5,5
2,Antoine Griezmann,7.0,fr  FRA,LW,29-294,90,67,0,12,26,30,10,64,0,1,0.0,0,0,38,200,85,4,1,1,1,0,58,51,87.9,11
3,Ousmane Dembélé,11.0,fr  FRA,RW,23-239,72,71,0,0,47,32,5,71,1,2,50.0,1,1,56,311,209,15,6,3,1,2,74,68,91.9,8
4,Riqui Puig,12.0,es  ESP,"CM,RW",21-149,18,23,0,3,15,6,1,23,1,1,100.0,1,0,15,68,46,3,1,0,1,0,21,21,100.0,2
5,Pedri,16.0,es  ESP,CM,18-045,72,58,0,5,42,12,1,58,1,1,100.0,1,0,36,138,36,0,0,0,1,0,59,52,88.1,2
6,Francisco Trincão,17.0,pt  POR,"RW,CM",21-011,18,11,0,1,3,8,1,11,0,0,,0,0,10,67,24,2,1,0,0,1,13,10,76.9,2
7,Frenkie de Jong,21.0,nl  NED,CM,23-242,64,58,1,16,36,12,4,58,2,2,100.0,2,1,41,287,181,10,3,2,0,1,58,53,91.4,6
8,Miralem Pjanić,8.0,ba  BIH,CM,30-282,26,40,1,7,29,7,0,38,0,0,,0,0,26,59,30,4,1,0,0,0,37,35,94.6,2
9,Sergio Busquets,5.0,es  ESP,DM,32-177,90,129,3,45,73,12,0,126,0,0,,0,0,88,218,96,5,0,0,0,0,106,105,99.1,0
10,Jordi Alba,18.0,es  ESP,LB,31-294,90,81,2,21,42,24,3,71,0,0,,0,0,47,146,91,6,2,0,1,0,68,62,91.2,6
11,Samuel Umtiti,23.0,fr  FRA,CB,27-056,90,85,12,43,46,0,0,84,0,0,,0,0,63,308,201,6,0,0,0,1,68,65,95.6,0
12,Óscar Mingueza,28.0,es  ESP,CB,21-241,90,100,15,47,61,1,0,99,0,0,,0,0,84,405,288,5,1,0,0,0,91,90,98.9,0
13,Sergiño Dest,2.0,us  USA,RB,20-067,80,60,1,15,29,19,2,54,0,0,,0,0,46,146,76,3,0,0,1,0,52,48,92.3,3
14,Junior Firpo,24.0,es  ESP,RB,24-140,10,17,0,0,10,7,1,14,0,1,0.0,0,0,12,84,61,3,0,0,0,0,13,13,100.0,1
15,Marc-André ter Stegen,1.0,de  GER,GK,28-254,90,43,40,43,0,0,0,36,0,0,,0,0,28,94,74,0,0,0,0,0,22,22,100.0,0
16,16 Players,,,,,990,920,75,261,506,201,33,882,5,9,55.6,5,2,645,2848,1652,76,17,7,6,5,826,765,92.6,51
