,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-199,64,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,
1,Martin Braithwaite,9.0,dk  DEN,FW,29-218,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
2,Antoine Griezmann,7.0,fr  FRA,LW,29-294,90,0,0,0,0,3,1,0,1,0,0,0,0,6,1,0,100.0
3,Ousmane Dembélé,11.0,fr  FRA,RW,23-239,72,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
4,Riqui Puig,12.0,es  ESP,"CM,RW",21-149,18,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0.0
5,Pedri,16.0,es  ESP,CM,18-045,72,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,
6,Francisco Trincão,17.0,pt  POR,"RW,CM",21-011,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
7,Frenkie de Jong,21.0,nl  NED,CM,23-242,64,0,0,0,0,3,0,1,0,1,0,0,0,2,0,1,0.0
8,Miralem Pjanić,8.0,ba  BIH,CM,30-282,26,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0
9,Sergio Busquets,5.0,es  ESP,DM,32-177,90,1,0,0,2,3,0,0,1,0,0,0,0,12,4,3,57.1
10,Jordi Alba,18.0,es  ESP,LB,31-294,90,1,0,0,1,0,0,3,0,1,0,0,0,1,0,0,
11,Samuel Umtiti,23.0,fr  FRA,CB,27-056,90,0,0,0,0,1,0,0,5,1,0,0,0,7,2,1,66.7
12,Óscar Mingueza,28.0,es  ESP,CB,21-241,90,1,0,0,1,2,0,0,1,0,0,0,0,4,1,0,100.0
13,Sergiño Dest,2.0,us  USA,RB,20-067,80,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,
14,Junior Firpo,24.0,es  ESP,RB,24-140,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
15,Marc-André ter Stegen,1.0,de  GER,GK,28-254,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
16,16 Players,,,,,990,3,0,0,5,22,2,6,9,8,0,0,0,49,8,7,53.3
