,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Roberto Soldado,9.0,es  ESP,FW,35-227,45,8,12,66.7,127,35,7,10,70.0,0,1,0.0,1,1,100.0,0,0.0,0,2,0,0,2
1,Luis Javier Suárez,7.0,co  COL,FW,23-038,45,4,4,100.0,56,5,2,2,100.0,2,2,100.0,0,0,,0,0.0,0,0,0,0,0
2,Darwin Machís,11.0,ve  VEN,LW,27-337,64,13,16,81.3,185,63,6,8,75.0,4,5,80.0,1,1,100.0,0,0.0,0,1,1,0,2
3,Kenedy,24.0,br  BRA,LW,24-336,26,1,3,33.3,9,0,1,2,50.0,0,0,,0,1,0.0,0,0.0,0,0,0,0,0
4,Antonio Puertas,10.0,es  ESP,"RW,LB",28-323,90,16,26,61.5,251,73,4,5,80.0,11,14,78.6,0,4,0.0,0,0.0,1,0,3,0,4
5,Ángel Montoro,19.0,es  ESP,AM,32-198,45,20,23,87.0,425,138,8,8,100.0,9,9,100.0,3,5,60.0,0,0.0,1,2,0,0,0
6,Luis Milla,5.0,es  ESP,"AM,CM",26-094,45,19,21,90.5,412,136,7,7,100.0,7,7,100.0,5,7,71.4,0,0.2,1,1,2,0,2
7,Yan Brice Eteki,8.0,cm  CMR,CM,23-136,90,24,28,85.7,435,69,10,10,100.0,11,13,84.6,3,4,75.0,0,0.0,0,3,0,0,3
8,Yangel Herrera,21.0,ve  VEN,CM,23-002,66,23,27,85.2,436,123,9,10,90.0,13,14,92.9,1,2,50.0,0,0.0,0,5,0,0,4
9,Alberto Soro,26.0,es  ESP,"RW,CM",21-306,24,7,9,77.8,171,18,2,2,100.0,3,4,75.0,2,2,100.0,0,0.0,0,1,0,0,0
10,Carlos Neva,15.0,es  ESP,LB,24-211,45,11,13,84.6,172,85,7,7,100.0,4,4,100.0,0,1,0.0,0,0.0,0,0,0,0,0
11,Jesús Vallejo,20.0,es  ESP,"RB,AM",24-004,32,10,14,71.4,197,39,4,6,66.7,5,6,83.3,1,1,100.0,0,0.0,0,1,0,0,2
12,Germán Sánchez,6.0,es  ESP,CB,34-070,90,30,37,81.1,601,246,11,11,100.0,13,16,81.3,5,9,55.6,0,0.0,0,1,0,0,2
13,Domingos Duarte,22.0,pt  POR,CB,25-305,90,34,39,87.2,780,204,7,7,100.0,22,23,95.7,5,8,62.5,0,0.0,0,3,0,0,2
14,Dimitri Foulquier,2.0,fr  FRA,"RB,LB",27-292,90,22,27,81.5,383,130,9,11,81.8,8,9,88.9,4,6,66.7,0,0.0,0,1,0,0,1
15,Rui Silva,1.0,pt  POR,GK,26-337,90,13,24,54.2,532,412,0,0,,5,5,100.0,8,19,42.1,0,0.0,0,0,0,0,0
16,16 Players,,,,,977,255,323,78.9,5172,1776,94,106,88.7,117,132,88.6,39,71,54.9,0,0.2,3,21,6,0,24
