,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.20,0.60,10.2,0,0,0,1.7,1.7,0.11,+1.3,+1.3
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,14.7,0,20,0,0.0,1.36,0.00,0.00,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,32.9,3,30,10,33.3,0.91,0.30,0.10,0.30,25.9,0,0,0,1.3,1.3,0.04,+1.7,+1.7
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,+0.9,+0.9
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.00,0.00,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1,0,0,1.4,1.4,0.06,+0.6,+0.6
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35.0,3,29,6,20.7,0.83,0.17,0.10,0.50,8.8,0,0,0,2.9,2.9,0.10,+0.1,+0.1
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,10.0,2,11,6,54.5,1.10,0.60,0.18,0.33,21.8,0,0,0,1.6,1.6,0.14,+0.4,+0.4
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,1.4,0,1,0,0.0,0.70,0.00,0.00,,4.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,33.0,16,67,30,44.8,2.03,0.91,0.18,0.40,14.3,0,4,5,16.5,12.7,0.19,-0.5,-0.7
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,1.6,0,4,0,0.0,2.47,0.00,0.00,,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,16.7,0,5,0,0.0,0.30,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,3.9,0,10,0,0.0,2.59,0.00,0.00,,12.4,0,0,0,1.4,1.4,0.14,-1.4,-1.4
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
19,Ibrahim Amadou,fr  FRA,MF,Angers,27,1993,16.7,0,15,5,33.3,0.90,0.30,0.00,0.00,19.0,0,0,0,2.1,2.1,0.14,-2.1,-2.1
20,Romain Amalfitano,fr  FRA,"FW,DF",Dijon,30,1989,1.3,0,2,0,0.0,1.55,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0
21,Jordan Amavi,fr  FRA,DF,Marseille,26,1994,9.0,1,4,1,25.0,0.44,0.11,0.25,1.00,10.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8
22,Thierry Ambrose,fr  FRA,FW,Metz,23,1997,8.4,0,19,7,36.8,2.27,0.84,0.00,0.00,19.8,0,0,0,1.4,1.4,0.07,-1.4,-1.4
