,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,33,33,2889,32.1,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,18,15,1320,14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,38,32,2963,32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,24,9,912,10.1,3,2,3,0,0,1,0,0.30,0.20,0.49,0.30,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14,14,1260,14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.08,0.00,0.09,0.08,0.09
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,35,25,2418,26.9,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,6.1,0.05,0.18,0.23,0.05,0.23
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35,35,3147,35.0,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,3.8,0.08,0.03,0.11,0.08,0.11
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,33,27,2225,24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,5.8,0.05,0.19,0.23,0.05,0.23
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,20,10,899,10.0,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.6,1.6,0.3,1.9,0.16,0.03,0.19,0.16,0.19
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,5,2,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.11,0.00,0.11,0.11,0.11
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,3,2,187,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,35,34,2967,33.0,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.50,0.11,0.61,0.39,0.50
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.67,0.00,0.67,0.67,0.67
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,22,17,1505,16.7,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,21,1,348,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,1.5,0.36,0.03,0.39,0.36,0.39
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
19,Ibrahim Amadou,fr  FRA,MF,Angers,27,1993,24,20,1504,16.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.3,2.4,0.12,0.02,0.14,0.12,0.14
20,Romain Amalfitano,fr  FRA,"FW,DF",Dijon,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.03,0.02,0.04,0.03,0.04
21,Jordan Amavi,fr  FRA,DF,Marseille,26,1994,13,10,813,9.0,1,0,1,0,0,3,1,0.11,0.00,0.11,0.11,0.11,0.2,0.2,0.3,0.5,0.02,0.03,0.06,0.02,0.06
22,Thierry Ambrose,fr  FRA,FW,Metz,23,1997,23,5,753,8.4,0,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,1.4,1.4,1.5,2.9,0.17,0.18,0.35,0.17,0.35
23,Joachim Andersen,dk  DEN,DF,Lyon,24,1996,3,2,192,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.14,0.00,0.14,0.14,0.14
24,Benjamin André,fr  FRA,MF,Lille,29,1990,35,35,2885,32.1,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.3,2.4,0.03,0.04,0.08,0.03,0.08
25,Victorien Angban,ci  CIV,MF,Metz,23,1996,26,21,1672,18.6,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.5,0.8,0.02,0.03,0.04,0.02,0.04
26,Houssem Aouar,fr  FRA,"MF,FW",Lyon,22,1998,30,23,1781,19.8,7,3,5,2,2,3,1,0.35,0.15,0.51,0.25,0.40,10.3,8.8,4.0,12.8,0.52,0.20,0.72,0.44,0.65
27,Adil Aouchiche,fr  FRA,"MF,FW",Saint-Étienne,18,2002,34,21,1731,19.2,2,5,2,0,0,2,0,0.10,0.26,0.36,0.10,0.36,3.3,3.3,5.1,8.4,0.17,0.27,0.44,0.17,0.44
28,Dennis Appiah,fr  FRA,DF,Nantes,28,1992,22,16,1556,17.3,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.0,1.2,0.01,0.06,0.07,0.01,0.07
29,Luiz Araújo,br  BRA,MF,Lille,24,1996,28,17,1496,16.6,4,2,4,0,0,5,0,0.24,0.12,0.36,0.24,0.36,3.7,3.7,2.6,6.3,0.22,0.16,0.38,0.22,0.38
30,Karim Aribi,dz  ALG,FW,Nîmes,26,1994,13,2,294,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.31,0.07,0.38,0.31,0.38
31,Roger Assalé,ci  CIV,"FW,MF",Dijon,26,1993,17,11,828,9.2,1,1,1,0,0,0,1,0.11,0.11,0.22,0.11,0.22,0.8,0.8,0.6,1.4,0.09,0.07,0.16,0.09,0.16
32,Youcef Attal,dz  ALG,"DF,MF",Nice,24,1996,18,13,956,10.6,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.5,1.1,0.06,0.05,0.10,0.06,0.10
33,Jean-Kévin Augustin,fr  FRA,FW,Nantes,23,1997,3,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
34,Ludovic Baal,gf  GUF,DF,Brest,34,1986,7,3,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.17,0.17,0.00,0.17
35,Loïc Bade,fr  FRA,DF,Lens,20,2000,31,29,2610,29.0,0,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.02,0.01,0.03,0.02,0.03
36,Stéphane Bahoken,cm  CMR,FW,Angers,28,1992,30,18,1616,18.0,6,2,6,0,1,4,0,0.33,0.11,0.45,0.33,0.45,7.4,6.6,1.4,8.0,0.41,0.08,0.49,0.37,0.45
