,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,32.1,71,45,51,20,0,15,37,40.5,22,379,146,38.5,252,110,17,51,20,2,31,56,127,170,0
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,14.7,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,32.9,160,108,65,79,16,52,178,29.2,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,10.1,7,4,6,1,0,5,14,35.7,9,224,57,25.4,24,106,94,7,1,0,6,7,14,6,0
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14.0,22,11,16,6,0,9,17,52.9,8,107,45,42.1,73,29,5,16,5,0,11,32,54,142,2
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,26.9,91,62,39,40,12,28,86,32.6,58,695,186,26.8,210,358,127,36,4,0,32,41,132,24,2
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35.0,55,37,41,14,0,19,36,52.8,17,270,105,38.9,159,101,10,43,24,0,19,39,94,181,1
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,24.7,84,48,39,29,16,33,58,56.9,25,413,147,35.6,149,168,96,38,2,0,36,37,121,54,1
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,10.0,30,19,17,11,2,7,36,19.4,29,267,59,22.1,98,133,36,13,2,0,11,4,34,9,0
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,1.4,3,2,1,2,0,2,4,50.0,2,25,2,8.0,5,9,11,0,0,0,0,1,4,0,0
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,2.1,3,2,1,2,0,2,4,50.0,2,33,11,33.3,19,10,4,4,1,0,3,1,4,0,0
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,33.0,33,16,3,20,10,3,29,10.3,26,396,96,24.2,31,186,179,17,7,0,10,12,45,47,0
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,1.6,3,0,2,0,1,0,0,,0,29,2,6.9,4,9,16,2,0,0,2,1,4,3,0
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,16.7,62,32,36,15,11,31,47,66.0,16,262,87,33.2,150,73,39,35,2,0,33,34,96,46,0
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,3.9,10,8,2,7,1,1,8,12.5,7,104,39,37.5,14,48,42,10,1,0,9,3,13,0,0
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,1,0,0,1,0,0,0,0
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,1,2
19,Ibrahim Amadou,fr  FRA,MF,Angers,27,1993,16.7,44,30,15,27,2,8,30,26.7,22,404,112,27.7,145,226,33,18,5,0,13,29,73,36,0
20,Romain Amalfitano,fr  FRA,"FW,DF",Dijon,30,1989,1.3,2,1,2,0,0,2,5,40.0,3,13,2,15.4,9,2,2,2,1,0,1,1,3,1,0
21,Jordan Amavi,fr  FRA,DF,Marseille,26,1994,9.0,20,12,17,2,1,8,11,72.7,3,85,17,20.0,52,21,12,29,4,0,25,13,33,35,1
22,Thierry Ambrose,fr  FRA,FW,Metz,23,1997,8.4,9,5,1,2,6,1,8,12.5,7,158,39,24.7,8,84,66,3,0,0,3,3,12,3,0
23,Joachim Andersen,dk  DEN,DF,Lyon,24,1996,2.1,1,1,1,0,0,0,2,0.0,2,23,5,21.7,9,12,2,2,0,0,2,0,1,7,0
24,Benjamin André,fr  FRA,MF,Lille,29,1990,32.1,111,87,46,57,8,50,125,40.0,75,688,237,34.4,213,407,68,69,13,1,56,61,172,75,0
25,Victorien Angban,ci  CIV,MF,Metz,23,1996,18.6,35,30,16,17,2,17,37,45.9,20,243,88,36.2,88,128,27,28,4,0,24,13,48,9,0
26,Houssem Aouar,fr  FRA,"MF,FW",Lyon,22,1998,19.8,19,11,0,10,9,6,26,23.1,20,269,80,29.7,39,130,100,16,1,0,15,16,35,3,0
27,Adil Aouchiche,fr  FRA,"MF,FW",Saint-Étienne,18,2002,19.2,38,21,11,13,14,14,50,28.0,36,391,110,28.1,75,184,132,12,1,0,11,9,47,12,0
28,Dennis Appiah,fr  FRA,DF,Nantes,28,1992,17.3,58,30,36,14,8,32,59,54.2,27,297,103,34.7,157,98,42,33,7,0,26,21,79,70,0
29,Luiz Araújo,br  BRA,MF,Lille,24,1996,16.6,40,22,14,16,10,6,30,20.0,24,300,72,24.0,63,152,85,21,2,0,19,13,53,4,0
30,Karim Aribi,dz  ALG,FW,Nîmes,26,1994,3.3,1,0,0,1,0,0,4,0.0,4,60,14,23.3,8,26,26,2,0,0,2,0,1,4,0
31,Roger Assalé,ci  CIV,"FW,MF",Dijon,26,1993,9.2,9,7,4,3,2,4,13,30.8,9,123,32,26.0,11,66,46,7,3,0,4,7,16,2,0
32,Youcef Attal,dz  ALG,"DF,MF",Nice,24,1996,10.6,31,22,16,13,2,19,35,54.3,16,131,37,28.2,52,53,26,14,2,0,12,26,57,14,0
33,Jean-Kévin Augustin,fr  FRA,FW,Nantes,23,1997,0.4,1,1,0,1,0,1,1,100.0,0,8,4,50.0,0,7,1,0,0,0,0,0,1,0,0
34,Ludovic Baal,gf  GUF,DF,Brest,34,1986,3.3,7,4,4,3,0,1,2,50.0,1,59,13,22.0,33,22,4,8,1,0,7,2,9,8,0
35,Loïc Bade,fr  FRA,DF,Lens,20,2000,29.0,71,38,56,15,0,26,52,50.0,26,314,117,37.3,198,114,2,56,19,0,37,52,123,225,2
36,Stéphane Bahoken,cm  CMR,FW,Angers,28,1992,18.0,18,13,1,12,5,5,11,45.5,6,282,74,26.2,20,124,138,12,0,0,12,11,29,12,0
37,Stefan Bajic,fr  FRA,GK,Saint-Étienne,18,2001,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
38,Mitchel Bakker,nl  NED,DF,Paris S-G,20,2000,18.8,43,28,26,9,8,14,24,58.3,10,192,67,34.9,63,74,55,35,2,0,33,17,60,27,0
39,Dilane Bakwa,fr  FRA,"FW,MF",Bordeaux,17,2002,0.6,2,2,0,2,0,0,0,,0,16,2,12.5,5,9,2,1,0,0,1,1,3,0,0
40,Leonardo Balerdi,ar  ARG,DF,Marseille,21,1999,18.2,40,21,29,8,3,12,35,34.3,23,238,86,36.1,134,91,13,32,11,0,21,34,74,96,2
41,Fodé Ballo-Touré,sn  SEN,DF,Monaco,23,1997,7.4,25,18,16,8,1,5,14,35.7,9,105,35,33.3,42,43,20,14,0,0,14,5,30,12,0
42,Abdoulaye Bamba,ci  CIV,DF,Angers,30,1990,15.0,31,17,20,9,2,10,20,50.0,10,171,60,35.1,96,50,25,24,1,0,23,18,49,42,1
43,Jonathan Bamba,fr  FRA,MF,Lille,24,1996,33.2,43,32,16,20,7,13,72,18.1,59,467,139,29.8,107,201,159,32,1,0,31,28,71,13,0
44,Robson Bambu,br  BRA,DF,Nice,22,1997,11.6,20,13,16,4,0,7,13,53.8,6,101,41,40.6,60,33,8,12,8,0,4,12,32,65,0
45,Simon Banza,fr  FRA,FW,Lens,23,1996,15.2,18,10,1,6,11,1,11,9.1,10,178,52,29.2,9,82,87,20,3,0,17,5,23,13,0
46,Danilo Barbosa,br  BRA,DF,Nice,24,1996,2.8,5,3,4,1,0,3,7,42.9,4,20,7,35.0,11,8,1,3,1,0,2,1,6,13,1
47,Melvin Bard,fr  FRA,DF,Lyon,19,2000,4.8,16,11,11,5,0,7,14,50.0,7,93,34,36.6,42,41,10,12,2,0,10,6,22,18,0
48,Toma Bašić,hr  CRO,MF,Bordeaux,23,1996,28.9,31,22,15,14,2,10,53,18.9,43,502,122,24.3,173,256,73,28,4,0,24,23,54,49,0
49,Cristian Battocchio,it  ITA,"MF,FW",Brest,28,1992,3.9,5,3,1,4,0,2,8,25.0,6,51,10,19.6,9,33,9,2,0,0,2,3,8,5,0
50,Paul Baysse,fr  FRA,DF,Bordeaux,32,1988,29.0,33,24,22,9,2,10,20,50.0,10,222,91,41.0,134,79,9,40,23,0,17,37,70,169,3
