,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,0.1,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,32.1,2085,279,1203,986,41,21,2030,12,20,60.0,13,1,1339,7561,4188,58,8,1,8,15,1407,1365,97.0,7
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,14.7,871,26,223,551,174,13,825,23,32,71.9,23,0,595,3486,1689,60,22,1,6,18,628,565,90.0,14
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,32.9,1973,40,514,1269,309,17,1932,22,31,71.0,22,0,1362,5793,2893,107,34,3,41,46,1427,1321,92.6,47
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,10.1,345,9,41,165,158,44,330,12,27,44.4,14,0,209,968,504,27,11,4,35,25,492,253,51.4,66
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,0.0,1,0,0,0,1,0,1,1,1,100.0,1,0,2,7,3,0,0,0,0,0,1,1,100.0,0
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14.0,856,141,518,369,25,16,830,5,6,83.3,5,0,456,3013,1651,16,1,0,2,1,472,461,97.7,0
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,26.9,1942,55,419,1254,412,21,1890,55,83,66.3,59,2,1408,6992,3928,156,47,7,33,43,1559,1448,92.9,33
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35.0,3019,301,1348,1773,65,37,2951,8,11,72.7,9,0,2060,9495,5390,120,11,0,4,10,2299,2266,98.6,6
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,24.7,1909,56,400,937,681,64,1693,22,41,53.7,24,2,1157,5571,3395,168,54,5,30,27,1423,1200,84.3,125
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,10.0,464,16,126,299,89,14,457,18,24,75.0,20,0,348,2220,1335,44,11,2,21,18,375,319,85.1,22
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,1.4,28,0,4,19,8,3,25,1,1,100.0,1,0,17,71,48,2,0,0,1,2,57,16,28.1,4
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,2.1,173,2,39,101,48,5,153,8,10,80.0,9,0,133,537,367,19,6,1,4,4,137,128,93.4,7
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,33.0,1266,54,131,643,548,170,1207,14,27,51.9,15,1,655,2702,1326,71,21,17,92,36,1618,949,58.7,254
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,1.6,65,1,10,27,29,8,63,4,7,57.1,5,0,41,207,119,6,0,2,3,8,100,47,47.0,15
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,16.7,1142,56,374,566,249,14,948,22,34,64.7,23,1,657,2765,1713,67,21,4,13,21,670,620,92.5,24
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,3.9,185,1,18,76,108,23,184,5,14,35.7,6,0,140,683,464,27,12,2,19,12,198,134,67.7,30
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,0.2,12,0,2,6,4,1,12,1,1,100.0,1,0,7,4,2,0,0,0,3,2,9,8,88.9,3
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12.0,444,395,444,0,0,0,312,2,2,100.0,2,0,196,827,383,0,0,0,0,0,172,171,99.4,0
