,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
249,Romain Hamouma,fr  FRA,FW,Saint-Étienne,33,1987,19.7,657,554,103,21,1,135,37,42,43,8,25,8,411,109,137,67,536,18,7,8,446,3,26,17,37
250,Dalbert Henrique,br  BRA,DF,Rennes,26,1993,4.1,279,236,43,6,1,35,4,11,0,0,0,0,192,34,53,204,26,7,37,1,242,0,2,6,5
251,Luis Henrique,br  BRA,"DF,FW",Marseille,18,2001,7.5,295,272,23,3,1,40,6,30,0,0,0,0,212,42,41,50,217,7,19,0,228,1,5,14,9
252,Christophe Hérelle,mq  MTQ,DF,Brest,27,1992,15.3,874,847,27,18,0,81,25,2,0,0,0,0,675,66,133,101,708,32,9,0,784,0,21,6,1
253,Jérôme Hergault,fr  FRA,DF,Lorient,34,1986,18.1,884,701,183,10,0,88,13,29,0,0,0,0,504,194,186,68,597,34,173,2,688,1,19,23,22
254,Ander Herrera,es  ESP,MF,Paris S-G,30,1989,20.6,1750,1714,36,21,9,173,10,12,5,0,1,1,1496,135,119,190,1497,36,8,14,1591,7,14,32,13
255,Vitorino Hilton,br  BRA,DF,Montpellier,42,1977,23.5,1022,967,55,45,0,85,51,2,0,0,0,0,653,116,253,224,731,41,10,2,851,2,17,15,19
256,Franck Honorat,fr  FRA,"MF,FW",Brest,23,1996,27.3,1032,910,122,35,5,150,69,113,52,27,10,3,564,213,255,99,836,42,32,3,690,7,24,41,57
257,Fraser Hornby,sco  SCO,FW,Reims,20,1999,0.4,9,9,0,0,0,2,0,0,0,0,0,0,3,3,3,2,3,3,0,0,4,0,0,0,0
258,Adrien Hunou,fr  FRA,"FW,MF",Rennes,26,1994,6.5,195,185,10,0,0,42,3,8,0,0,0,0,128,50,17,12,166,12,2,1,149,0,2,5,8
259,Didier Ibrahim Ndong,ga  GAB,MF,Dijon,26,1994,29.0,1521,1488,33,30,2,180,54,16,0,0,0,0,1200,144,177,184,1259,46,3,2,1317,3,30,23,21
260,Mauro Icardi,ar  ARG,FW,Paris S-G,27,1993,12.0,176,154,22,0,3,32,1,2,1,0,0,0,124,30,22,28,128,10,1,4,144,0,2,5,5
261,Jonathan Ikone,fr  FRA,"MF,FW",Lille,22,1998,24.2,773,740,33,14,6,166,13,11,0,0,0,0,617,91,65,640,75,20,12,11,620,3,10,30,25
262,Yun Il-lok,kr  KOR,"MF,FW",Montpellier,28,1992,3.5,109,102,7,1,0,28,5,2,4,1,3,0,75,16,18,22,73,5,1,0,80,1,3,2,7
263,Corentin Jean,fr  FRA,"FW,MF",Lens,25,1995,6.4,171,160,11,1,1,27,5,7,5,1,3,1,116,26,29,25,126,12,2,3,129,0,3,3,8
264,Jesé,es  ESP,FW,Paris S-G,27,1993,0.3,8,8,0,0,0,2,0,1,0,0,0,0,8,0,0,1,7,0,0,0,4,0,0,1,2
