,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,32.1,4,1,0,38,23,0,0,56,45,0,0,0,289,93,49,65.5
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,32.9,5,0,0,43,38,0,18,46,108,1,0,0,298,8,19,29.6
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,10.1,1,0,0,18,8,7,4,7,4,0,0,0,40,36,62,36.7
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14.0,1,0,0,10,9,1,1,32,11,0,0,0,127,57,15,79.2
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,26.9,6,0,0,39,37,0,30,41,62,0,0,0,216,30,25,54.5
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35.0,6,0,0,22,30,2,1,39,37,0,1,0,331,128,57,69.2
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,24.7,6,0,0,40,36,1,100,37,48,1,0,0,251,50,38,56.8
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,10.0,0,0,0,16,15,1,4,4,19,0,1,0,67,5,11,31.3
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,1.4,0,0,0,2,2,3,1,1,2,1,0,0,5,1,5,16.7
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,2.1,0,0,0,2,3,0,4,1,2,0,0,0,12,2,4,33.3
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,33.0,5,0,0,39,49,13,33,12,16,1,0,0,121,168,139,54.7
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,1.6,0,0,0,6,5,0,1,1,0,0,0,0,7,4,6,40.0
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,16.7,4,0,0,25,26,1,15,34,32,1,1,0,132,10,15,40.0
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,3.9,1,0,0,8,8,0,9,3,8,0,0,0,23,6,11,35.3
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12.0,2,0,0,2,1,0,0,0,0,0,1,1,75,0,0,
