,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
427,Farid El Melali,dz  ALG,"FW,MF",Angers,23,1997,17,414,24,12.1,4.6,4,56,,13,15,7,1.47,6,8,-2,-0.43,+0.04,7.4,7.1,+0.3,+0.06,+0.34
428,Birger Meling,no  NOR,DF,Nîmes,25,1994,26,2328,90,68.1,25.9,26,90,,0,,1,1.12,33,45,-12,-0.46,+1.10,30.7,38.5,-7.8,-0.30,+0.99
429,Houboulang Mendes,fr  FRA,DF,Lorient,22,1998,17,1297,76,37.9,14.4,15,84,,2,20,10,1.18,18,25,-7,-0.49,-0.02,15.5,20.2,-4.7,-0.32,-0.34
430,Pedro Mendes,pt  POR,DF,Montpellier,29,1990,22,1626,74,47.5,18.1,19,83,,3,16,7,1.59,28,28,0,0.00,+0.10,21.4,29.6,-8.1,-0.45,+0.03
431,Thiago Mendes,br  BRA,MF,Lyon,28,1992,32,2243,70,65.6,24.9,23,87,,9,27,1,2.03,50,28,+22,+0.88,-0.34,51.9,30.1,+21.8,+0.87,-0.62
432,Alexandre Mendy,gw  GNB,FW,Bordeaux,26,1994,0,,,,,0,,,0,,3,,,,,,,,,,,
433,Antoine Mendy,fr  FRA,DF,Nice,16,2004,0,,,,,0,,,0,,1,,,,,,,,,,,
434,Batista Mendy,fr  FRA,MF,Nantes,20,2000,2,76,38,2.2,0.8,0,,,2,38,9,1.50,1,1,0,0.00,+0.22,1.0,1.6,-0.6,-0.75,-0.58
435,Edouard Mendy,sn  SEN,GK,Rennes,28,1992,1,90,90,2.6,1.0,1,90,,0,,0,1.00,1,1,0,0.00,-0.32,1.4,0.5,+0.9,+0.87,+0.63
436,Oucasse Mendy,fr  FRA,FW,Montpellier,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
437,Quentin Merlin,fr  FRA,FW,Nantes,18,2002,0,,,,,0,,,0,,8,,,,,,,,,,,
438,Mexer,mz  MOZ,DF,Bordeaux,31,1988,9,712,79,20.8,7.9,8,81,,1,67,12,0.67,8,17,-9,-1.14,-0.97,8.8,12.2,-3.4,-0.43,-0.06
439,Clément Michelin,fr  FRA,DF,Lens,23,1997,26,1154,44,33.7,12.8,13,78,,13,11,4,1.54,20,16,+4,+0.31,+0.43,19.4,17.5,+1.9,+0.15,-0.11
440,Edouard Michut,fr  FRA,MF,Paris S-G,17,2003,1,2,2,0.1,0.0,0,,,1,2,3,3.00,0,0,0,0.00,-1.53,0.0,0.1,-0.1,-3.75,-4.94
441,Florian Miguel,fr  FRA,DF,Nîmes,23,1996,21,1538,73,45.0,17.1,18,84,,3,8,10,0.86,13,28,-15,-0.88,-0.11,16.2,28.9,-12.7,-0.74,-0.22
442,William Mikelbrencis,fr  FRA,DF,Metz,16,2004,0,,,,,0,,,0,,1,,,,,,,,,,,
443,Arkadiusz Milik,pl  POL,FW,Marseille,26,1994,15,1220,81,35.7,13.6,14,85,,1,32,0,1.53,19,20,-1,-0.07,-0.40,19.0,15.9,+3.1,+0.23,+0.30
444,Enzo Millot,fr  FRA,MF,Monaco,18,2002,2,41,21,1.2,0.5,0,,,2,21,14,0.00,1,0,+1,+2.20,+1.32,1.3,0.0,+1.3,+2.90,+2.04
445,Stefan Mitrović,rs  SRB,DF,Strasbourg,30,1990,32,2784,87,81.4,30.9,31,88,,1,45,3,1.00,35,51,-16,-0.52,-1.51,41.8,40.3,+1.5,+0.05,-0.59
446,Anthony Modeste,fr  FRA,FW,Saint-Étienne,32,1988,7,293,42,8.6,3.3,3,64,,4,25,1,1.14,4,2,+2,+0.61,+1.02,4.6,2.9,+1.6,+0.50,+0.55
447,Terem Moffi,ng  NGA,FW,Lorient,21,1999,32,2073,65,60.6,23.0,26,75,,6,21,0,1.19,33,39,-6,-0.26,+0.54,30.4,30.8,-0.5,-0.02,+0.23
448,Dion Moise Sahi,ci  CIV,"FW,MF",Strasbourg,18,2001,6,94,16,2.7,1.0,0,,,6,16,1,0.83,4,1,+3,+2.87,+3.20,3.0,1.2,+1.8,+1.71,+1.60
449,Florent Mollet,fr  FRA,MF,Montpellier,28,1991,34,2355,69,68.9,26.2,30,76,,4,22,0,1.32,41,44,-3,-0.11,-0.20,33.2,46.6,-13.3,-0.51,-0.14
450,Thomas Monconduit,fr  FRA,MF,Lorient,29,1991,27,1153,43,33.7,12.8,12,74,,15,18,3,1.30,19,30,-11,-0.86,-0.58,16.4,20.5,-4.1,-0.32,-0.31
451,Kévin Monnet-Paquet,fr  FRA,"MF,FW",Saint-Étienne,31,1988,16,564,35,16.5,6.3,7,59,,9,17,9,1.69,7,11,-4,-0.64,-0.39,5.8,9.0,-3.1,-0.50,-0.59
452,Jérémy Morel,mg  MAD,DF,Lorient,36,1984,28,2493,89,72.9,27.7,28,89,,0,,2,1.18,41,52,-11,-0.40,+0.28,36.6,38.8,-2.2,-0.08,+0.12
453,Kevin Mouanga,fr  FRA,MF,Angers,20,2000,0,,,,,0,,,0,,3,,,,,,,,,,,
454,Aimen Moueffek,fr  FRA,"DF,MF",Saint-Étienne,19,2001,19,743,39,21.7,8.3,6,78,,13,21,11,1.11,6,17,-11,-1.33,-1.30,7.8,14.5,-6.7,-0.81,-1.03
455,Harold Moukoudi,cm  CMR,DF,Saint-Étienne,22,1997,26,2276,88,66.5,25.3,26,88,,0,,3,1.23,32,38,-6,-0.24,+0.23,34.3,32.7,+1.6,+0.06,+0.21
456,Jessy Moulin,fr  FRA,GK,Saint-Étienne,34,1986,29,2610,90,76.3,29.0,29,90,,0,,0,1.14,30,42,-12,-0.41,-0.41,34.2,34.1,+0.1,0.00,+0.04
457,Steve Mounié,bj  BEN,FW,Brest,25,1994,35,2680,77,78.4,29.8,31,84,,4,20,0,1.09,42,48,-6,-0.20,+1.01,36.7,41.3,-4.6,-0.16,+0.27
458,Samuel Moutoussamy,cd  COD,FW,Nantes,23,1996,1,82,82,2.4,0.9,1,82,,0,,4,1.00,0,0,0,0.00,+0.22,0.3,0.4,-0.1,-0.06,+0.13
459,Loris Mouyokolo,cg  CGO,DF,Lorient,19,2001,1,19,19,0.6,0.2,0,,,1,19,9,0.00,0,0,0,0.00,+0.48,0.4,0.2,+0.1,+0.52,+0.63
460,Benoît Mukinayi,fr  FRA,DF,Monaco,19,2001,35,2870,82,83.9,31.9,32,86,,3,42,3,2.03,63,37,+26,+0.82,-0.49,55.7,27.5,+28.2,+0.88,-0.03
461,Marshall Munetsi,zw  ZIM,"MF,DF",Reims,24,1996,27,1928,71,56.4,21.4,21,83,,6,30,3,1.19,26,31,-5,-0.23,-0.05,19.8,36.3,-16.5,-0.77,-0.10
462,Kévin N'Doram,fr  FRA,MF,Metz,24,1996,6,307,51,9.0,3.4,4,65,,2,25,0,0.67,3,7,-4,-1.17,-1.17,2.3,6.2,-3.9,-1.16,-1.04
463,Ferris N'Goma,fr  FRA,"FW,MF",Brest,27,1993,0,,,,,0,,,0,,6,,,,,,,,,,,
464,Stanley N'Soki,fr  FRA,DF,Nice,21,1999,18,1246,69,36.4,13.8,13,89,,5,19,13,0.89,14,24,-10,-0.72,-1.01,19.6,18.4,+1.1,+0.08,+0.34
465,Yuto Nagatomo,jp  JPN,DF,Marseille,33,1986,25,1594,64,46.6,17.7,20,74,,5,22,8,1.48,16,20,-4,-0.23,-0.77,17.5,18.0,-0.5,-0.03,-0.13
466,Kenny Nagera,fr  FRA,FW,Paris S-G,18,2002,1,2,2,0.1,0.0,0,,,1,2,0,3.00,0,0,0,0.00,-1.53,0.1,0.0,+0.1,+5.61,+4.43
467,Paul Nardi,fr  FRA,GK,Lorient,26,1994,23,2070,90,60.5,23.0,23,90,,0,,7,0.96,29,43,-14,-0.61,-0.34,30.4,32.3,-1.9,-0.08,+0.07
468,Keylor Navas,cr  CRC,GK,Paris S-G,33,1986,29,2520,87,73.7,28.0,29,87,,0,,1,2.28,64,18,+46,+1.64,+0.44,58.4,25.7,+32.7,+1.17,-0.07
469,Amjhad Nazih,fr  FRA,GK,Nîmes,18,2002,0,,,,,0,,,0,,22,,,,,,,,,,,
470,Papa Ndiaga Yade,sn  SEN,"FW,MF",Metz,20,2000,28,1001,36,29.3,11.1,9,65,,19,22,10,1.18,15,11,+4,+0.36,+0.66,12.1,13.4,-1.3,-0.12,+0.14
471,Bridge Ndilu,fr  FRA,"FW,MF",Nantes,20,2000,6,42,7,1.2,0.5,0,,,6,7,7,0.33,1,1,0,0.00,+0.21,1.2,0.6,+0.5,+1.11,+1.31
472,Dan Ndoye,ch  SUI,"FW,MF",Nice,19,2000,28,551,20,16.1,6.1,3,54,,25,16,9,1.36,9,8,+1,+0.16,+0.29,8.3,11.0,-2.7,-0.44,-0.36
473,Neymar,br  BRA,"MF,FW",Paris S-G,28,1992,18,1415,79,41.4,15.7,15,89,,3,26,0,1.94,32,15,+17,+1.08,-0.76,39.1,15.4,+23.7,+1.50,+0.54
474,Yvan Neyou,cm  CMR,MF,Saint-Étienne,23,1997,31,2438,79,71.3,27.1,29,82,,2,33,0,1.26,29,37,-8,-0.30,+0.07,35.9,32.3,+3.5,+0.13,+0.47
475,Simon Ngapandouetnbu,fr  FRA,GK,Marseille,17,2003,0,,,,,0,,,0,,8,,,,,,,,,,,
476,Muzinga Ngonda,cd  COD,DF,Dijon,25,1994,30,2307,77,67.5,25.6,25,86,,5,33,3,0.50,16,48,-32,-1.25,+0.05,20.4,45.4,-25.0,-0.98,+0.54
477,Ahmad Ngouyamsa,cm  CMR,DF,Dijon,19,2000,3,157,52,4.6,1.7,2,72,,1,13,9,1.00,1,4,-3,-1.72,-0.48,1.0,5.1,-4.1,-2.36,-1.26
478,Opa Nguette,sn  SEN,"FW,MF",Metz,26,1994,16,1132,71,33.1,12.6,13,81,,3,27,0,1.44,15,14,+1,+0.08,+0.28,14.6,15.9,-1.2,-0.10,+0.17
479,Abdoulaye Niakhate Ndiaye,sn  SEN,DF,Lyon,18,2002,0,,,,,0,,,0,,2,,,,,,,,,,,
480,Ibrahima Niane,sn  SEN,FW,Metz,21,1999,10,663,66,19.4,7.4,9,71,,1,23,0,1.00,8,8,0,0.00,+0.13,6.7,9.8,-3.0,-0.41,-0.25
481,M'Baye Niang,sn  SEN,FW,Rennes,25,1994,9,422,47,12.3,4.7,4,76,,5,24,2,1.67,4,3,+1,+0.21,-0.12,4.8,4.5,+0.2,+0.05,-0.24
482,Cheikh Niasse,sn  SEN,MF,Lille,20,2000,0,,,,,0,,,0,,14,,,,,,,,,,,
483,Casimir Ninga,td  CHA,FW,Angers,27,1993,1,23,23,0.7,0.3,0,,,1,23,0,3.00,0,0,0,0.00,+0.48,0.9,0.0,+0.9,+3.38,+3.65
484,Arnaud Nordin,fr  FRA,"MF,FW",Saint-Étienne,22,1998,32,1771,55,51.8,19.7,20,69,,12,32,0,1.34,20,24,-4,-0.20,+0.23,26.4,23.0,+3.5,+0.18,+0.38
485,Olivier Ntcham,fr  FRA,MF,Marseille,24,1996,4,120,30,3.5,1.3,2,45,,2,15,9,0.50,0,2,-2,-1.50,-1.75,0.6,2.0,-1.4,-1.07,-1.15
486,Kahamba Ntumba,fr  FRA,GK,Dijon,19,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
487,Gerzino Nyamsi,fr  FRA,DF,Rennes,23,1997,14,871,62,25.5,9.7,10,83,,4,9,16,1.14,13,9,+4,+0.41,+0.13,13.1,10.9,+2.2,+0.22,-0.05
488,Steven Nzonzi,fr  FRA,MF,Rennes,31,1988,34,2908,86,85.0,32.3,33,87,,1,33,1,1.62,49,35,+14,+0.43,+0.78,43.8,34.6,+9.2,+0.28,+0.15
489,Warmed Omari,fr  FRA,DF,Rennes,20,2000,0,,,,,0,,,0,,1,,,,,,,,,,,
490,Jonas Omlin,ch  SUI,GK,Montpellier,26,1994,31,2673,86,78.2,29.7,31,86,,0,,0,1.29,50,51,-1,-0.03,+0.09,41.2,56.7,-15.6,-0.52,-0.26
491,Henry Onyekuru,ng  NGA,FW,Monaco,23,1997,4,140,35,4.1,1.6,2,52,,2,19,2,1.75,3,3,0,0.00,-0.93,2.7,0.8,+1.9,+1.23,+0.36
492,Otávio,br  BRA,MF,Bordeaux,26,1994,18,1559,87,45.6,17.3,18,87,,0,,0,1.44,17,18,-1,-0.06,+0.57,15.6,24.7,-9.1,-0.52,-0.25
493,Remi Oudin,fr  FRA,"FW,MF",Bordeaux,23,1996,38,2420,64,70.8,26.9,27,77,,11,31,0,1.18,31,39,-8,-0.30,+0.24,30.0,40.7,-10.7,-0.40,-0.03
494,Adam Oudjani,dz  ALG,MF,Lens,18,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
495,Nabil Ouennas,fr  FRA,GK,Saint-Étienne,17,2003,0,,,,,0,,,0,,1,,,,,,,,,,,
496,Alexandre Oukidja,dz  ALG,GK,Metz,32,1988,34,3058,90,89.4,34.0,34,90,,0,,0,1.35,41,38,+3,+0.09,+1.83,37.6,41.2,-3.7,-0.11,+0.99
497,Zinédine Ould Khaled,fr  FRA,MF,Angers,20,2000,3,38,13,1.1,0.4,0,,,3,13,12,0.00,0,3,-3,-7.11,-6.71,0.4,1.1,-0.7,-1.71,-1.48
498,Abdoulaye Ousmane,mr  MTN,DF,Strasbourg,20,2000,0,,,,,0,,,0,,6,,,,,,,,,,,
499,Ambroise Oyongo,cm  CMR,DF,Montpellier,29,1991,13,558,43,16.3,6.2,5,84,,8,17,7,1.38,9,11,-2,-0.32,-0.32,6.0,10.5,-4.5,-0.73,-0.31
500,Cenk Özkacar,tr  TUR,DF,Lyon,19,2000,0,,,,,0,,,0,,4,,,,,,,,,,,
501,Pablo,br  BRA,DF,Bordeaux,29,1991,13,1076,83,31.5,12.0,12,87,,1,31,2,1.08,13,16,-3,-0.25,+0.17,11.5,14.8,-3.3,-0.27,+0.17
502,Vincent Pajot,fr  FRA,MF,Metz,29,1990,12,914,76,26.7,10.2,11,81,,1,25,0,1.25,12,11,+1,+0.10,+0.28,10.5,12.7,-2.2,-0.22,-0.01
503,Nicolas Pallois,fr  FRA,DF,Nantes,32,1987,32,2776,87,81.2,30.8,31,89,,1,4,2,1.16,39,44,-5,-0.16,+0.26,38.9,46.1,-7.2,-0.23,-0.27
504,Yannick Pandor,fr  FRA,GK,Lens,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
505,Jonathan Panzo,eng  ENG,DF,Dijon,19,2000,22,1801,82,52.7,20.0,21,84,,1,36,12,0.50,11,37,-26,-1.30,-0.08,14.8,39.0,-24.1,-1.21,-0.11
506,Lucas Paquetá,br  BRA,MF,Lyon,22,1997,30,2275,76,66.5,25.3,27,81,,3,33,1,2.10,61,31,+30,+1.19,+0.56,58.8,32.0,+26.8,+1.06,-0.08
507,Gaëtan Paquiez,fr  FRA,DF,Nîmes,26,1994,16,1046,65,30.6,11.6,11,86,,5,20,19,0.69,9,23,-14,-1.20,-0.56,12.0,23.2,-11.2,-0.97,-0.50
508,Rubén Pardo,es  ESP,"MF,FW",Bordeaux,27,1992,2,23,12,0.7,0.3,0,,,2,12,2,1.50,1,0,+1,+3.91,+4.31,0.1,0.3,-0.3,-1.06,-0.68
509,Leandro Paredes,ar  ARG,MF,Paris S-G,26,1994,21,1302,62,38.1,14.5,16,74,,5,22,6,1.90,35,14,+21,+1.45,-0.12,29.9,13.6,+16.3,+1.13,-0.09
510,Mateo Pavlović,ba  BIH,DF,Angers,30,1990,14,1104,79,32.3,12.3,12,89,,2,17,21,1.36,15,24,-9,-0.73,-0.38,11.5,19.6,-8.1,-0.66,-0.62
511,Strahinja Pavlović,rs  SRB,DF,Monaco,19,2001,1,1,1,0.0,0.0,0,,,1,1,5,3.00,0,0,0,0.00,-0.89,0.0,0.1,-0.1,-6.09,-6.98
512,Dimitri Payet,fr  FRA,"FW,MF",Marseille,33,1987,33,2417,73,70.7,26.9,28,82,,5,25,0,1.42,36,33,+3,+0.11,-0.25,36.0,27.9,+8.2,+0.30,+0.90
513,Yohann Pelé,fr  FRA,GK,Marseille,37,1982,1,90,90,2.6,1.0,1,90,,0,,34,0.00,1,2,-1,-1.00,-1.22,2.2,1.5,+0.7,+0.65,+0.63
514,Pietro Pellegri,it  ITA,"FW,MF",Monaco,19,2001,16,230,14,6.7,2.6,0,,,16,14,9,1.56,4,2,+2,+0.78,-0.12,5.1,1.7,+3.4,+1.34,+0.49
