,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-07,14:00,Premier League,Matchweek 1,Sun,Home,L,1.0,2.0,Brighton,1.4,1.5,62.0,73711.0,Harry Maguire,4-3-3,Paul Tierney,Match Report,
1,2022-08-13,17:30,Premier League,Matchweek 2,Sat,Away,L,0.0,4.0,Brentford,0.9,1.6,66.0,17051.0,Harry Maguire,4-2-3-1,Stuart Attwell,Match Report,
2,2022-08-22,20:00,Premier League,Matchweek 3,Mon,Home,W,2.0,1.0,Liverpool,1.8,1.3,30.0,74147.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
3,2022-08-27,12:30,Premier League,Matchweek 4,Sat,Away,W,1.0,0.0,Southampton,1.1,1.4,51.0,31196.0,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,
4,2022-09-01,20:00,Premier League,Matchweek 5,Thu,Away,W,1.0,0.0,Leicester City,1.5,0.7,47.0,32226.0,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,
5,2022-09-04,16:30,Premier League,Matchweek 6,Sun,Home,W,3.0,1.0,Arsenal,1.5,1.3,40.0,73431.0,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,
6,2022-09-08,20:00,Europa Lg,Group stage,Thu,Home,L,0.0,1.0,es  Real Sociedad,0.8,1.1,55.0,74310.0,Harry Maguire,4-2-3-1,Marco Di Bello,Match Report,
7,2022-09-15,19:45,Europa Lg,Group stage,Thu,Away,W,2.0,0.0,md  Sheriff Tiraspol,1.6,0.3,68.0,8734.0,Bruno Fernandes,4-2-3-1,Paweł Raczkowski,Match Report,
8,2022-09-18,14:00,Premier League,Matchweek 8,Sun,Home,,,,Leeds United,,,,,,,,,Match Postponed
9,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Away,L,3.0,6.0,Manchester City,1.7,3.2,47.0,53475.0,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,
10,2022-10-06,19:45,Europa Lg,Group stage,Thu,Away,W,3.0,2.0,cy  AC Omonia,3.1,1.2,73.0,20011.0,Bruno Fernandes,4-2-3-1,João Pinheiro,Match Report,
11,2022-10-09,19:00,Premier League,Matchweek 10,Sun,Away,W,2.0,1.0,Everton,1.4,0.6,60.0,39258.0,Bruno Fernandes,4-2-3-1,David Coote,Match Report,
12,2022-10-13,20:00,Europa Lg,Group stage,Thu,Home,W,1.0,0.0,cy  AC Omonia,4.2,0.1,78.0,74310.0,Bruno Fernandes,4-2-3-1,Jérôme Brisard,Match Report,
13,2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,D,0.0,0.0,Newcastle Utd,0.8,0.8,63.0,73726.0,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,
14,2022-10-19,20:15,Premier League,Matchweek 12,Wed,Home,W,2.0,0.0,Tottenham,1.5,0.6,52.0,73677.0,Bruno Fernandes,4-2-3-1,Simon Hooper,Match Report,
15,2022-10-22,17:30,Premier League,Matchweek 13,Sat,Away,D,1.0,1.0,Chelsea,0.8,1.1,52.0,39503.0,Bruno Fernandes,4-1-4-1,Stuart Attwell,Match Report,
16,2022-10-27,20:00,Europa Lg,Group stage,Thu,Home,W,3.0,0.0,md  Sheriff Tiraspol,2.7,0.0,74.0,73764.0,Bruno Fernandes,4-2-3-1,Anastasios Sidiropoulos,Match Report,
17,2022-10-30,16:15,Premier League,Matchweek 14,Sun,Home,W,1.0,0.0,West Ham,1.2,1.1,53.0,73682.0,Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
18,2022-11-03,18:45,Europa Lg,Group stage,Thu,Away,W,1.0,0.0,es  Real Sociedad,0.7,1.1,53.0,36744.0,Bruno Fernandes,4-2-3-1,Georgi Kabakov,Match Report,
19,2022-11-06,14:00,Premier League,Matchweek 15,Sun,Away,L,1.0,3.0,Aston Villa,0.5,0.6,58.0,42058.0,Cristiano Ronaldo,4-2-3-1,Anthony Taylor,Match Report,
20,2022-11-10,20:00,EFL Cup,Third round,Thu,Home,W,4.0,2.0,Aston Villa,,,59.0,72512.0,Harry Maguire,4-2-3-1,David Coote,Match Report,
21,2022-11-13,16:30,Premier League,Matchweek 16,Sun,Away,W,2.0,1.0,Fulham,2.5,1.4,47.0,24246.0,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,
22,2022-12-21,20:00,EFL Cup,Fourth round,Wed,Home,W,2.0,0.0,Burnley,,,55.0,62062.0,Bruno Fernandes,4-2-3-1,Graham Scott,Match Report,
23,2022-12-27,20:00,Premier League,Matchweek 17,Tue,Home,W,3.0,0.0,Nott'ham Forest,2.4,0.7,65.0,73608.0,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,
24,2022-12-31,12:30,Premier League,Matchweek 18,Sat,Away,W,1.0,0.0,Wolves,2.0,0.7,54.0,31658.0,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,
25,2023-01-03,20:00,Premier League,Matchweek 19,Tue,Home,W,3.0,0.0,Bournemouth,2.2,0.6,58.0,73322.0,Harry Maguire,4-2-3-1,Michael Salisbury,Match Report,
26,2023-01-06,20:00,FA Cup,Third round proper,Fri,Home,W,3.0,1.0,Everton,,,58.0,72306.0,Bruno Fernandes,4-2-3-1,Darren England,Match Report,
27,2023-01-10,20:00,EFL Cup,Quarter-finals,Tue,Home,,,,Charlton Ath,,,,,,,,Head-to-Head,
28,2023-01-14,12:30,Premier League,Matchweek 20,Sat,Home,,,,Manchester City,,,,,,,,Head-to-Head,
29,2023-01-18,20:00,Premier League,Matchweek 7,Wed,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,
30,2023-01-22,16:30,Premier League,Matchweek 21,Sun,Away,,,,Arsenal,,,,,,,,Head-to-Head,
31,2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,,,,Crystal Palace,,,,,,,,Head-to-Head,
32,2023-02-12,14:00,Premier League,Matchweek 23,Sun,Away,,,,Leeds United,,,,,,,,Head-to-Head,
33,2023-02-16,18:45,Europa Lg,Knockout round play-offs,Thu,Away,,,,es  Barcelona,,,,,,,,Head-to-Head,Leg 1 of 2
34,2023-02-19,14:00,Premier League,Matchweek 24,Sun,Home,,,,Leicester City,,,,,,,,Head-to-Head,
35,2023-02-23,20:00,Europa Lg,Knockout round play-offs,Thu,Home,,,,es  Barcelona,,,,,,,,Head-to-Head,Leg 2 of 2
36,2023-02-26,13:30,Premier League,Matchweek 25,Sun,Home,,,,Brentford,,,,,,,,Head-to-Head,
37,2023-03-04,15:00,Premier League,Matchweek 26,Sat,Away,,,,Liverpool,,,,,,,,Head-to-Head,
38,2023-03-11,15:00,Premier League,Matchweek 27,Sat,Home,,,,Southampton,,,,,,,,Head-to-Head,
39,2023-03-18,15:00,Premier League,Matchweek 28,Sat,Away,,,,Brighton,,,,,,,,Head-to-Head,
40,2023-04-01,15:00,Premier League,Matchweek 29,Sat,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,
41,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Home,,,,Everton,,,,,,,,Head-to-Head,
42,2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
43,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
44,2023-04-25,19:45,Premier League,Matchweek 33,Tue,Away,,,,Tottenham,,,,,,,,Head-to-Head,
45,2023-04-29,15:00,Premier League,Matchweek 34,Sat,Home,,,,Aston Villa,,,,,,,,Head-to-Head,
46,2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,West Ham,,,,,,,,Head-to-Head,
47,2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Wolves,,,,,,,,Head-to-Head,
48,2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,
49,2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Fulham,,,,,,,,Head-to-Head,
