,Huesca (3-5-2),Huesca (3-5-2).1
0,1,Álvaro Fernández
1,2,Idrissa Doumbia
2,3,Pablo Maffeo
3,4,Pablo Insua
4,7,David Ferreiro
5,9,Rafa Mir
6,11,Javi Galán
7,14,Jorge Pulido
8,17,Mikel Rico
9,18,Dimitris Siovas
10,23,Dani Escriche
11,Bench,Bench
12,13,Andrés Fernández
13,5,Pedro Mosquera
14,6,Sandro Ramírez
15,10,Sergio Gómez
16,12,Shinji Okazaki
17,15,Javier Ontiveros
18,19,Pedro López Muñoz
19,20,Jaime Seoane
20,21,Juan Carlos
21,24,Borja García
22,25,Denis Vavro
