,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,10,Sergiño Dest,Barcelona,Saved,24.0,Left Foot,,,,,
1,26,Pablo Maffeo,Huesca,Saved,16.0,Right Foot,,Pablo Maffeo,Dribble,Pablo Maffeo,Dribble
2,33,Jordi Alba,Barcelona,Woodwork,4.0,Left Foot,,Lionel Messi,Pass (Live),Antoine Griezmann,Pass (Live)
3,35,Antoine Griezmann,Barcelona,Goal,24.0,Left Foot,,Pedri,Pass (Live),Óscar Mingueza,Pass (Live)
4,42,Frenkie de Jong,Barcelona,Woodwork,7.0,Right Foot,Half volley,Jordi Alba,Pass (Live),Sergio Busquets,Pass (Live)
5,45+1,Ousmane Dembélé,Barcelona,Blocked,17.0,Left Foot,,Lionel Messi,Pass (Dead),,
6,45+4,Rafa Mir  (pen),Huesca,Goal,12.0,Right Foot,,Rafa Mir,Fouled,Pablo Maffeo,Pass (Live)
7,,,,,,,,,,,
8,53,Óscar Mingueza,Barcelona,Goal,6.0,Head,,Lionel Messi,Pass (Live),Ousmane Dembélé,Pass (Live)
9,65,Pablo Insua,Huesca,Off Target,12.0,Head,,David Ferreiro,Pass (Dead),,
10,75,David Ferreiro,Huesca,Saved,21.0,Right Foot,,Sergio Gómez,Pass (Live),Jaime Seoane,Pass (Live)
