,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Ousmane Dembélé,11.0,fr  FRA,FW,23-304,84,0,0,0,0,1,1,2,1,0,0,0,0,3,0,0,
1,Martin Braithwaite,9.0,dk  DEN,FW,29-283,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
2,Antoine Griezmann,7.0,fr  FRA,AM,29-359,68,0,0,0,0,2,0,2,1,1,0,0,0,5,1,0,100.0
3,Francisco Trincão,17.0,pt  POR,WB,21-076,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
4,Lionel Messi,10.0,ar  ARG,AM,33-264,90,0,0,0,1,5,0,2,0,1,0,0,0,2,0,0,
5,Pedri,16.0,es  ESP,"DM,AM",18-110,84,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,100.0
6,Riqui Puig,12.0,es  ESP,AM,21-214,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
7,Sergio Busquets,5.0,es  ESP,DM,32-242,90,0,0,0,2,1,0,1,2,1,0,0,0,9,0,1,0.0
8,Jordi Alba,18.0,es  ESP,WB,31-359,90,0,0,0,0,1,1,2,0,3,0,0,0,6,0,0,
9,Sergiño Dest,2.0,us  USA,WB,20-132,68,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,
10,Ilaix Moriba,27.0,es  ESP,"DM,AM",18-055,22,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,
11,Clément Lenglet,15.0,fr  FRA,CB,25-271,90,0,0,0,1,0,0,2,0,1,0,0,0,10,4,1,80.0
12,Frenkie de Jong,21.0,nl  NED,CB,23-307,62,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,
13,Ronald Araújo,4.0,uy  URU,CB,22-008,28,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
14,Óscar Mingueza,28.0,es  ESP,CB,21-306,90,0,0,0,2,2,0,0,2,3,0,0,0,7,1,1,50.0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-319,90,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,
16,16 Players,,,,,990,0,0,0,10,16,2,11,8,13,0,1,0,70,7,4,63.6
