,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Rafa Mir,9.0,es  ESP,FW,23-270,90,1,0,1,1,4,1,0,0,30,17,0,0,3,1.9,1.1,0.1,1,1,17,19,89.5,3,18,3,0,1
1,Dani Escriche,23.0,es  ESP,FW,22-356,59,0,0,0,0,0,0,1,0,30,27,2,1,1,0.0,0.0,0.9,1,0,17,23,73.9,0,21,2,0,4
2,Sergio Gómez,10.0,es  ESP,"AM,CM,FW",20-192,31,0,0,0,0,0,0,0,0,27,14,0,0,1,0.0,0.0,0.0,1,0,20,23,87.0,1,23,4,1,1
3,Mikel Rico,17.0,es  ESP,"CM,AM",36-131,90,0,0,0,0,0,0,0,0,61,34,2,2,2,0.0,0.0,0.0,1,0,48,53,90.6,3,46,2,2,3
4,David Ferreiro,7.0,es  ESP,CM,32-348,77,0,0,0,0,1,1,0,0,41,28,0,0,1,0.0,0.0,0.1,2,0,29,32,90.6,6,37,6,5,6
5,Javier Ontiveros,15.0,es  ESP,CM,23-187,13,0,0,0,0,0,0,0,0,17,2,2,0,0,0.0,0.0,0.0,0,0,8,13,61.5,0,11,3,1,2
6,Idrissa Doumbia,2.0,ci  CIV,DM,22-335,59,0,0,0,0,0,0,0,0,35,20,2,2,2,0.0,0.0,0.0,1,0,28,30,93.3,1,26,2,0,0
7,Jaime Seoane,20.0,es  ESP,DM,24-052,31,0,0,0,0,0,0,0,0,17,15,1,0,1,0.0,0.0,0.0,1,0,11,14,78.6,1,15,2,0,0
8,Javi Galán,11.0,es  ESP,WB,26-116,90,0,0,0,0,0,0,0,0,62,22,2,1,2,0.0,0.0,0.0,1,0,38,50,76.0,2,47,5,3,4
9,Pablo Maffeo,3.0,es  ESP,WB,23-246,77,0,0,0,0,1,1,0,0,46,14,0,0,2,0.1,0.1,0.2,5,1,27,38,71.1,2,32,6,2,3
10,Pedro López Muñoz,19.0,es  ESP,WB,37-134,13,0,0,0,0,0,0,0,0,8,7,1,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,3,0,0,0
11,Pablo Insua,4.0,es  ESP,CB,27-187,77,0,0,0,0,1,0,1,0,33,21,2,0,0,0.0,0.0,0.0,0,0,27,29,93.1,0,24,0,0,0
12,Denis Vavro,25.0,sk  SVK,CB,24-339,13,0,0,0,0,0,0,0,0,6,2,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,3,0,0,0
13,Dimitris Siovas,18.0,gr  GRE,CB,32-180,90,0,0,0,0,0,0,0,0,31,18,0,4,0,0.0,0.0,0.0,0,0,19,20,95.0,0,13,1,0,0
14,Jorge Pulido,14.0,es  ESP,CB,29-341,90,0,0,0,0,0,0,0,0,51,24,2,1,2,0.0,0.0,0.0,0,0,31,43,72.1,0,30,3,0,0
15,Álvaro Fernández,1.0,es  ESP,GK,22-336,90,0,0,0,0,0,0,0,0,21,1,0,0,0,0.0,0.0,0.0,0,0,13,19,68.4,0,8,0,0,0
16,16 Players,,,,,990,1,0,1,1,7,3,2,0,516,266,16,11,17,2.1,1.3,1.2,14,2,346,419,82.6,20,357,39,14,24
