,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ousmane Dembélé,11.0,fr  FRA,FW,23-304,84,44,0,1,9,36,11,43,4,6,66.7,4,0,41,199,118,5,2,2,1,0,45,38,84.4,19
1,Martin Braithwaite,9.0,dk  DEN,FW,29-283,6,7,1,3,3,3,0,7,1,1,100.0,1,0,6,25,12,1,1,0,1,0,5,4,80.0,1
2,Antoine Griezmann,7.0,fr  FRA,AM,29-359,68,62,2,4,23,37,7,61,2,2,100.0,2,0,46,110,25,1,1,0,1,1,58,53,91.4,10
3,Francisco Trincão,17.0,pt  POR,WB,21-076,22,15,1,7,6,4,1,15,1,3,33.3,1,0,13,116,87,1,1,0,3,0,15,11,73.3,2
4,Lionel Messi,10.0,ar  ARG,AM,33-264,90,113,0,1,54,67,4,108,6,10,60.0,7,0,106,489,284,20,7,0,1,2,117,104,88.9,11
5,Pedri,16.0,es  ESP,"DM,AM",18-110,84,96,2,7,46,53,1,93,0,1,0.0,0,0,82,356,143,4,2,0,1,1,86,82,95.3,3
6,Riqui Puig,12.0,es  ESP,AM,21-214,6,13,0,2,10,2,0,13,0,0,,0,0,12,83,29,2,1,0,0,0,13,13,100.0,0
7,Sergio Busquets,5.0,es  ESP,DM,32-242,90,134,3,19,93,30,0,128,1,2,50.0,1,0,106,307,174,10,4,0,1,0,115,112,97.4,2
8,Jordi Alba,18.0,es  ESP,WB,31-359,90,94,1,16,31,52,1,88,2,3,66.7,3,1,75,240,105,5,1,0,2,1,85,77,90.6,2
9,Sergiño Dest,2.0,us  USA,WB,20-132,68,68,2,5,19,45,1,65,0,0,,0,0,59,167,93,6,0,1,0,0,60,57,95.0,3
10,Ilaix Moriba,27.0,es  ESP,"DM,AM",18-055,22,35,2,5,24,10,1,35,1,1,100.0,1,0,33,130,94,4,2,1,0,0,32,31,96.9,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-271,90,112,6,29,64,25,3,111,1,1,100.0,1,0,88,348,149,3,3,0,2,0,92,92,100.0,0
12,Frenkie de Jong,21.0,nl  NED,CB,23-307,62,88,4,18,69,9,1,88,0,0,,0,0,74,400,178,8,2,0,0,0,79,79,100.0,0
13,Ronald Araújo,4.0,uy  URU,CB,22-008,28,24,6,13,12,0,0,23,0,0,,0,0,15,57,40,1,0,0,0,0,16,16,100.0,0
14,Óscar Mingueza,28.0,es  ESP,CB,21-306,90,107,5,25,67,25,1,103,0,0,,0,0,77,300,159,9,6,0,0,2,89,86,96.6,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-319,90,27,21,27,0,0,0,21,0,0,,0,0,16,43,23,0,0,0,0,0,16,16,100.0,0
16,16 Players,,,,,990,1039,56,182,530,398,32,1002,19,30,63.3,21,1,849,3370,1713,80,33,4,13,7,923,871,94.4,53
