,Possession_Barcelona,Possession_Huesca
0,69%,31%
1,Passing Accuracy,Passing Accuracy
2,871 of 938 —  93%,83%  — 346 of 419
3,Shots on Target,Shots on Target
4,5 of 12 —  42%,43%  — 3 of 7
5,Saves,Saves
6,3 of 3 —  100%,20%  — 1 of 5
7,Cards,Cards
8,,
