,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Rafa Mir,9.0,es  ESP,FW,23-270,90,17,19,89.5,301,83,9,10,90.0,5,5,100.0,3,3,100.0,0,0.1,1,1,0,0,3
1,Dani Escriche,23.0,es  ESP,FW,22-356,59,17,23,73.9,251,24,11,14,78.6,6,7,85.7,0,1,0.0,0,0.9,1,0,0,0,0
2,Sergio Gómez,10.0,es  ESP,"AM,CM,FW",20-192,31,20,23,87.0,315,74,12,15,80.0,7,7,100.0,1,1,100.0,0,0.0,1,3,0,0,1
3,Mikel Rico,17.0,es  ESP,"CM,AM",36-131,90,48,53,90.6,823,166,24,25,96.0,18,19,94.7,6,8,75.0,0,0.0,0,1,0,0,3
4,David Ferreiro,7.0,es  ESP,CM,32-348,77,29,32,90.6,637,206,12,12,100.0,10,11,90.9,7,8,87.5,0,0.1,2,4,0,0,6
5,Javier Ontiveros,15.0,es  ESP,CM,23-187,13,8,13,61.5,102,12,6,8,75.0,2,4,50.0,0,1,0.0,0,0.0,0,0,0,0,0
6,Idrissa Doumbia,2.0,ci  CIV,DM,22-335,59,28,30,93.3,489,97,14,14,100.0,11,12,91.7,3,3,100.0,0,0.0,0,4,0,0,1
7,Jaime Seoane,20.0,es  ESP,DM,24-052,31,11,14,78.6,228,42,5,7,71.4,3,3,100.0,3,4,75.0,0,0.0,0,0,1,0,1
8,Javi Galán,11.0,es  ESP,WB,26-116,90,38,50,76.0,704,309,14,19,73.7,20,21,95.2,4,8,50.0,0,0.0,0,2,1,0,2
9,Pablo Maffeo,3.0,es  ESP,WB,23-246,77,27,38,71.1,495,181,13,16,81.3,9,11,81.8,4,7,57.1,0,0.2,1,1,4,2,2
10,Pedro López Muñoz,19.0,es  ESP,WB,37-134,13,7,7,100.0,171,32,2,2,100.0,3,3,100.0,2,2,100.0,0,0.0,0,0,0,0,0
11,Pablo Insua,4.0,es  ESP,CB,27-187,77,27,29,93.1,650,299,8,8,100.0,12,12,100.0,7,9,77.8,0,0.0,0,2,0,0,0
12,Denis Vavro,25.0,sk  SVK,CB,24-339,13,6,6,100.0,148,38,0,0,,5,5,100.0,1,1,100.0,0,0.0,0,1,0,0,1
13,Dimitris Siovas,18.0,gr  GRE,CB,32-180,90,19,20,95.0,354,110,9,9,100.0,8,8,100.0,2,3,66.7,0,0.0,0,2,0,0,0
14,Jorge Pulido,14.0,es  ESP,CB,29-341,90,31,43,72.1,577,285,15,15,100.0,12,19,63.2,4,7,57.1,0,0.0,0,1,0,0,0
15,Álvaro Fernández,1.0,es  ESP,GK,22-336,90,13,19,68.4,300,106,3,3,100.0,8,8,100.0,2,8,25.0,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,346,419,82.6,6545,2064,157,177,88.7,139,155,89.7,49,74,66.2,0,1.2,6,22,6,2,20
