,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Ousmane Dembélé,11.0,fr  FRA,FW,23-304,84,0,0,0,0,1,0,0,0,44,8,0,1,0,0.0,0.0,0.1,2,1,33,38,86.8,4,41,5,4,6
1,Martin Braithwaite,9.0,dk  DEN,FW,29-283,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,6,1,1,1
2,Antoine Griezmann,7.0,fr  FRA,AM,29-359,68,1,0,0,0,1,1,0,0,62,21,1,1,0,0.0,0.0,0.0,2,0,52,55,94.5,2,46,1,2,2
3,Francisco Trincão,17.0,pt  POR,WB,21-076,22,0,1,0,0,0,0,0,0,15,10,1,0,1,0.0,0.0,0.0,1,1,7,8,87.5,0,13,1,1,3
4,Lionel Messi,10.0,ar  ARG,AM,33-264,90,2,1,0,0,6,2,0,0,113,12,1,0,1,0.7,0.7,0.5,7,2,81,95,85.3,12,106,20,6,10
5,Pedri,16.0,es  ESP,"DM,AM",18-110,84,0,1,0,0,0,0,0,0,96,25,2,1,3,0.0,0.0,0.5,3,1,80,87,92.0,8,82,4,0,1
6,Riqui Puig,12.0,es  ESP,AM,21-214,6,0,0,0,0,0,0,0,0,13,2,0,0,0,0.0,0.0,0.0,1,1,12,13,92.3,1,12,2,0,0
7,Sergio Busquets,5.0,es  ESP,DM,32-242,90,0,1,0,0,0,0,0,0,134,30,2,2,2,0.0,0.0,0.0,2,1,119,128,93.0,4,106,10,1,2
8,Jordi Alba,18.0,es  ESP,WB,31-359,90,0,0,0,0,1,0,0,0,94,19,3,0,1,0.3,0.3,0.3,1,0,79,85,92.9,8,75,5,2,3
9,Sergiño Dest,2.0,us  USA,WB,20-132,68,0,0,0,0,1,1,0,0,68,13,0,1,2,0.0,0.0,0.0,0,0,61,64,95.3,5,59,6,0,0
10,Ilaix Moriba,27.0,es  ESP,"DM,AM",18-055,22,0,0,0,0,0,0,0,0,35,7,1,0,0,0.0,0.0,0.0,0,0,33,34,97.1,1,33,4,1,1
11,Clément Lenglet,15.0,fr  FRA,CB,25-271,90,0,0,0,0,0,0,0,0,112,10,1,0,2,0.0,0.0,0.0,0,0,97,102,95.1,5,88,3,1,1
12,Frenkie de Jong,21.0,nl  NED,CB,23-307,62,0,0,0,0,1,0,0,0,88,5,2,0,1,0.3,0.3,0.0,0,0,83,84,98.8,0,74,8,0,0
13,Ronald Araújo,4.0,uy  URU,CB,22-008,28,0,0,0,0,0,0,0,0,24,4,0,0,1,0.0,0.0,0.0,0,0,19,20,95.0,0,15,1,0,0
14,Óscar Mingueza,28.0,es  ESP,CB,21-306,90,1,0,0,0,1,1,0,0,107,21,3,2,2,0.2,0.2,0.0,1,1,88,93,94.6,3,77,9,0,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-319,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,16,0,0,0
16,16 Players,,,,,990,4,4,0,0,12,5,0,0,1039,187,17,8,16,1.6,1.6,1.5,20,8,871,938,92.9,53,849,80,19,30
