,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Rafa Mir,9.0,es  ESP,FW,23-270,90,19,16,3,0,0,6,1,0,0,0,0,0,12,3,4,3,13,1,1,0,17,0,0,0,1
1,Dani Escriche,23.0,es  ESP,FW,22-356,59,23,22,1,0,0,6,0,0,0,0,0,0,16,3,4,2,17,2,1,0,17,0,0,1,2
2,Sergio Gómez,10.0,es  ESP,"AM,CM,FW",20-192,31,23,23,0,0,0,7,1,1,0,0,0,0,21,1,1,19,4,0,0,0,20,0,1,1,0
3,Mikel Rico,17.0,es  ESP,"CM,AM",36-131,90,53,52,1,0,0,20,1,1,0,0,0,0,45,5,3,3,48,2,0,0,48,0,1,1,2
4,David Ferreiro,7.0,es  ESP,CM,32-348,77,32,29,3,0,0,9,3,1,1,0,1,0,25,3,4,4,28,0,0,0,29,0,1,0,1
5,Javier Ontiveros,15.0,es  ESP,CM,23-187,13,13,12,1,0,0,6,0,2,1,0,0,0,11,0,2,2,10,1,0,0,8,0,0,0,0
6,Idrissa Doumbia,2.0,ci  CIV,DM,22-335,59,30,30,0,0,0,6,0,0,0,0,0,0,28,2,0,8,22,0,0,0,28,0,1,0,1
7,Jaime Seoane,20.0,es  ESP,DM,24-052,31,14,14,0,0,0,2,1,0,0,0,0,0,9,4,1,2,11,0,0,1,11,0,1,2,0
8,Javi Galán,11.0,es  ESP,WB,26-116,90,50,42,8,2,0,14,1,0,1,0,1,0,35,9,6,44,1,0,5,0,38,0,0,2,4
9,Pablo Maffeo,3.0,es  ESP,WB,23-246,77,38,32,6,1,0,12,2,3,0,0,0,0,22,5,11,3,28,2,5,0,27,0,1,1,4
10,Pedro López Muñoz,19.0,es  ESP,WB,37-134,13,7,5,2,1,0,1,1,0,0,0,0,0,5,1,1,0,5,0,1,0,7,0,0,0,0
11,Pablo Insua,4.0,es  ESP,CB,27-187,77,29,28,1,1,0,2,3,0,0,0,0,0,20,1,8,4,25,0,0,0,27,0,1,0,0
12,Denis Vavro,25.0,sk  SVK,CB,24-339,13,6,6,0,0,0,1,0,0,0,0,0,0,4,0,2,0,5,1,0,0,6,0,0,0,0
13,Dimitris Siovas,18.0,gr  GRE,CB,32-180,90,20,19,1,1,0,5,0,0,0,0,0,0,16,2,2,16,4,0,0,0,19,0,0,0,0
14,Jorge Pulido,14.0,es  ESP,CB,29-341,90,43,42,1,1,0,10,0,0,0,0,0,0,30,3,10,6,35,2,0,0,31,0,2,0,2
15,Álvaro Fernández,1.0,es  ESP,GK,22-336,90,19,13,6,2,0,1,1,0,0,0,0,0,13,0,6,0,17,0,0,1,13,0,1,0,0
16,16 Players,,,,,990,419,385,34,9,0,108,15,8,3,0,2,0,312,42,65,116,273,11,13,2,346,0,10,8,17
