,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Abner,br  BRA,DF,Atl Paranaense,21,2000,28,2106,75,61.6,23.4,25,83,19,3,8,3,1.54,30,30,0,0.00,0.00,29.8,32.6,-2.7,-0.12,-0.21
1,Adryelson,br  BRA,DF,Botafogo (RJ),23,1998,17,1446,85,42.3,16.1,16,89,14,1,26,2,1.65,21,17,+4,+0.25,+0.52,18.4,18.1,+0.3,+0.02,+0.41
2,Adson,br  BRA,"FW,MF",Corinthians,21,2000,25,1239,50,36.2,13.8,13,69,3,12,29,3,1.68,18,9,+9,+0.65,+0.70,15.4,12.2,+3.2,+0.23,+0.37
3,Airton,br  BRA,FW,Atl Goianiense,22,1999,33,1738,53,50.8,19.3,22,65,3,11,28,2,1.00,24,21,+3,+0.16,+1.28,22.6,25.7,-3.2,-0.16,+0.11
4,Carlos Alberto,br  BRA,"FW,MF",América (MG),19,2002,6,156,26,4.6,1.7,0,,0,6,26,10,0.67,0,2,-2,-1.15,-1.21,2.4,3.7,-1.3,-0.73,-0.65
5,Yuri Alberto,br  BRA,FW,Corinthians,20,2001,20,1453,73,42.5,16.1,15,83,12,5,42,0,1.80,19,16,+3,+0.19,-0.04,19.6,16.4,+3.2,+0.20,+0.35
6,Ale,br  BRA,MF,América (MG),31,1990,28,1929,69,56.4,21.4,24,76,13,4,29,0,1.32,26,26,0,0.00,0.00,26.0,27.7,-1.7,-0.08,+0.07
7,Alexandre Alemão,br  BRA,FW,Internacional,23,1998,34,2005,59,58.6,22.3,22,75,2,12,30,1,1.91,38,16,+22,+0.99,+0.67,34.6,25.1,+9.5,+0.43,+0.35
8,Alerrandro,br  BRA,FW,Bragantino,22,2000,20,929,46,27.2,10.3,11,62,1,9,28,3,1.10,15,14,+1,+0.10,+0.49,16.0,12.3,+3.6,+0.35,+0.40
9,Alesson,br  BRA,"MF,FW",Cuiabá,22,1999,21,1024,49,29.9,11.4,11,67,0,10,29,5,1.05,12,10,+2,+0.18,+0.66,14.5,11.2,+3.2,+0.28,+0.66
10,Alex,br  BRA,DF,Santos,22,1999,4,335,84,9.8,3.7,4,84,3,0,,7,1.00,4,6,-2,-0.54,-0.68,2.8,4.9,-2.1,-0.56,-0.57
11,Caio Alexandre,br  BRA,MF,Fortaleza,22,1999,12,994,83,29.1,11.0,11,86,8,1,45,3,2.00,22,11,+11,+1.00,+1.14,15.5,12.1,+3.4,+0.31,+0.38
12,Matheus Alexandre,br  BRA,DF,Coritiba,22,1999,21,1400,67,40.9,15.6,16,78,9,5,29,3,1.10,15,24,-9,-0.58,-0.04,21.6,20.7,+0.9,+0.06,+0.60
13,Alexsander,br  BRA,DF,Fluminense,18,2003,3,225,75,6.6,2.5,2,90,2,1,45,3,3.00,7,0,+7,+2.80,+2.38,3.7,1.5,+2.2,+0.87,+0.66
14,Alisson,br  BRA,"MF,FW",São Paulo,28,1993,15,943,63,27.6,10.5,10,80,3,5,28,2,1.73,17,8,+9,+0.86,+0.71,15.1,11.4,+3.7,+0.35,+0.30
15,Allan,br  BRA,MF,Atlético Mineiro,24,1997,33,2733,83,79.9,30.4,31,87,26,2,17,1,1.42,31,33,-2,-0.07,-1.38,42.6,27.5,+15.2,+0.50,-0.18
16,Guilherme Almeida Augusto,br  BRA,DF,Bragantino,29,1993,2,90,45,2.6,1.0,1,69,0,1,21,7,0.50,0,2,-2,-2.00,-1.78,0.5,1.4,-0.9,-0.90,-0.99
