,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl%_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
137,Andrés D'Alessandro,ar  ARG,FW,Internacional,40,1981,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
138,Adailson Dadá,br  BRA,"MF,FW",Goiás,24,1997,27.9,38,22,24,10,4,13,42,31.0,29,23,2,21,15,53,20,0
139,Daniel,br  BRA,GK,Internacional,27,1994,23.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,8,3
140,Kayke David,br  BRA,"FW,MF",Flamengo,19,2003,0.3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
141,Giorgian De Arrascaeta,uy  URU,MF,Flamengo,27,1994,16.4,37,23,11,17,9,8,22,36.4,14,18,0,18,5,42,5,0
142,Romildo Del Piage,br  BRA,MF,Botafogo (RJ),21,2000,5.7,23,13,10,12,1,12,33,36.4,21,10,2,8,7,30,8,0
143,Denilson,br  BRA,MF,Cuiabá,20,2001,7.8,20,12,9,8,3,6,11,54.5,5,6,1,5,9,29,7,0
144,Valentín Depietri,ar  ARG,"FW,MF",Fortaleza,21,2000,2.6,4,2,1,2,1,1,2,50.0,1,6,0,6,2,6,1,0
145,Deyverson,br  BRA,FW,Cuiabá,30,1991,14.1,7,3,0,5,2,3,7,42.9,4,5,0,5,4,11,24,0
146,Luan Dias,br  BRA,"MF,FW",Goiás,24,1997,8.6,21,12,10,7,4,5,22,22.7,17,8,2,6,9,30,8,0
147,Matheus Dias,br  BRA,MF,Internacional,24,1997,1.2,6,2,4,2,0,2,4,50.0,2,6,3,3,1,7,1,0
148,Juan Díaz,co  COL,MF,Coritiba,20,2001,1.5,7,6,4,2,1,1,1,100.0,0,3,0,3,1,8,4,0
149,Dieguinho,br  BRA,"MF,DF",Goiás,26,1995,32.1,65,39,29,27,9,26,59,44.1,33,41,16,25,35,100,85,0
150,Dodô,br  BRA,DF,Atlético Mineiro,29,1992,10.1,16,11,9,6,1,7,10,70.0,3,10,0,10,13,29,15,0
151,Matheus Donelli,br  BRA,GK,Corinthians,19,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
152,Renan dos Santos,br  BRA,GK,Atl Goianiense,32,1989,16.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,17,2
153,Douglas,br  BRA,DF,Bragantino,33,1988,0.8,,1,,,,,,,,,,,0,,,
154,Rodrigo Dourado,br  BRA,MF,Internacional,27,1994,5.0,16,6,6,8,2,7,16,43.8,9,5,0,5,7,23,10,0
155,David Duarte,br  BRA,DF,Fluminense,27,1995,0.9,1,1,0,1,0,0,1,0.0,1,1,1,0,4,5,11,0
156,Pablo Dyego,br  BRA,FW,Avaí,27,1994,5.4,11,7,9,1,1,5,12,41.7,7,7,2,5,6,17,5,0
157,Edenílson,br  BRA,MF,Internacional,32,1989,24.3,38,22,16,16,6,17,29,58.6,12,18,4,14,15,53,26,0
158,Eder,br  BRA,DF,América (MG),26,1995,32.7,23,13,16,7,0,14,28,50.0,14,46,35,11,54,77,153,0
159,Éder,it  ITA,"FW,MF",São Paulo,35,1986,7.4,5,5,1,1,3,1,5,20.0,4,4,1,3,1,6,1,0
160,Edinho,br  BRA,MF,Juventude,27,1994,4.1,,0,,,,,,,,,,,1,,,
161,Elton,br  BRA,MF,Juventude,31,1990,12.9,29,18,17,10,2,15,25,60.0,10,14,5,9,20,49,19,0
162,Leandro Emmanuel Martínez,ar  ARG,MF,América (MG),27,1994,2.9,10,6,3,3,4,2,3,66.7,1,3,0,3,3,13,1,0
163,Alan Empereur,br  BRA,DF,Cuiabá,27,1994,24.7,18,9,12,5,1,5,11,45.5,6,18,15,3,38,56,89,1
164,Endrick,br  BRA,FW,Palmeiras,15,2006,3.4,4,4,1,1,2,1,1,100.0,0,3,0,3,0,4,0,0
165,Erison,br  BRA,FW,Botafogo (RJ),22,1999,16.5,4,3,0,2,2,2,9,22.2,7,5,0,5,1,5,10,0
166,Estevão,br  BRA,"FW,MF",Internacional,19,2002,1.2,2,1,2,0,0,2,2,100.0,0,2,1,1,1,3,0,0
167,Lucas Evangelista,br  BRA,MF,Bragantino,26,1995,29.0,60,36,22,32,6,28,55,50.9,27,24,10,14,27,87,36,0
168,Everaldo,br  BRA,"MF,FW",América (MG),27,1994,21.0,30,17,12,10,8,6,33,18.2,27,21,1,20,16,46,7,0
169,Éverson,br  BRA,GK,Atlético Mineiro,31,1990,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,16,0
170,Éverton,br  BRA,"MF,FW",Cuiabá,33,1988,4.4,7,6,2,5,0,5,14,35.7,9,5,0,5,4,11,3,0
171,Fabinho,br  BRA,MF,Palmeiras,19,2002,0.8,3,3,0,2,1,1,4,25.0,3,0,0,0,2,5,2,0
172,Fabrício,br  BRA,"FW,MF",Coritiba,24,1997,16.7,29,19,12,16,1,11,24,45.8,13,22,1,21,7,36,13,0
173,Fagner,br  BRA,DF,Corinthians,32,1989,10.0,34,21,22,8,4,16,23,69.6,7,8,3,5,11,45,21,0
174,Willian Farias,br  BRA,MF,Coritiba,32,1989,17.7,31,21,14,15,2,11,35,31.4,24,16,4,12,19,50,24,0
175,Lucas Fasson,br  BRA,DF,Atl Paranaense,20,2001,0.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0
176,Felipe,br  BRA,MF,Fortaleza,27,1994,9.8,13,7,5,8,0,7,16,43.8,9,9,1,8,13,26,17,0
177,Luis Felipe,br  BRA,DF,Santos,28,1993,10.9,,9,,,,,,,,,,,18,,,
178,Matheus Felipe,br  BRA,DF,Atl Paranaense,23,1998,19.8,27,20,18,9,0,16,26,61.5,10,29,20,9,17,44,84,0
179,Lucas Fernandes,br  BRA,MF,Botafogo (RJ),24,1997,18.6,19,10,5,11,3,10,35,28.6,25,19,5,14,8,27,8,0
180,Matheus Fernandes,br  BRA,MF,Atl Paranaense,23,1998,7.6,25,13,15,7,3,10,28,35.7,18,19,3,16,9,34,13,0
181,Gatito Fernández,py  PAR,GK,Botafogo (RJ),33,1988,31.2,3,1,3,0,0,3,6,50.0,3,0,0,0,2,5,13,0
182,Ignacio Fernández,ar  ARG,MF,Atlético Mineiro,32,1990,24.7,47,24,14,18,15,21,70,30.0,49,32,2,30,21,68,7,0
183,Rodrigo Fernández,uy  URU,MF,Santos,26,1996,25.7,89,52,43,40,6,50,131,38.2,81,27,5,22,20,109,32,0
184,Fernandinho,br  BRA,MF,Atl Paranaense,36,1985,10.8,16,8,4,10,2,3,12,25.0,9,13,4,9,11,27,8,1
185,Derick Fernando,br  BRA,DF,Santos,19,2002,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
186,Luiz Fernando,br  BRA,"FW,MF",Atl Goianiense,25,1996,19.4,17,10,9,6,2,4,17,23.5,13,12,1,11,11,28,18,0
187,Nahuel Ferraresi,ve  VEN,DF,São Paulo,23,1998,7.9,18,11,12,6,0,9,17,52.9,8,16,7,9,12,30,30,0
188,Luiz Filipe,br  BRA,"MF,FW",Goiás,20,2001,0.4,4,1,2,1,1,1,1,100.0,0,1,1,0,0,4,0,0
189,Flávio,br  BRA,MF,América (MG),21,2000,0.3,2,2,2,0,0,2,3,66.7,1,0,0,0,2,4,0,0
190,Rafael Forster,br  BRA,DF,Juventude,31,1990,18.1,25,18,18,4,3,15,27,55.6,12,17,13,4,26,51,82,0
191,Matheus França,br  BRA,"FW,MF",Flamengo,17,2004,7.5,15,5,5,8,2,5,6,83.3,1,4,0,4,3,18,8,0
192,Fred,br  BRA,"FW,MF",Fluminense,38,1983,1.4,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0
193,Marlon Freitas,br  BRA,MF,Atl Goianiense,26,1995,27.5,46,29,24,17,5,24,55,43.6,31,29,15,14,28,74,32,1
194,Douglas Friedrich,br  BRA,GK,Avaí,33,1988,10.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1
195,Eduardo Gabriel,br  BRA,DF,Santos,25,1996,33.0,34,17,25,8,1,12,19,63.2,7,55,39,16,49,83,147,1
196,Luiz Gabriel,br  BRA,"FW,MF",Coritiba,19,2002,1.1,7,3,5,1,1,3,5,60.0,2,0,0,0,3,10,1,0
197,Marquinhos Gabriel,br  BRA,"MF,FW",Goiás,31,1990,8.4,10,6,3,5,2,5,7,71.4,2,8,1,7,1,11,2,0
198,Vitor Gabriel,br  BRA,"FW,MF",Juventude,22,2000,8.6,10,3,4,3,3,4,12,33.3,8,5,1,4,0,10,19,0
199,Matías Galarza,py  PAR,MF,Coritiba,19,2002,6.7,24,9,5,14,5,11,30,36.7,19,11,3,8,13,37,4,0
200,Matheus Galdezani,br  BRA,MF,Avaí,29,1992,3.2,12,8,3,6,3,7,10,70.0,3,5,2,3,6,18,2,0
201,Thiago Galhardo,br  BRA,"FW,MF",Fortaleza,32,1989,15.0,13,7,2,6,5,1,16,6.3,15,8,0,8,6,19,18,0
202,Giuliano Galoppo,ar  ARG,MF,São Paulo,22,1999,7.9,16,11,2,10,4,6,19,31.6,13,8,0,8,3,19,5,0
203,Léo Gamalho,br  BRA,FW,Coritiba,36,1986,18.4,12,6,3,5,4,4,11,36.4,7,4,2,2,0,12,12,0
204,Ganso,br  BRA,"MF,FW",Fluminense,32,1989,27.5,40,22,12,20,8,13,38,34.2,25,22,4,18,9,49,9,0
205,García,br  BRA,"DF,MF",Palmeiras,20,2002,1.1,2,0,2,0,0,0,0,,0,0,0,0,2,4,3,0
206,Bryan García,ec  ECU,MF,Atl Paranaense,21,2001,3.1,4,4,1,3,0,2,13,15.4,11,3,0,3,2,6,7,0
207,Luan Garcia,br  BRA,DF,Palmeiras,28,1993,13.6,15,4,10,4,1,8,14,57.1,6,14,8,6,22,37,53,1
208,Gaspar,br  BRA,FW,Avaí,19,2002,0.4,4,2,1,0,3,3,5,60.0,2,1,0,1,1,5,0,0
209,Rafael Gava,br  BRA,MF,Cuiabá,28,1993,22.7,31,17,11,14,6,17,42,40.5,25,19,5,14,15,46,19,0
210,Lucas Gazal,br  BRA,DF,Atl Goianiense,22,1999,14.5,9,4,9,0,0,5,6,83.3,1,16,12,4,16,25,79,0
211,Guilherme Gehring,br  BRA,MF,Juventude,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
212,Geovane,br  BRA,MF,Ceará,22,1999,6.1,11,4,1,8,2,5,11,45.5,6,11,4,7,5,16,4,0
213,Gil,br  BRA,DF,Corinthians,34,1987,22.7,30,13,20,7,3,13,21,61.9,8,35,25,10,29,59,77,0
214,Giovane,br  BRA,"FW,DF",Corinthians,18,2003,3.3,6,2,1,4,1,2,4,50.0,2,5,2,3,1,7,1,0
215,Giovani,br  BRA,"FW,MF",Palmeiras,18,2004,0.4,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
216,Glédson,br  BRA,GK,Avaí,38,1983,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
217,Diego Godín,uy  URU,DF,Atlético Mineiro,35,1986,1.0,2,2,2,0,0,0,2,0.0,2,0,0,0,2,4,1,0
218,Bruno Gomes,br  BRA,MF,Coritiba,20,2001,16.6,40,21,21,15,4,20,36,55.6,16,20,4,16,23,63,7,0
219,João Gomes,br  BRA,MF,Flamengo,20,2001,20.9,92,51,37,45,10,31,75,41.3,44,24,3,21,26,118,32,0
220,Gustavo Gómez,py  PAR,DF,Palmeiras,28,1993,30.0,39,21,28,10,1,17,29,58.6,12,45,30,15,48,87,97,0
221,Aloísio dos Santos Gonçalves,cn  CHN,"FW,MF",América (MG),33,1988,10.5,12,8,4,5,3,3,15,20.0,12,9,0,9,4,16,9,0
222,Diego Gonçalves,br  BRA,FW,Botafogo (RJ),27,1994,5.4,5,3,2,3,0,1,8,12.5,7,5,0,5,2,7,6,0
223,Matheus Gonçalves,br  BRA,FW,Flamengo,16,2005,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
224,Ricardo Goulart,br  BRA,"MF,FW",Santos,30,1991,4.5,3,3,2,0,1,0,1,0.0,1,2,0,2,1,4,6,0
225,Daniel Guedes,br  BRA,"DF,MF",Cuiabá,27,1994,8.8,15,9,6,6,3,8,23,34.8,15,9,2,7,15,30,10,0
226,Roger Guedes,br  BRA,"FW,MF",Corinthians,25,1996,28.3,8,3,1,3,4,1,6,16.7,5,7,1,6,3,11,10,0
227,Paolo Guerrero,pe  PER,FW,Avaí,38,1984,4.8,2,0,0,2,0,0,2,0.0,2,1,0,1,1,3,4,0
228,Guga,br  BRA,DF,Atlético Mineiro,23,1998,18.6,57,35,30,23,4,30,45,66.7,15,21,4,17,27,84,24,1
229,Gustavinho,br  BRA,MF,América (MG),20,2001,4.3,16,9,2,9,5,9,18,50.0,9,10,0,10,4,20,5,0
230,Habraão,br  BRA,DF,Fortaleza,20,2001,2.4,5,2,4,1,0,4,5,80.0,1,9,8,1,1,6,20,0
231,Hayner,br  BRA,DF,Atl Goianiense,26,1995,15.3,14,10,8,2,4,8,17,47.1,9,10,4,6,22,36,46,0
232,Heitor,br  BRA,DF,Internacional,21,2000,4.4,17,13,8,8,1,11,17,64.7,6,3,1,2,9,26,4,0
233,Thiago Heleno,br  BRA,DF,Atl Paranaense,33,1988,12.7,12,6,8,4,0,8,14,57.1,6,12,10,2,23,35,34,1
234,Helinho,br  BRA,"FW,MF",Bragantino,21,2000,19.0,28,15,15,8,5,16,33,48.5,17,28,1,27,19,47,20,0
235,Henrique,br  BRA,DF,Coritiba,35,1986,17.9,19,12,16,3,0,13,18,72.2,5,30,25,5,21,40,71,0
236,Arthur Henrique,br  BRA,DF,Atl Goianiense,27,1994,10.7,33,19,21,9,3,19,33,57.6,14,8,3,5,16,49,28,0
237,Bruno Henrique,br  BRA,"FW,MF",Flamengo,31,1990,6.8,12,8,4,6,2,4,9,44.4,5,5,0,5,4,16,7,0
238,Daniel Henrique,br  BRA,FW,Ceará,17,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
239,Gustavo Henrique,br  BRA,DF,Flamengo,28,1993,3.8,4,3,3,1,0,2,4,50.0,2,7,6,1,5,9,27,0
240,Luis Henrique,br  BRA,"FW,MF",Botafogo (RJ),20,2001,2.9,5,1,3,0,2,3,3,100.0,0,4,0,4,3,8,1,0
241,Luiz Henrique,br  BRA,"FW,MF",Fluminense,21,2001,11.7,30,19,11,10,9,13,23,56.5,10,16,3,13,9,39,10,0
242,Paulo Henrique,br  BRA,"DF,MF",Juventude,25,1996,16.7,47,27,30,13,4,20,37,54.1,17,11,0,11,11,58,26,0
243,Hércules,br  BRA,"MF,FW",Fortaleza,21,2000,15.2,38,16,19,17,2,13,36,36.1,23,23,3,20,10,48,9,0
244,Nicolás Hernández,co  COL,DF,Atl Paranaense,24,1998,18.0,32,17,21,11,0,21,27,77.8,6,30,15,15,22,54,67,0
245,Victor Hugo,br  BRA,MF,Flamengo,17,2004,13.9,24,11,7,13,4,10,26,38.5,16,8,3,5,11,35,20,0
246,Vitor Hugo,br  BRA,FW,Goiás,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
247,Hulk,br  BRA,FW,Atlético Mineiro,35,1986,23.2,11,6,0,7,4,4,17,23.5,13,4,0,4,3,14,12,0
248,José Hurtado,ec  ECU,DF,Bragantino,20,2001,6.6,19,11,12,4,3,13,16,81.3,3,6,3,3,5,24,13,0
249,Hyoran,br  BRA,MF,Bragantino,28,1993,14.2,22,16,9,9,4,7,21,33.3,14,17,3,14,10,32,7,0
250,Igor,br  BRA,"MF,FW",Flamengo,18,2003,0.3,4,0,3,1,0,0,1,0.0,1,1,1,0,0,4,0,0
251,André Inácio,br  BRA,FW,Flamengo,19,2002,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
252,Mauricio Isla,cl  CHI,DF,Flamengo,33,1988,3.8,3,3,1,2,0,3,3,100.0,0,3,1,2,6,9,6,0
253,Jadsom,br  BRA,MF,Bragantino,20,2001,14.1,26,18,17,8,1,14,33,42.4,19,22,8,14,34,60,25,0
254,Jadson,br  BRA,MF,Juventude,28,1993,29.1,64,46,28,28,8,28,55,50.9,27,23,6,17,24,88,19,1
255,Jailson,br  BRA,GK,América (MG),40,1981,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0
256,Jair,br  BRA,MF,Atlético Mineiro,27,1994,23.0,65,41,25,31,9,28,51,54.9,23,37,4,33,32,97,10,0
257,Jandrei,br  BRA,GK,São Paulo,28,1993,18.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1
258,Vinícius Jaú,br  BRA,MF,Avaí,23,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
259,Pablo Javier García,uy  URU,FW,Coritiba,22,1999,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
260,Jean,br  BRA,MF,Juventude,27,1994,13.1,48,30,24,20,4,31,61,50.8,30,21,11,10,39,87,35,0
261,Jemerson,br  BRA,DF,Atlético Mineiro,29,1992,11.1,18,8,10,7,1,10,14,71.4,4,9,4,5,10,28,33,0
262,Jenison,br  BRA,FW,Cuiabá,30,1991,3.6,1,1,0,1,0,0,2,0.0,2,3,0,3,2,3,5,0
263,Alexandre Jesus,br  BRA,"MF,DF",Fluminense,20,2001,0.7,0,0,0,0,0,0,0,,0,0,0,0,5,5,0,0
264,Joaquim,br  BRA,DF,Cuiabá,23,1998,23.9,41,28,31,8,2,25,35,71.4,10,26,14,12,36,77,127,1
265,John,br  BRA,GK,Santos,25,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
266,Jonas,br  BRA,MF,São Paulo,22,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
267,Felipe Jonatan,br  BRA,DF,Santos,23,1998,23.0,28,17,16,11,1,16,23,69.6,7,13,7,6,34,62,70,0
268,Jonathan,br  BRA,DF,Botafogo (RJ),23,1998,0.5,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
269,Jorge,br  BRA,DF,Palmeiras,25,1996,5.2,15,8,3,10,2,6,16,37.5,10,8,1,7,3,18,10,0
270,Jorginho,br  BRA,MF,Atl Goianiense,31,1991,18.2,33,18,11,13,9,10,28,35.7,18,16,1,15,6,39,26,0
271,Jhojan Julio,ec  ECU,"FW,MF",Santos,23,1998,9.2,24,13,11,9,4,4,17,23.5,13,11,2,9,9,33,5,0
272,Renato Junior,br  BRA,"FW,MF",Goiás,19,2002,5.5,13,4,3,6,4,5,8,62.5,3,8,0,8,2,15,5,0
273,Jussa,br  BRA,"MF,DF",Fortaleza,25,1996,7.0,2,1,1,1,0,1,10,10.0,9,10,0,10,8,10,10,0
274,Kaiky,br  BRA,DF,Santos,18,2004,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,5,0
275,Lucas Kal,br  BRA,MF,América (MG),25,1996,24.0,38,19,15,19,4,13,34,38.2,21,27,8,19,32,70,49,0
276,Kanu,br  BRA,DF,Botafogo (RJ),24,1997,16.1,19,10,14,5,0,9,16,56.3,7,15,12,3,23,42,67,0
277,Alan Kardec,br  BRA,"FW,MF",Atlético Mineiro,33,1989,2.9,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,2,0
278,Kauan,br  BRA,FW,Bragantino,18,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
279,Kawê,br  BRA,"MF,FW",América (MG),19,2002,0.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
280,Kayque,br  BRA,MF,Botafogo (RJ),21,2000,3.1,6,5,1,5,0,1,7,14.3,6,6,0,6,2,8,1,0
281,Renato Kayser,br  BRA,FW,Fortaleza,25,1996,1.8,2,0,2,0,0,1,4,25.0,3,2,0,2,0,2,1,0
282,Gabriel Kazu,br  BRA,MF,Avaí,22,1999,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
283,Keiller,br  BRA,GK,Internacional,25,1996,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,0
284,Thalisson Kelven,br  BRA,DF,Juventude,23,1998,20.0,17,13,14,2,1,11,16,68.8,5,34,27,7,31,48,109,0
285,Kelvi,br  BRA,MF,Juventude,19,2002,0.5,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0
286,Kelvin,br  BRA,"MF,FW",Atl Goianiense,24,1997,3.4,3,3,0,3,0,2,4,50.0,2,1,0,1,1,4,4,0
287,Kelvyn,br  BRA,"FW,DF",Ceará,22,1999,0.6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
288,John Kennedy,br  BRA,"FW,MF",Fluminense,19,2002,1.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
289,Keno,br  BRA,"FW,MF",Atlético Mineiro,32,1989,20.6,42,20,11,20,11,15,29,51.7,14,28,4,24,3,45,8,0
290,Kevin,br  BRA,DF,Avaí,24,1997,29.2,61,40,37,20,4,31,67,46.3,36,32,7,25,37,98,73,1
291,Khellven,br  BRA,DF,Atl Paranaense,20,2001,23.4,50,25,29,18,3,23,42,54.8,19,24,8,16,39,89,69,0
292,Benjamín Kuscevic,cl  CHI,DF,Palmeiras,25,1996,3.3,10,4,7,3,0,3,3,100.0,0,2,1,1,9,19,4,0
293,Gabriel Lacerda,br  BRA,DF,Ceará,22,1999,20.0,21,14,18,3,0,8,18,44.4,10,22,16,6,21,42,86,0
294,Anthony Landazuri,ec  ECU,DF,Fortaleza,24,1997,5.8,6,4,4,1,1,3,6,50.0,3,6,1,5,8,14,9,0
295,Thauan Lara,br  BRA,"DF,FW",Internacional,18,2004,3.8,8,6,8,0,0,6,6,100.0,0,4,0,4,4,12,9,0
296,Lázaro,br  BRA,"FW,MF",Flamengo,19,2002,9.1,15,7,6,5,4,8,24,33.3,16,9,1,8,3,18,7,0
297,Anderson Leite,br  BRA,MF,Juventude,28,1993,0.8,2,1,1,1,0,1,5,20.0,4,2,2,0,4,6,2,0
298,Vinícius Leite,br  BRA,MF,Avaí,28,1993,1.5,4,2,0,3,1,4,6,66.7,2,2,1,1,6,10,0,0
299,Bernanrdo Lemes,br  BRA,"MF,FW",Coritiba,20,2002,10.5,33,15,13,18,2,20,32,62.5,12,10,4,6,16,49,17,0
300,Marcos Leonardo,br  BRA,FW,Santos,18,2003,32.0,4,2,0,3,1,1,11,9.1,10,11,1,10,2,6,33,0
301,Vitor Leque,br  BRA,"MF,DF",Juventude,21,2001,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
302,Lima,br  BRA,"FW,MF",Ceará,25,1996,21.5,39,23,9,23,7,19,50,38.0,31,26,5,21,18,57,13,0
303,Anderson Lima,br  BRA,"MF,FW",São Paulo,22,1999,2.3,11,6,3,8,0,8,11,72.7,3,2,1,1,1,12,1,0
304,Rodrigo Lindoso,br  BRA,MF,Ceará,32,1989,9.6,13,7,3,8,2,6,17,35.3,11,14,6,8,7,20,15,0
305,Liziero,br  BRA,MF,Internacional,23,1998,5.6,24,12,17,7,0,10,19,52.6,9,12,1,11,7,31,8,0
306,David Loiola,br  BRA,DF,Ceará,19,2002,4.4,6,2,6,0,0,3,5,60.0,2,5,4,1,4,10,18,0
307,Marcelo Lomba,br  BRA,GK,Palmeiras,35,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
308,Kevin Lomónaco,ar  ARG,DF,Bragantino,20,2002,12.4,10,6,7,3,0,6,9,66.7,3,12,6,6,9,19,34,1
309,José López,ar  ARG,FW,Palmeiras,21,2000,6.1,5,2,0,2,3,1,6,16.7,5,5,2,3,1,6,6,0
310,Henrique Lordelo,br  BRA,"MF,DF",Goiás,21,2000,1.4,5,4,2,3,0,2,2,100.0,0,4,1,3,2,7,2,0
311,Guillermo de los Santos,uy  URU,DF,Coritiba,30,1991,10.5,14,12,11,3,0,9,12,75.0,3,17,10,7,17,31,53,0
312,Lucão,br  BRA,GK,Bragantino,20,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
313,Lucas,br  BRA,DF,Santos,20,2001,16.2,45,22,28,13,4,21,42,50.0,21,17,5,12,13,58,25,0
314,Ayrton Lucas,br  BRA,DF,Flamengo,24,1997,28.4,63,39,28,33,2,36,60,60.0,24,26,10,16,27,90,52,1
315,João Lucas,br  BRA,"DF,MF",Cuiabá,23,1998,23.8,71,46,45,16,10,41,70,58.6,29,24,6,18,33,104,67,1
316,Luciano,br  BRA,FW,São Paulo,28,1993,22.6,17,9,4,10,3,8,25,32.0,17,23,4,19,7,24,11,0
317,André Luis,br  BRA,"FW,MF",Cuiabá,24,1997,20.4,23,13,9,11,3,7,24,29.2,17,16,4,12,7,30,10,0
318,Filipe Luís,br  BRA,DF,Flamengo,36,1985,7.1,20,12,7,9,4,10,12,83.3,2,7,1,6,12,32,10,0
319,Victor Luis,br  BRA,DF,Ceará,28,1993,15.7,17,9,7,9,1,6,20,30.0,14,11,7,4,15,32,30,0
320,David Luiz,br  BRA,DF,Flamengo,34,1987,15.8,13,4,5,7,1,5,7,71.4,2,15,12,3,13,26,48,0
321,Luizão,br  BRA,DF,São Paulo,19,2002,11.0,14,10,10,3,1,8,17,47.1,9,18,7,11,10,24,54,0
322,Vinícius Machado,br  BRA,GK,Ceará,21,2000,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
323,Mádson,br  BRA,DF,Santos,30,1992,23.8,37,25,20,17,0,21,32,65.6,11,26,18,8,32,69,59,2
324,Maguinho,br  BRA,"DF,MF",Goiás,29,1993,21.6,41,26,24,10,7,18,31,58.1,13,19,11,8,34,75,68,0
325,Gustavo Maia,br  BRA,FW,Internacional,21,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
326,Leonardo Maia,br  BRA,MF,Bragantino,18,2003,0.3,,0,,,,,,,,,,,0,,,
327,Pablo Maia,br  BRA,MF,São Paulo,20,2002,22.8,41,19,24,17,0,20,44,45.5,24,36,9,27,21,62,29,1
328,Thiago Maia,br  BRA,MF,Flamengo,24,1997,17.2,44,26,17,21,6,22,45,48.9,23,18,7,11,24,68,27,0
329,Maicon,br  BRA,DF,Santos,33,1988,21.3,29,20,22,7,0,23,36,63.9,13,38,25,13,29,58,113,1
330,Iago Maidana,br  BRA,DF,América (MG),25,1996,11.5,8,6,6,2,0,4,11,36.4,7,6,5,1,8,16,63,0
331,Léo Mana,br  BRA,DF,Corinthians,17,2004,0.5,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0
332,Alef Manga,br  BRA,"FW,MF",Coritiba,27,1994,27.0,42,23,14,17,11,16,33,48.5,17,39,0,39,15,57,16,0
333,Manoel,br  BRA,DF,Fluminense,31,1990,27.2,22,12,11,11,0,13,21,61.9,8,26,21,5,22,44,93,1
334,Gustavo Mantuan,br  BRA,"FW,DF",Corinthians,20,2001,9.6,14,7,6,7,1,2,16,12.5,14,13,2,11,7,21,12,0
335,Luis Manuel Orejuela,co  COL,DF,Atl Paranaense,26,1995,13.0,25,14,15,7,3,15,26,57.7,11,8,2,6,10,35,28,0
336,Maranhão,br  BRA,FW,Botafogo (RJ),19,2002,1.0,,1,,,,,,,,,,,0,,,
337,Fernando Marçal,br  BRA,DF,Botafogo (RJ),32,1989,17.1,38,21,22,13,3,17,35,48.6,18,23,5,18,34,72,38,0
338,Marcelo,br  BRA,DF,Fortaleza,26,1996,29.0,34,20,22,11,1,21,39,53.8,18,36,27,9,52,86,150,0
