,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
147,Pierre-Emerick Aubameyang,"€ 48,077","€ 2,500,000","€ 2,500,000",F,32,Gabon,Barcelona
148,Franco Cervi,"€ 48,077","€ 2,500,000","€ 2,500,000",F,27,Argentina,Celta Vigo
149,Manu Trigueros,"€ 48,077","€ 2,500,000","€ 2,500,000",M,30,Spain,Villarreal
150,Gonzalo Villar,"€ 48,077","€ 2,500,000","€ 2,500,000",M,23,Spain,Getafe
151,Florin Andone,"€ 46,731","€ 2,430,000","€ 2,430,000",F,28,Romania,Cadiz
152,Nico Williams,"€ 45,192","€ 2,350,000","€ 2,350,000",F,19,Spain,Athletic Club
153,Rubén Blanco,"€ 45,000","€ 2,340,000","€ 2,340,000",K,26,Spain,Celta Vigo
154,Sergi Darder,"€ 44,038","€ 2,290,000","€ 2,290,000",M,28,Spain,Espanyol
155,Pervis Estupiñán,"€ 44,038","€ 2,290,000","€ 2,290,000",D,24,Ecuador,Villarreal
156,Jeison Murillo,"€ 44,038","€ 2,290,000","€ 2,290,000",D,29,Colombia,Celta Vigo
157,Diego López,"€ 43,269","€ 2,250,000","€ 2,250,000",K,40,Spain,Espanyol
158,Unai Núñez,"€ 43,077","€ 2,240,000","€ 2,240,000",D,25,Spain,Athletic Club
159,Álex Remiro,"€ 42,885","€ 2,230,000","€ 2,230,000",K,26,Spain,Real Sociedad
160,Djené,"€ 42,308","€ 2,200,000","€ 2,200,000",D,30,Togo,Getafe
161,Jon Morcillo,"€ 41,154","€ 2,140,000","€ 2,140,000",F,22,Spain,Athletic Club
162,Jaime Mata,"€ 41,154","€ 2,140,000","€ 2,140,000",F,33,Spain,Getafe
163,Aritz Elustondo,"€ 40,577","€ 2,110,000","€ 2,110,000",D,27,Spain,Real Sociedad
