,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
516,Gerard Gumbau,"€ 4,038","€ 210,000","€ 210,000",M,27,Spain,Elche
517,Gavi,"€ 4,038","€ 210,000","€ 210,000",M,17,Spain,Barcelona
518,Julen Lobete,"€ 3,846","€ 200,000","€ 200,000",F,21,Spain,Real Sociedad
519,Dani Cárdenas,"€ 3,846","€ 200,000","€ 200,000",K,24,Spain,Levante
520,Jonathan Silva,"€ 3,846","€ 200,000","€ 200,000",D,27,Argentina,Getafe
521,Matías Arezo,"€ 3,846","€ 200,000","€ 200,000",F,19,Uruguay,Granada
522,Antonio Sivera,"€ 3,846","€ 200,000","€ 200,000",K,25,Spain,Alaves
523,Joan García,"€ 3,846","€ 200,000","€ 200,000",K,20,Spain,Espanyol
524,Antonio Barragán,"€ 3,846","€ 200,000","€ 200,000",D,34,Spain,Elche
525,Santiago Arzamendia,"€ 3,846","€ 200,000","€ 200,000",D,23,Paraguay,Cadiz
526,Víctor Chust,"€ 3,654","€ 190,000","€ 190,000",D,21,Spain,Cadiz
527,Rubén Yáñez,"€ 3,462","€ 180,000","€ 180,000",K,28,Spain,Getafe
528,Josema,"€ 3,462","€ 180,000","€ 180,000",D,25,Spain,Elche
529,Ez Abde,"€ 3,462","€ 180,000","€ 180,000",F,20,Morocco,Barcelona
530,Milutin Osmajic,"€ 3,462","€ 180,000","€ 180,000",F,22,Montenegro,Cadiz
531,Pepelu,"€ 3,269","€ 170,000","€ 170,000",M,23,Spain,Levante
532,Isi Palazón,"€ 3,269","€ 170,000","€ 170,000",F,27,Spain,Rayo Vallecano
533,Fran García,"€ 3,269","€ 170,000","€ 170,000",D,22,Spain,Rayo Vallecano
534,Martín Calderón,"€ 3,077","€ 160,000","€ 160,000",M,22,Spain,Cadiz
535,Javi Martínez,"€ 3,077","€ 160,000","€ 160,000",F,22,Spain,Osasuna
536,Manolo Reina,"€ 3,077","€ 160,000","€ 160,000",K,36,Spain,Mallorca
537,Mario Hernández,"€ 3,077","€ 160,000","€ 160,000",D,23,Spain,Rayo Vallecano
538,Álex Balde,"€ 3,077","€ 160,000","€ 160,000",D,18,Spain,Barcelona
539,João Costa,"€ 3,077","€ 160,000","€ 160,000",K,26,Portugal,Granada
540,Javi López,"€ 3,077","€ 160,000","€ 160,000",D,19,Spain,Alaves
541,Aarón Escandell,"€ 3,077","€ 160,000","€ 160,000",K,26,Spain,Granada
542,Andrés Martín,"€ 3,077","€ 160,000","€ 160,000",F,22,Spain,Rayo Vallecano
543,Matthew Hoppe,"€ 2,981","€ 155,000","€ 155,000",F,20,United States,Mallorca
544,Diego Conde,"€ 2,981","€ 155,000","€ 155,000",K,23,Spain,Getafe
545,Dani Alves,"€ 2,981","€ 155,000","€ 155,000",D,38,Brazil,Barcelona
546,Álex Blesa,"€ 2,981","€ 155,000","€ 155,000",M,19,Spain,Levante
547,Yacine Qasmi,"€ 2,981","€ 155,000","€ 155,000",F,30,Morocco,Rayo Vallecano
548,Gonzalo Verdú,"€ 2,981","€ 155,000","€ 155,000",D,33,Spain,Elche
549,Tachi,"€ 2,981","€ 155,000","€ 155,000",D,23,Spain,Alaves
550,Sergio Moreno,"€ 2,981","€ 155,000","€ 155,000",F,22,Spain,Rayo Vallecano
551,José Macías,"€ 2,981","€ 155,000","€ 155,000",F,21,Mexico,Getafe
552,Diego González,"€ 2,981","€ 155,000","€ 155,000",D,27,Spain,Elche
553,Luca Zidane,"€ 2,981","€ 155,000","€ 155,000",K,23,France,Rayo Vallecano
554,Rober González,"€ 2,981","€ 155,000","€ 155,000",F,20,Spain,Real Betis
555,Helibelton Palacios,"€ 2,981","€ 155,000","€ 155,000",D,28,Colombia,Elche
556,Juan Iglesias,"€ 2,981","€ 155,000","€ 155,000",D,23,Spain,Getafe
557,Josan,"€ 2,981","€ 155,000","€ 155,000",F,32,Spain,Elche
558,Barbero,"€ 2,981","€ 155,000","€ 155,000",F,23,Spain,Osasuna
559,Jaume Grau,"€ 2,981","€ 155,000","€ 155,000",M,24,Spain,Osasuna
560,Leo Román,"€ 2,981","€ 155,000","€ 155,000",K,21,Spain,Mallorca
561,Rui Silva,"€ 2,981","€ 155,000","€ 155,000",K,27,Portugal,Real Betis
562,Enzo Roco,"€ 2,981","€ 155,000","€ 155,000",D,29,Chile,Elche
563,Marc Pubill,"€ 2,885","€ 150,000","€ 150,000",D,18,Spain,Levante
564,Daniel Raba,"€ 2,885","€ 150,000","€ 150,000",F,26,Spain,Granada
565,Luis Hernández,"€ 2,692","€ 140,000","€ 140,000",D,32,Spain,Cadiz
566,Ferran Jutglà,"€ 2,500","€ 130,000","€ 130,000",F,23,Spain,Barcelona
567,Isma Ruiz,"€ 1,538","€ 80,000","€ 80,000",M,20,Spain,Granada
568,Álvaro Bastida,"€ 1,154","€ 60,000","€ 60,000",M,17,Spain,Cadiz
569,Ivan Chapela,€ 769,"€ 40,000","€ 40,000",F,22,Spain,Cadiz
570,Josete Miranda,€ 0,€ 0,€ 0,F,23,Equatorial Guinea,Getafe
571,Francisco Montero,€ 0,€ 0,€ 0,D,22,Spain,Atletico Madrid
