,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,4.4,193,191,2,1,0,29,6,7,1,0,0,0,156,14,23,169,19,4,0,1,160,2,6,4,3
1,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,22.3,1434,1361,73,32,0,129,47,23,0,0,0,0,1015,160,259,1071,241,72,20,4,1255,2,22,16,13
2,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,7.8,429,417,12,11,1,60,19,0,0,0,0,0,319,38,72,68,332,18,1,2,381,3,5,8,1
4,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,11.1,243,232,11,0,0,70,8,4,2,0,0,0,172,40,31,197,29,2,1,2,174,1,10,5,17
5,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,7.8,240,236,4,2,2,33,4,1,0,0,0,0,179,35,26,43,184,8,0,2,192,1,7,8,11
6,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,19.9,1330,1143,187,54,11,209,48,25,83,40,22,11,962,136,232,60,1231,12,15,6,1033,9,16,26,31
7,Bruno Alves,pt  POR,DF,Parma,39-114,1981,15.1,811,781,30,24,0,47,52,6,0,0,0,0,567,80,164,124,620,36,3,2,704,3,12,3,2
8,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24-212,1996,22.1,1238,1182,56,38,0,149,62,5,0,0,0,0,969,98,171,81,1107,32,3,5,1108,3,12,19,26
9,Djavan Anderson,nl  NED,DF,Lazio,25-334,1995,0.8,33,26,7,0,0,5,0,1,0,0,0,0,20,10,3,2,22,1,7,0,24,0,0,2,1
10,Nícolas Andrade,br  BRA,GK,Udinese,32-343,1988,2.0,40,28,12,3,0,3,0,0,0,0,0,0,25,1,14,9,25,0,0,5,33,0,0,0,0
