,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Nícolas Andrade,br  BRA,GK,Udinese,32-343,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2
1,Emil Audero,it  ITA,GK,Sampdoria,24-062,1997,27.0,42,6,0,6,1,37.9,0.26,-3.1,-0.12,187,438,42.7,702,140,45.2,38.5,190,63.7,46.4,262,22,8.4,10,0.37,12.3
2,Gianluigi Buffon,it  ITA,GK,Juventus,43-052,1978,5.0,2,1,0,0,0,2.6,0.16,+0.6,+0.13,14,34,41.2,140,26,21.4,27.9,37,10.8,19.5,44,1,2.3,5,1.00,14.7
3,Andrea Consigli,it  ITA,GK,Sassuolo,34-053,1987,26.0,44,3,0,4,1,41.6,0.31,-1.4,-0.05,142,308,46.1,791,112,32.6,31.4,170,29.4,27.4,249,21,8.4,19,0.73,16.2
4,Alex Cordaz,it  ITA,GK,Crotone,38-079,1983,28.0,70,5,1,8,1,59.1,0.37,-6.9,-0.25,170,397,42.8,859,119,38.4,33.7,224,29.9,28.3,233,12,5.2,29,1.07,15.7
5,Angelo da Costa Júnior,br  BRA,GK,Bologna,37-129,1983,6.0,9,1,1,0,0,9.4,0.36,+0.4,+0.07,35,70,50.0,245,23,24.5,30.3,42,23.8,24.4,48,0,0.0,7,1.17,16.0
6,Alessio Cragno,it  ITA,GK,Cagliari,26-266,1994,28.0,48,5,1,7,0,48.9,0.31,+2.9,+0.11,154,367,42.0,541,106,44.0,36.2,225,57.3,41.4,256,26,10.2,14,0.52,12.9
7,Gianluigi Donnarumma,it  ITA,GK,Milan,22-024,1999,26.0,28,2,1,5,1,30.1,0.29,+3.1,+0.12,123,311,39.5,722,100,34.6,32.6,146,41.8,35.0,224,20,8.9,13,0.50,14.3
8,Bartłomiej Drągowski,pl  POL,GK,Fiorentina,23-214,1997,27.0,42,5,1,8,1,39.4,0.33,-1.6,-0.06,160,390,41.0,610,133,48.5,40.0,197,47.7,40.1,246,16,6.5,14,0.52,14.7
9,Pierluigi Gollini,it  ITA,GK,Atalanta,26-003,1995,14.7,16,1,0,3,1,16.2,0.31,+1.2,+0.08,84,176,47.7,331,48,39.3,36.3,70,65.7,50.6,89,3,3.4,14,0.95,15.0
10,Samir Handanović,si  SVN,GK,Inter,36-250,1984,27.0,26,3,1,3,0,25.8,0.25,-0.2,-0.01,93,204,45.6,688,118,24.1,29.4,131,29.0,31.4,217,14,6.5,12,0.44,12.3
