,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,4.4,249,6,28,149,100,6,247,5,11,45.5,6,0,186,1206,529,24,13,0,6,11,214,183,85.5,12
1,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,22.3,1698,235,817,844,177,16,1628,6,7,85.7,6,0,1013,6734,3505,96,28,1,10,6,1100,1073,97.5,19
2,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,0.1,2,0,1,2,0,0,2,0,1,0.0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0
3,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,7.8,494,28,148,309,62,1,484,3,5,60.0,3,0,314,1432,490,14,2,1,2,8,345,323,93.6,7
4,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,11.1,418,3,44,212,212,48,407,34,56,60.7,37,2,311,2021,1248,56,25,13,29,27,440,281,63.9,67
5,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,7.8,343,14,83,191,96,16,339,17,21,81.0,17,4,237,1213,558,23,8,2,12,12,248,191,77.0,30
6,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,19.9,1563,12,220,869,657,38,1386,37,62,59.7,43,6,1108,7336,4984,225,91,8,30,37,1246,1106,88.8,88
7,Bruno Alves,pt  POR,DF,Parma,39-114,1981,15.1,947,174,549,442,29,15,914,1,3,33.3,1,0,530,3223,1783,23,2,0,2,0,653,644,98.6,5
8,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24-212,1996,22.1,1451,35,262,1037,260,10,1403,32,45,71.1,33,1,1090,6160,2643,95,31,1,15,44,1119,1050,93.8,37
9,Djavan Anderson,nl  NED,DF,Lazio,25-334,1995,0.8,38,1,6,18,18,0,31,0,1,0.0,0,0,26,168,78,6,1,0,1,1,25,20,80.0,1
