,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,4.4,0,8,0,0.0,1.82,0.00,0.00,,25.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
1,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,22.3,0,7,0,0.0,0.31,0.00,0.00,,11.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0
2,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
3,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,7.8,0,2,0,0.0,0.26,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0
4,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,11.1,1,16,4,25.0,1.45,0.36,0.06,0.25,17.0,0,0,0,1.8,1.8,0.11,-0.8,-0.8
5,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,7.8,0,6,0,0.0,0.77,0.00,0.00,,16.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
6,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,19.9,8,50,21,42.0,2.52,1.06,0.16,0.38,20.8,3,0,0,4.1,3.9,0.08,+3.9,+4.1
7,Bruno Alves,pt  POR,DF,Parma,39-114,1981,15.1,0,6,2,33.3,0.40,0.13,0.00,0.00,25.9,3,0,0,0.2,0.2,0.03,-0.2,-0.2
8,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24-212,1996,22.1,0,9,3,33.3,0.41,0.14,0.00,0.00,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
9,Djavan Anderson,nl  NED,DF,Lazio,25-334,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
10,Nícolas Andrade,br  BRA,GK,Udinese,32-343,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,Davide Angelo Ghislandi,it  ITA,DF,Atalanta,19-278,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
12,Philip Ankhrah,gh  GHA,MF,Hellas Verona,18-175,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
