,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,11,2,395,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04
1,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,23,23,2007,22.3,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,1.0,1.0,0.6,1.6,0.04,0.03,0.07,0.04,0.07
2,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
3,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,10,8,704,7.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.01,0.01,0.01
4,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,19,11,996,11.1,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.8,1.8,0.4,2.2,0.16,0.04,0.20,0.16,0.20
5,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,20,3,698,7.8,0,1,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,0.9,1.4,0.06,0.11,0.17,0.06,0.17
6,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,23,23,1788,19.9,8,0,8,0,0,3,0,0.40,0.00,0.40,0.40,0.40,4.1,3.9,5.4,9.3,0.21,0.27,0.48,0.20,0.47
7,Bruno Alves,pt  POR,DF,Parma,39-114,1981,16,15,1362,15.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.01,0.00,0.01,0.01,0.01
8,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24-212,1996,24,23,1991,22.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04
9,Djavan Anderson,nl  NED,DF,Lazio,25-334,1995,3,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
