,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Basit Abdallah,gh  GHA,MF,Benevento,21-157,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,
1,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,11,395,36,15.7,4.4,2,90,1,9,24,6,1.00,7,11,-4,-0.91,-0.45,5.7,8.1,-2.4,-0.56,-0.04
2,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,23,2007,87,85.8,22.3,23,87,22,0,,0,1.83,36,31,+5,+0.22,+0.22,34.3,28.5,+5.8,+0.26,+0.70
3,Enzo Adeagbo,ch  SUI,DF,Lazio,19-069,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
4,Bobby Adekanye,nl  NED,FW,Lazio,22-035,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
5,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,1,10,10,0.4,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-8.03,0.0,1.1,-1.1,-9.85,-9.41
6,Giuseppe Agostino,it  ITA,GK,Genoa,18-090,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
7,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,10,704,70,27.9,7.8,8,86,6,2,7,15,1.20,11,12,-1,-0.13,+0.57,11.1,15.5,-4.4,-0.56,-0.06
8,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,19,996,52,39.5,11.1,11,71,3,8,27,8,1.05,18,16,+2,+0.18,+1.18,14.8,15.7,-0.9,-0.08,+0.75
9,Marley Aké,fr  FRA,FW,Juventus,20-075,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
10,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,20,698,35,29.8,7.8,3,87,2,17,26,4,2.10,16,10,+6,+0.77,+0.83,10.0,9.8,+0.2,+0.03,-0.19
11,Fabrizio Alastra,it  ITA,GK,Parma,23-171,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
12,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,23,1788,78,76.4,19.9,23,78,7,0,,0,1.74,31,27,+4,+0.20,+0.04,28.4,25.5,+2.9,+0.14,-0.07
13,Marco Alia,al  ALB,GK,Lazio,20-329,2000,0,,,,,0,,0,0,,20,,,,,,,,,,,
