,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,4.4,160,193,82.9,3159,504,63,70,90.0,68,82,82.9,27,36,75.0,0,0.0,0.0,1,11,1,1,13
1,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,22.3,1255,1434,87.5,26223,7150,418,457,91.5,584,626,93.3,228,308,74.0,1,0.6,+0.4,9,93,17,8,81
2,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
3,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,7.8,381,429,88.8,7919,1674,124,133,93.2,181,198,91.4,68,86,79.1,0,0.1,-0.1,2,35,3,0,32
4,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,11.1,174,243,71.6,3138,633,86,102,84.3,60,81,74.1,23,39,59.0,0,0.4,-0.4,6,15,9,0,20
5,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,7.8,192,240,80.0,3340,703,101,117,86.3,68,83,81.9,20,25,80.0,1,0.9,+0.1,11,14,8,0,25
6,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,19.9,1033,1330,77.7,19137,7564,449,512,87.7,411,494,83.2,149,275,54.2,0,5.4,-5.4,53,180,60,5,193
7,Bruno Alves,pt  POR,DF,Parma,39-114,1981,15.1,704,811,86.8,18459,5580,102,110,92.7,362,406,89.2,235,289,81.3,0,0.1,-0.1,1,38,1,1,29
8,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24-212,1996,22.1,1108,1238,89.5,23789,4991,376,427,88.1,485,515,94.2,230,259,88.8,0,0.5,-0.5,10,112,12,4,97
9,Djavan Anderson,nl  NED,DF,Lazio,25-334,1995,0.8,24,33,72.7,299,70,17,19,89.5,6,9,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,1
10,Nícolas Andrade,br  BRA,GK,Udinese,32-343,1988,2.0,33,40,82.5,990,578,6,6,100.0,17,17,100.0,10,17,58.8,0,0.0,0.0,0,0,0,0,0
11,Davide Angelo Ghislandi,it  ITA,DF,Atalanta,19-278,2001,0.1,3,3,100.0,56,22,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
12,Philip Ankhrah,gh  GHA,MF,Hellas Verona,18-175,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
13,Cristian Ansaldi,ar  ARG,DF,Torino,34-182,1986,11.0,380,559,68.0,8319,3266,148,169,87.6,147,192,76.6,83,185,44.9,3,2.6,+0.4,22,29,19,16,38
14,Valentin Antov,bg  BUL,DF,Bologna,20-132,2000,0.8,50,54,92.6,1255,383,14,14,100.0,16,17,94.1,20,23,87.0,0,0.0,0.0,0,1,0,0,2
15,Tolgay Arslan,de  GER,MF,Udinese,30-217,1990,15.8,576,682,84.5,11085,2129,231,261,88.5,255,286,89.2,75,103,72.8,0,0.2,-0.2,4,44,9,0,38
16,Kwadwo Asamoah,gh  GHA,DF,Cagliari,32-102,1988,0.5,21,22,95.5,439,121,7,8,87.5,10,10,100.0,4,4,100.0,0,0.0,0.0,0,2,1,0,3
17,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20-071,2001,0.5,2,6,33.3,53,49,1,3,33.3,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
18,Emil Audero,it  ITA,GK,Sampdoria,24-062,1997,27.0,625,892,70.1,20453,12129,67,68,98.5,266,267,99.6,290,555,52.3,1,0.4,+0.6,1,6,0,0,0
19,Tommaso Augello,it  ITA,DF,Sampdoria,26-203,1994,24.8,1093,1447,75.5,18825,8080,496,558,88.9,491,617,79.6,91,210,43.3,3,2.1,+0.9,20,68,29,14,109
