,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Gennaro Acampora,it  ITA,"MF,FW",Spezia,26-357,1994,4.4,2,0,0,8,11,1,7,4,6,0,0,0,40,0,6,0.0
1,Francesco Acerbi,it  ITA,DF,Lazio,33-039,1988,22.3,4,0,0,19,15,2,23,43,31,0,0,0,291,51,10,83.6
2,Andrea Adorante,it  ITA,FW,Parma,21-044,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
3,Lucien Agoume,fr  FRA,MF,Spezia,19-040,2002,7.8,2,0,0,15,7,0,0,14,10,0,0,0,92,10,6,62.5
4,Kevin Agudelo,co  COL,FW,Spezia,22-127,1998,11.1,2,0,0,16,23,2,4,4,21,0,0,0,51,16,27,37.2
5,Jean-Daniel Akpa-Akpro,ci  CIV,"MF,FW",Lazio,28-161,1992,7.8,7,0,0,25,7,0,1,13,20,0,0,0,70,5,4,55.6
6,Luis Alberto,es  ESP,MF,Lazio,28-174,1992,19.9,3,0,0,13,27,2,25,12,25,0,0,0,185,7,8,46.7
7,Bruno Alves,pt  POR,DF,Parma,39-114,1981,15.1,3,0,0,15,7,1,6,12,5,0,0,0,138,34,5,87.2
8,Sofyan Amrabat,ma  MAR,MF,Fiorentina,24-212,1996,22.1,6,0,0,54,33,0,5,15,34,0,0,0,220,13,26,33.3
9,Djavan Anderson,nl  NED,DF,Lazio,25-334,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0
10,Nícolas Andrade,br  BRA,GK,Udinese,32-343,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
11,Davide Angelo Ghislandi,it  ITA,DF,Atalanta,19-278,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
12,Philip Ankhrah,gh  GHA,MF,Hellas Verona,18-175,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
13,Cristian Ansaldi,ar  ARG,DF,Torino,34-182,1986,11.0,0,0,0,11,14,0,74,13,15,0,1,0,66,3,10,23.1
14,Valentin Antov,bg  BUL,DF,Bologna,20-132,2000,0.8,1,0,0,2,0,0,0,1,0,0,0,0,6,2,3,40.0
15,Tolgay Arslan,de  GER,MF,Udinese,30-217,1990,15.8,8,0,0,30,35,0,2,13,31,0,0,0,150,11,9,55.0
16,Kwadwo Asamoah,gh  GHA,DF,Cagliari,32-102,1988,0.5,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,100.0
17,Kristoffer Askildsen,no  NOR,MF,Sampdoria,20-071,2001,0.5,2,0,0,3,0,0,0,0,0,0,0,0,1,1,2,33.3
18,Emil Audero,it  ITA,GK,Sampdoria,24-062,1997,27.0,0,0,0,0,3,0,0,0,0,0,0,0,139,0,0,
19,Tommaso Augello,it  ITA,DF,Sampdoria,26-203,1994,24.8,2,1,0,10,20,1,86,31,19,0,0,0,221,27,29,48.2
20,Kaan Ayhan,tr  TUR,DF,Sassuolo,26-131,1994,8.5,3,0,0,8,2,0,3,8,9,0,0,0,52,14,16,46.7
21,Milan Badelj,hr  CRO,MF,Genoa,32-024,1989,19.4,7,0,0,29,24,0,8,55,28,0,0,0,270,12,12,50.0
22,Tiemoué Bakayoko,fr  FRA,MF,Napoli,26-216,1994,16.2,5,1,1,24,39,1,0,19,37,1,0,0,152,30,21,58.8
23,Keita Baldé,sn  SEN,FW,Sampdoria,26-013,1995,9.0,3,1,0,21,19,3,7,3,5,0,1,0,23,9,31,22.5
24,Botond Balogh,hu  HUN,DF,Parma,18-288,2002,1.6,1,0,0,1,0,0,0,0,3,0,0,0,7,1,3,25.0
25,Antonín Barák,cz  CZE,"MF,FW",Hellas Verona,26-108,1994,21.8,3,1,0,48,14,4,15,7,21,0,0,0,187,48,61,44.0
26,Federico Barba,it  ITA,DF,Benevento,27-201,1993,19.2,6,0,0,15,6,1,17,40,14,0,0,0,160,22,20,52.4
27,Nicolò Barella,it  ITA,MF,Inter,24-042,1997,23.9,4,0,0,36,41,2,39,21,31,0,1,0,252,29,22,56.9
28,Antonio Barreca,it  ITA,DF,Fiorentina,26-003,1995,0.9,0,0,0,1,0,1,4,0,0,0,1,0,7,1,6,14.3
29,Musa Barrow,gm  GAM,"FW,MF",Bologna,22-127,1998,24.0,0,0,0,14,24,11,57,5,4,0,0,0,114,22,57,27.8
30,Paolo Bartolomei,it  ITA,MF,Spezia,31-212,1989,3.6,1,0,0,4,1,0,9,0,2,0,1,0,18,1,2,33.3
31,Daniele Baselli,it  ITA,MF,Torino,29-009,1992,1.7,1,0,0,3,5,0,1,1,4,0,0,0,21,6,5,54.5
32,Alessandro Bastoni,it  ITA,DF,Inter,21-342,1999,23.6,4,0,0,29,22,0,11,21,24,0,0,0,201,46,20,69.7
33,Simone Bastoni,it  ITA,DF,Spezia,24-136,1996,12.6,6,0,0,24,21,2,33,16,21,0,0,0,116,16,23,41.0
34,Bastos,ao  ANG,DF,Lazio,29-359,1991,0.7,0,0,0,1,4,0,0,0,2,0,0,0,8,1,0,100.0
35,Rodrigo Becão,br  BRA,DF,Udinese,25-061,1996,22.0,5,0,0,31,36,0,5,31,26,0,1,0,186,44,23,65.7
36,Valon Behrami,ch  SUI,MF,Genoa,35-336,1985,6.2,0,0,0,14,10,0,1,4,7,1,0,0,52,8,13,38.1
37,Andrea Belotti,it  ITA,FW,Torino,27-091,1993,22.7,4,0,0,46,95,14,17,4,22,2,1,0,99,53,80,39.8
38,Ahmad Benali,ly  LBY,MF,Crotone,29-042,1992,7.8,1,0,0,5,12,0,14,3,13,0,0,0,78,4,3,57.1
39,Ismaël Bennacer,dz  ALG,MF,Milan,23-110,1997,8.1,1,0,0,14,18,0,4,10,13,1,1,0,103,11,8,57.9
40,Rodrigo Bentancur,uy  URU,MF,Juventus,23-289,1997,17.2,5,0,0,25,20,1,5,27,33,0,0,0,191,20,20,50.0
41,Domenico Berardi,it  ITA,"FW,MF",Sassuolo,26-232,1994,20.2,4,0,0,32,44,3,49,23,17,0,0,0,134,9,21,30.0
42,Álex Berenguer,es  ESP,MF,Torino,25-260,1995,1.5,0,0,0,2,3,1,2,0,0,0,0,0,9,1,2,33.3
43,Bartosz Bereszyński,pl  POL,DF,Sampdoria,28-252,1992,20.0,2,0,0,19,19,0,21,23,31,0,0,0,202,26,23,53.1
44,Federico Bernardeschi,it  ITA,"MF,DF",Juventus,27-033,1994,8.6,1,0,0,8,13,2,31,8,5,0,0,0,57,6,7,46.2
45,Daniel Bessa,it  ITA,"FW,MF",Hellas Verona,28-066,1993,2.1,1,0,0,5,2,2,6,3,3,0,0,0,11,2,5,28.6
46,Cristiano Biraghi,it  ITA,DF,Fiorentina,28-201,1992,23.4,6,0,0,20,20,4,131,11,13,0,0,0,171,8,16,33.3
47,Davide Biraschi,it  ITA,DF,Genoa,26-262,1994,5.8,1,0,0,10,2,0,4,7,4,0,0,0,46,7,5,58.3
48,Jeremie Boga,ci  CIV,"FW,MF",Sassuolo,24-077,1997,11.2,0,0,0,8,20,5,10,6,8,0,0,0,53,4,8,33.3
49,Giacomo Bonaventura,it  ITA,MF,Fiorentina,31-211,1989,16.4,4,0,0,29,26,5,19,27,22,0,0,0,119,15,24,38.5
50,Kevin Bonifazi,it  ITA,DF,Udinese,24-306,1996,16.5,2,0,0,14,9,0,3,19,16,0,1,0,150,32,16,66.7
51,Leonardo Bonucci,it  ITA,DF,Juventus,33-324,1987,17.5,3,0,0,17,12,3,2,14,14,0,1,0,131,29,11,72.5
52,Mehdi Bourabia,ma  MAR,MF,Sassuolo,29-226,1991,5.2,2,0,0,15,6,0,2,8,5,0,1,0,59,12,3,80.0
53,Jayden Braaf,nl  NED,FW,Udinese,18-202,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
54,Gleison Bremer,br  BRA,DF,Torino,24-003,1997,20.6,1,0,0,16,8,0,1,40,22,0,1,0,191,55,27,67.1
55,Marcelo Brozović,hr  CRO,MF,Inter,28-125,1992,20.4,4,0,0,20,11,0,22,26,29,0,0,0,196,26,24,52.0
56,Gastón Brugman,uy  URU,MF,Parma,28-195,1992,13.3,6,0,0,19,13,1,13,27,16,0,0,0,135,6,7,46.2
57,Juan Brunetta,ar  ARG,"FW,MF",Parma,23-313,1997,3.2,2,0,0,7,10,1,9,1,1,0,0,0,17,2,9,18.2
58,Gianluigi Buffon,it  ITA,GK,Juventus,43-052,1978,5.0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,
59,Alessandro Buongiorno,it  ITA,DF,Torino,21-288,1999,3.8,2,0,0,9,5,1,0,3,1,0,0,0,29,9,3,75.0
60,Maxime Busi,be  BEL,DF,Parma,21-158,1999,7.0,3,0,0,12,7,0,8,9,5,0,1,0,58,5,6,45.5
61,Martín Cáceres,uy  URU,DF,Fiorentina,33-348,1987,14.4,0,0,0,10,8,0,21,8,7,0,1,0,112,13,16,44.8
62,Felipe Caicedo,ec  ECU,FW,Lazio,32-197,1988,9.0,4,0,0,23,15,6,0,2,8,0,0,0,39,27,23,54.0
63,Davide Calabria,it  ITA,DF,Milan,24-105,1996,23.9,6,0,0,24,31,2,47,21,41,1,0,1,261,20,28,41.7
