,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,José Luis Morales,11.0,es  ESP,"FW,LM",33-292,89,1,0,0,0,4,1,1,0,42,29,0,2,0,0.1,0.1,0.0,3,1,21,32,65.6,0,28,3,0,1
1,Giorgi Kochorashvili,43.0,ge  GEO,LM,21-316,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,1,1,0,0
2,Roger Martí,9.0,es  ESP,FW,30-128,74,0,1,0,0,1,1,0,0,22,17,0,2,0,0.0,0.0,0.1,3,2,13,17,76.5,2,12,2,1,1
3,Sergio León,7.0,es  ESP,FW,32-125,16,1,0,0,0,2,1,0,0,7,1,0,0,0,0.2,0.2,0.0,1,0,2,2,100.0,0,4,0,0,1
4,Enis Bardhi,10.0,mk  MKD,LM,25-313,60,0,0,0,0,1,1,0,0,37,11,1,1,0,0.0,0.0,0.0,1,0,30,32,93.8,2,30,10,1,3
5,Dani Gómez,21.0,es  ESP,FW,22-285,30,0,0,0,0,1,0,0,0,14,10,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,0,12,0,2,3
6,Jorge de Frutos,18.0,es  ESP,RM,24-080,90,0,0,0,0,1,0,1,0,41,22,0,2,3,0.0,0.0,0.1,2,0,17,30,56.7,1,34,3,4,6
7,Gonzalo Melero,22.0,es  ESP,DM,27-129,90,1,0,0,0,2,1,0,0,46,26,2,4,1,0.3,0.3,0.0,2,0,31,35,88.6,2,32,1,1,1
8,Rober,4.0,es  ESP,"DM,CB",26-084,90,0,0,0,0,1,0,0,0,56,17,1,3,3,0.0,0.0,0.0,1,1,38,44,86.4,3,31,3,0,0
9,Toño,3.0,es  ESP,LB,31-185,90,0,1,0,0,0,0,0,0,39,8,0,2,2,0.0,0.0,0.1,3,1,30,34,88.2,5,33,3,0,2
10,Óscar Duarte,6.0,cr  CRC,CB,31-342,60,0,0,0,0,0,0,0,0,41,9,1,0,3,0.0,0.0,0.0,0,0,28,34,82.4,0,26,1,0,0
11,Mickael Malsa,12.0,mq  MTQ,DM,25-211,30,0,0,0,0,1,1,0,0,19,12,1,1,1,0.0,0.0,0.0,2,0,13,14,92.9,1,13,0,1,1
12,Rúben Vezo,14.0,pt  POR,CB,27-016,90,0,0,0,0,0,0,0,0,58,3,0,3,1,0.0,0.0,0.0,0,0,47,52,90.4,3,39,1,0,0
13,Jorge Miramón,20.0,es  ESP,RB,31-343,74,0,1,0,0,0,0,0,0,54,7,1,0,4,0.0,0.0,0.2,2,1,38,48,79.2,3,34,6,0,0
14,Coke,23.0,es  ESP,RB,34-015,16,0,0,0,0,2,0,0,0,15,3,1,3,0,0.1,0.1,0.0,2,0,9,9,100.0,2,9,0,1,1
15,Aitor Fernández,13.0,es  ESP,GK,30-008,90,0,0,0,0,0,0,0,0,29,3,0,0,1,0.0,0.0,0.0,0,0,20,24,83.3,0,11,0,0,0
16,16 Players,,,,,990,3,3,0,0,16,6,2,0,523,180,8,23,19,0.9,0.9,0.6,24,6,347,419,82.8,24,349,34,11,20
