,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,José Luis Morales,11.0,es  ESP,"FW,LM",33-292,89,0,0,0,0,0,0,4,0.0,4,29,2,6.9,7,10,12,0,0,0,0,2,2,1,0
1,Giorgi Kochorashvili,43.0,ge  GEO,LM,21-316,1,0,0,0,0,0,0,0,,0,2,2,100.0,0,2,0,0,0,0,0,0,0,0,0
2,Roger Martí,9.0,es  ESP,FW,30-128,74,0,0,0,0,0,0,0,,0,17,1,5.9,2,10,5,0,0,0,0,2,2,0,0
3,Sergio León,7.0,es  ESP,FW,32-125,16,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,1,0
4,Enis Bardhi,10.0,mk  MKD,LM,25-313,60,1,1,0,1,0,0,1,0.0,1,11,3,27.3,2,6,3,0,0,0,0,1,2,0,0
5,Dani Gómez,21.0,es  ESP,FW,22-285,30,0,0,0,0,0,0,2,0.0,2,10,1,10.0,1,5,4,0,0,0,0,0,0,0,0
6,Jorge de Frutos,18.0,es  ESP,RM,24-080,90,0,0,0,0,0,0,3,0.0,3,22,4,18.2,15,2,5,3,0,0,3,2,2,1,0
7,Gonzalo Melero,22.0,es  ESP,DM,27-129,90,2,2,1,1,0,1,2,50.0,1,26,5,19.2,12,12,2,1,0,0,1,4,6,1,0
8,Rober,4.0,es  ESP,"DM,CB",26-084,90,1,0,0,1,0,1,2,50.0,1,17,2,11.8,9,5,3,3,2,0,1,3,4,2,0
9,Toño,3.0,es  ESP,LB,31-185,90,0,0,0,0,0,0,0,,0,8,2,25.0,4,1,3,2,0,0,2,2,2,0,0
10,Óscar Duarte,6.0,cr  CRC,CB,31-342,60,1,1,0,0,1,0,2,0.0,2,9,3,33.3,5,3,1,3,1,0,2,0,1,3,0
11,Mickael Malsa,12.0,mq  MTQ,DM,25-211,30,1,1,1,0,0,0,1,0.0,1,12,4,33.3,4,6,2,1,0,0,1,1,2,0,0
12,Rúben Vezo,14.0,pt  POR,CB,27-016,90,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,1,1,0,0,3,3,3,0
13,Jorge Miramón,20.0,es  ESP,RB,31-343,74,1,0,1,0,0,0,1,0.0,1,7,2,28.6,5,1,1,4,0,0,4,0,1,2,0
14,Coke,23.0,es  ESP,RB,34-015,16,1,1,1,0,0,0,1,0.0,1,3,2,66.7,3,0,0,0,0,0,0,3,4,0,0
15,Aitor Fernández,13.0,es  ESP,GK,30-008,90,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,1,0,0,1,0,0,2,0
16,16 Players,,,,,990,8,6,4,3,1,2,19,10.5,17,180,33,18.3,72,65,43,19,4,0,15,23,31,16,0
