,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,FW,33-321,90,64,0,5,28,37,5,54,4,4,100.0,4,0,43,205,141,9,4,0,0,3,67,49,73.1,7
1,Antoine Griezmann,7.0,fr  FRA,FW,30-051,80,48,0,8,22,21,2,48,1,2,50.0,1,0,27,109,42,2,1,0,0,1,59,47,79.7,6
2,Martin Braithwaite,9.0,dk  DEN,FW,29-340,10,3,0,0,0,3,0,3,0,0,,0,0,1,2,0,0,0,0,0,0,5,2,40.0,0
3,Pedri,16.0,es  ESP,CM,18-167,73,51,0,5,18,33,4,51,1,1,100.0,1,1,36,127,66,5,4,0,1,0,48,42,87.5,2
4,Óscar Mingueza,28.0,es  ESP,CM,21-363,17,18,1,3,12,5,1,17,0,0,,0,0,14,62,47,2,1,1,0,0,15,15,100.0,0
5,Frenkie de Jong,21.0,nl  NED,CM,23-364,90,61,3,9,30,26,7,60,2,2,100.0,2,0,36,221,120,5,2,1,1,1,52,42,80.8,8
6,Sergio Busquets,5.0,es  ESP,DM,32-299,90,69,3,17,38,16,1,67,2,2,100.0,2,0,38,107,55,2,1,0,0,0,55,50,90.9,1
7,Jordi Alba,18.0,es  ESP,WB,32-051,90,88,4,18,35,39,1,83,2,2,100.0,2,0,57,136,79,2,2,0,0,0,75,68,90.7,5
8,Ousmane Dembélé,11.0,fr  FRA,WB,23-361,81,65,2,13,22,37,5,63,1,2,50.0,1,0,44,351,262,11,5,1,2,0,53,47,88.7,3
9,Sergiño Dest,2.0,us  USA,WB,20-189,9,11,2,2,3,6,0,11,2,2,100.0,2,0,12,21,9,0,0,0,0,0,9,8,88.9,1
10,Clément Lenglet,15.0,fr  FRA,CB,25-328,90,90,10,27,58,10,0,89,1,1,100.0,1,0,66,338,237,12,3,0,1,0,68,68,100.0,0
11,Gerard Piqué,3.0,es  ESP,CB,34-098,90,81,11,32,51,4,1,80,0,0,,0,0,57,348,211,7,0,0,0,0,62,61,98.4,0
12,Ronald Araújo,4.0,uy  URU,CB,22-065,45,29,2,10,16,4,1,28,0,0,,0,0,20,105,69,4,1,0,0,0,24,23,95.8,0
13,Sergi Roberto,20.0,es  ESP,CB,29-093,39,33,2,12,21,4,0,29,1,1,100.0,1,0,26,150,116,2,1,0,0,1,28,26,92.9,0
14,Riqui Puig,12.0,es  ESP,CB,21-271,6,15,0,1,10,8,0,15,0,0,,0,0,13,125,58,3,3,0,0,0,15,14,93.3,0
15,Marc-André ter Stegen,1.0,de  GER,GK,29-011,90,27,24,27,0,0,0,23,0,0,,0,0,13,60,35,0,0,0,0,0,15,15,100.0,0
16,16 Players,,,,,990,753,64,189,364,253,28,721,17,19,89.5,17,1,503,2467,1547,66,28,3,5,6,650,577,88.8,33
