,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,FW,33-321,90,42,52,80.8,700,241,25,29,86.2,11,11,100.0,6,9,66.7,0,0.3,3,3,4,1,5
1,Antoine Griezmann,7.0,fr  FRA,FW,30-051,80,38,44,86.4,636,88,20,23,87.0,15,17,88.2,3,3,100.0,0,0.0,1,1,0,0,0
2,Martin Braithwaite,9.0,dk  DEN,FW,29-340,10,2,3,66.7,12,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0,0,0,0,0
3,Pedri,16.0,es  ESP,CM,18-167,73,35,42,83.3,656,67,19,21,90.5,8,10,80.0,8,9,88.9,0,0.0,1,1,0,0,2
4,Óscar Mingueza,28.0,es  ESP,CM,21-363,17,15,16,93.8,299,37,5,5,100.0,8,9,88.9,2,2,100.0,0,0.0,0,0,0,0,1
5,Frenkie de Jong,21.0,nl  NED,CM,23-364,90,44,54,81.5,643,167,24,30,80.0,14,14,100.0,3,4,75.0,0,0.7,4,3,1,1,3
6,Sergio Busquets,5.0,es  ESP,DM,32-299,90,49,59,83.1,772,221,25,30,83.3,20,21,95.2,3,7,42.9,0,0.1,1,4,0,0,2
7,Jordi Alba,18.0,es  ESP,WB,32-051,90,72,80,90.0,1213,306,42,45,93.3,18,20,90.0,10,13,76.9,0,0.0,0,4,3,0,6
8,Ousmane Dembélé,11.0,fr  FRA,WB,23-361,81,44,49,89.8,698,148,24,26,92.3,17,18,94.4,3,3,100.0,1,0.7,2,1,1,0,3
9,Sergiño Dest,2.0,us  USA,WB,20-189,9,9,9,100.0,129,6,7,7,100.0,2,2,100.0,0,0,,0,0.0,0,0,0,0,0
10,Clément Lenglet,15.0,fr  FRA,CB,25-328,90,74,79,93.7,1389,426,35,36,97.2,30,31,96.8,9,12,75.0,0,0.0,0,10,0,0,7
11,Gerard Piqué,3.0,es  ESP,CB,34-098,90,67,72,93.1,1674,354,10,11,90.9,35,36,97.2,22,25,88.0,0,0.0,0,10,0,0,4
12,Ronald Araújo,4.0,uy  URU,CB,22-065,45,24,26,92.3,517,110,7,7,100.0,13,13,100.0,4,6,66.7,0,0.0,0,1,0,0,0
13,Sergi Roberto,20.0,es  ESP,CB,29-093,39,29,31,93.5,424,118,19,19,100.0,7,8,87.5,3,4,75.0,0,0.0,0,4,0,0,0
14,Riqui Puig,12.0,es  ESP,CB,21-271,6,13,14,92.9,258,43,6,6,100.0,5,6,83.3,2,2,100.0,0,0.0,0,2,0,0,0
15,Marc-André ter Stegen,1.0,de  GER,GK,29-011,90,20,27,74.1,606,284,0,0,,8,8,100.0,11,18,61.1,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,577,657,87.8,10626,2616,270,297,90.9,211,225,93.8,89,117,76.1,1,1.9,12,44,9,2,33
