,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Lionel Messi,10.0,ar  ARG,FW,33-321,90,52,42,10,2,0,12,1,1,4,1,1,0,39,4,9,44,7,1,0,0,42,0,1,4,1
1,Antoine Griezmann,7.0,fr  FRA,FW,30-051,80,44,44,0,0,0,10,1,1,0,0,0,0,36,3,5,34,7,1,0,2,38,0,0,1,2
2,Martin Braithwaite,9.0,dk  DEN,FW,29-340,10,3,3,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0,0,2,0,0,1,0
3,Pedri,16.0,es  ESP,CM,18-167,73,42,42,0,0,0,12,2,0,0,0,0,0,36,2,4,6,34,2,0,0,35,0,0,2,2
4,Óscar Mingueza,28.0,es  ESP,CM,21-363,17,16,15,1,1,0,0,0,1,0,0,0,0,15,0,1,2,14,0,0,0,15,0,0,0,0
5,Frenkie de Jong,21.0,nl  NED,CM,23-364,90,54,53,1,0,0,14,1,1,1,1,0,0,45,5,4,3,50,0,0,0,44,0,0,3,4
6,Sergio Busquets,5.0,es  ESP,DM,32-299,90,59,57,2,2,0,13,0,0,0,0,0,0,41,7,11,9,48,2,0,0,49,0,0,4,0
7,Jordi Alba,18.0,es  ESP,WB,32-051,90,80,75,5,1,0,5,0,2,0,0,0,0,63,8,9,64,10,2,4,0,72,0,1,1,2
8,Ousmane Dembélé,11.0,fr  FRA,WB,23-361,81,49,46,3,1,0,6,0,1,1,0,0,0,45,4,0,15,33,0,1,0,44,0,1,1,3
9,Sergiño Dest,2.0,us  USA,WB,20-189,9,9,9,0,0,0,1,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,0,0
10,Clément Lenglet,15.0,fr  FRA,CB,25-328,90,79,78,1,1,0,7,3,1,0,0,0,0,71,2,6,71,5,1,0,0,74,0,0,1,1
11,Gerard Piqué,3.0,es  ESP,CB,34-098,90,72,71,1,1,0,3,3,0,0,0,0,0,51,8,13,4,64,2,0,1,67,0,2,1,0
12,Ronald Araújo,4.0,uy  URU,CB,22-065,45,26,25,1,1,0,4,2,0,0,0,0,0,23,0,3,1,25,0,0,0,24,0,1,0,0
13,Sergi Roberto,20.0,es  ESP,CB,29-093,39,31,27,4,0,0,7,0,0,0,0,0,0,25,4,2,6,21,0,4,0,29,0,0,0,0
14,Riqui Puig,12.0,es  ESP,CB,21-271,6,14,14,0,0,0,3,1,0,0,0,0,0,13,1,0,2,12,0,0,0,13,0,0,1,0
15,Marc-André ter Stegen,1.0,de  GER,GK,29-011,90,27,22,5,2,0,0,1,0,0,0,0,0,13,3,11,4,18,0,0,5,20,1,1,1,0
16,16 Players,,,,,990,657,623,34,12,0,98,15,8,6,2,1,0,527,51,79,266,359,11,9,8,577,1,7,21,15
