,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,José Luis Morales,11.0,es  ESP,"FW,LM",33-292,89,42,1,4,20,20,3,38,0,1,0.0,0,0,28,194,129,3,1,0,0,2,37,29,78.4,5
1,Giorgi Kochorashvili,43.0,ge  GEO,LM,21-316,1,3,0,0,0,3,0,3,0,0,,0,0,1,7,7,1,0,0,0,0,3,2,66.7,0
2,Roger Martí,9.0,es  ESP,FW,30-128,74,22,0,1,9,12,3,19,1,1,100.0,1,0,12,68,31,2,0,0,0,0,23,13,56.5,3
3,Sergio León,7.0,es  ESP,FW,32-125,16,7,1,1,1,5,2,7,0,1,0.0,0,0,4,8,5,0,0,0,0,0,7,4,57.1,1
4,Enis Bardhi,10.0,mk  MKD,LM,25-313,60,37,0,3,24,15,1,33,1,3,33.3,1,0,30,208,154,10,3,0,1,0,34,28,82.4,2
5,Dani Gómez,21.0,es  ESP,FW,22-285,30,14,0,2,5,8,2,13,2,3,66.7,2,0,12,32,14,0,0,0,1,0,21,10,47.6,3
6,Jorge de Frutos,18.0,es  ESP,RM,24-080,90,41,0,7,15,25,4,40,4,6,66.7,4,0,34,201,138,3,1,0,2,2,37,26,70.3,7
7,Gonzalo Melero,22.0,es  ESP,DM,27-129,90,46,1,15,26,8,2,46,1,1,100.0,1,1,32,138,53,1,0,0,0,1,36,31,86.1,1
8,Rober,4.0,es  ESP,"DM,CB",26-084,90,56,6,24,32,4,1,55,0,0,,0,0,31,174,84,3,1,0,1,0,38,36,94.7,1
9,Toño,3.0,es  ESP,LB,31-185,90,39,1,10,19,13,1,38,0,2,0.0,0,0,33,199,120,3,2,0,0,1,31,29,93.5,1
10,Óscar Duarte,6.0,cr  CRC,CB,31-342,60,41,10,24,17,1,0,41,0,0,,0,0,26,141,84,1,0,0,0,0,31,31,100.0,0
11,Mickael Malsa,12.0,mq  MTQ,DM,25-211,30,19,0,7,12,3,1,19,1,1,100.0,1,0,13,75,21,0,0,0,0,1,10,9,90.0,0
12,Rúben Vezo,14.0,pt  POR,CB,27-016,90,58,9,28,35,0,0,56,0,0,,0,0,39,285,179,1,0,0,0,0,43,43,100.0,0
13,Jorge Miramón,20.0,es  ESP,RB,31-343,74,54,4,18,26,16,0,45,0,0,,0,0,34,219,135,6,2,0,0,0,37,37,100.0,0
14,Coke,23.0,es  ESP,RB,34-015,16,15,1,6,7,4,1,14,1,1,100.0,1,0,9,26,4,0,0,0,0,0,10,10,100.0,0
15,Aitor Fernández,13.0,es  ESP,GK,30-008,90,29,25,29,0,0,0,20,0,0,,0,0,11,25,14,0,0,0,0,0,9,9,100.0,0
16,16 Players,,,,,990,523,59,179,248,137,21,487,11,20,55.0,11,1,349,2000,1172,34,10,0,5,7,407,347,85.3,24
