,Possession_Levante,Possession_Barcelona
0,39%,61%
1,Passing Accuracy,Passing Accuracy
2,347 of 419 —  83%,88%  — 577 of 657
3,Shots on Target,Shots on Target
4,6 of 16 —  38%,29%  — 5 of 17
5,Saves,Saves
6,2 of 5 —  40%,50%  — 3 of 6
7,Cards,Cards
8,,
