,Levante (4-4-2),Levante (4-4-2).1
0,13,Aitor Fernández
1,3,Toño
2,4,Rober
3,6,Óscar Duarte
4,9,Roger Martí
5,10,Enis Bardhi
6,11,José Luis Morales
7,14,Rúben Vezo
8,18,Jorge de Frutos
9,20,Jorge Miramón
10,22,Gonzalo Melero
11,Bench,Bench
12,34,Cárdenas
13,2,Son
14,7,Sergio León
15,12,Mickael Malsa
16,15,Sergio Postigo
17,16,Rubén Rochina
18,19,Carlos Clerc
19,21,Dani Gómez
20,23,Coke
21,25,Cheick Doukouré
22,29,Álex Cantero
23,43,Giorgi Kochorashvili
