,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,José Luis Morales,11.0,es  ESP,"FW,LM",33-292,89,32,28,4,0,0,16,0,1,3,1,2,0,20,5,7,3,28,0,1,0,21,0,0,1,1
1,Giorgi Kochorashvili,43.0,ge  GEO,LM,21-316,1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
2,Roger Martí,9.0,es  ESP,FW,30-128,74,17,14,3,0,0,7,0,0,0,0,0,0,14,1,2,3,14,0,0,0,13,0,0,0,1
3,Sergio León,7.0,es  ESP,FW,32-125,16,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0
4,Enis Bardhi,10.0,mk  MKD,LM,25-313,60,32,28,4,0,0,7,1,1,4,0,2,0,27,0,5,5,27,0,0,0,30,0,0,0,0
5,Dani Gómez,21.0,es  ESP,FW,22-285,30,10,9,1,0,0,7,0,0,0,0,0,0,6,4,0,0,9,0,0,0,8,0,0,1,0
6,Jorge de Frutos,18.0,es  ESP,RM,24-080,90,30,29,1,0,0,8,4,6,1,0,1,0,14,6,10,3,26,0,0,1,17,0,2,1,3
7,Gonzalo Melero,22.0,es  ESP,DM,27-129,90,35,35,0,0,0,20,0,0,0,0,0,0,31,2,2,4,31,0,0,0,31,0,0,3,0
8,Rober,4.0,es  ESP,"DM,CB",26-084,90,44,43,1,1,0,20,3,0,0,0,0,0,34,4,6,7,37,0,0,0,38,1,0,0,2
9,Toño,3.0,es  ESP,LB,31-185,90,34,32,2,1,0,16,0,1,0,0,0,0,30,3,1,29,4,0,1,0,30,0,0,0,1
10,Óscar Duarte,6.0,cr  CRC,CB,31-342,60,34,34,0,0,0,10,5,0,0,0,0,0,27,2,5,18,15,0,0,0,28,0,0,2,2
11,Mickael Malsa,12.0,mq  MTQ,DM,25-211,30,14,14,0,0,0,6,0,0,0,0,0,0,12,0,2,2,12,0,0,0,13,0,0,0,0
12,Rúben Vezo,14.0,pt  POR,CB,27-016,90,52,50,2,2,0,4,3,0,0,0,0,0,43,3,6,8,41,2,0,1,47,0,0,2,0
13,Jorge Miramón,20.0,es  ESP,RB,31-343,74,48,39,9,1,0,11,3,5,0,0,0,0,27,11,10,2,38,0,8,0,38,0,0,1,3
14,Coke,23.0,es  ESP,RB,34-015,16,9,8,1,0,0,5,1,0,0,0,0,0,5,2,2,1,6,1,1,0,9,0,0,0,0
15,Aitor Fernández,13.0,es  ESP,GK,30-008,90,24,15,9,0,0,4,0,0,0,0,0,0,17,0,7,2,18,0,0,3,20,0,0,0,0
16,16 Players,,,,,990,419,382,37,5,0,143,20,14,8,1,5,0,310,43,66,87,310,3,11,5,347,1,2,11,13
