,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,23,Clément Lenglet,Barcelona,Saved,27.0,Left Foot,,Pedri,Pass (Live),Ousmane Dembélé,Pass (Live)
1,28,Jordi Alba,Barcelona,Off Target,13.0,Left Foot,Volley,Lionel Messi,Pass (Live),Ronald Araújo,Pass (Live)
2,30,Enis Bardhi,Levante,Saved,11.0,Right Foot,Deflected,,,,
3,39,Ronald Araújo,Barcelona,Wayward,4.0,Head,,Lionel Messi,Pass (Dead),Ousmane Dembélé,Pass (Live)
4,45,Sergio Busquets,Barcelona,Off Target,8.0,Head,,Lionel Messi,Pass (Live),Frenkie de Jong,Pass (Live)
5,,,,,,,,,,,
6,51,Roger Martí,Levante,Saved,12.0,Head,,Enis Bardhi,Pass (Live),Toño,Pass (Live)
7,56,Frenkie de Jong,Barcelona,Off Target,21.0,Left Foot,Lob,Clément Lenglet,Pass (Live),Sergio Busquets,Pass (Live)
8,62,Mickael Malsa,Levante,Saved,24.0,Right Foot,,Jorge de Frutos,Pass (Live),Mickael Malsa,Pass (Live)
9,64,Ousmane Dembélé,Barcelona,Goal,14.0,Right Foot,,,,,
10,73,Rober,Levante,Wayward,10.0,Head,,José Luis Morales,Pass (Dead),,
11,73,Jorge de Frutos,Levante,Off Target,27.0,Left Foot,,Mickael Malsa,Pass (Live),,
12,74,Dani Gómez,Levante,Blocked,26.0,Right Foot,,Dani Gómez,Dribble,Roger Martí,Pass (Live)
13,89,Gerard Piqué,Barcelona,Off Target,7.0,Head,,Frenkie de Jong,Pass (Dead),Riqui Puig,Pass (Live)
