,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,29,29,2507,27.9,3,2,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.2,4.8,0.08,0.11,0.20,0.06,0.17
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.4,3.9,0.01,0.09,0.11,0.01,0.11
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,16.6,0.57,0.10,0.67,0.57,0.67
3,Che Adams,sct  SCO,FW,Southampton,23,1996,30,12,1111,12.3,4,2,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4.0,4.0,1.2,5.2,0.32,0.10,0.42,0.32,0.42
4,Adrián,es  ESP,GK,Liverpool,32,1987,11,9,875,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
5,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,24,18,1452,16.1,16,3,14,2,3,1,0,0.99,0.19,1.18,0.87,1.05,14.0,11.8,2.4,14.2,0.87,0.15,1.02,0.73,0.88
6,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.03,0.11,0.07,0.11
7,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,29,29,2503,27.8,2,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,0.6,3.0,0.09,0.02,0.11,0.09,0.11
8,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,20,9,867,9.6,0,3,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.6,0.6,2.0,2.6,0.06,0.20,0.27,0.06,0.27
9,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,33,33,2957,32.9,2,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,1.1,1.1,2.2,0.03,0.03,0.07,0.03,0.07
