,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-196,90,0,0,0,1,3,2,4,0,0,0,0,0,3,0,0,
1,Antoine Griezmann,7.0,fr  FRA,LW,29-291,90,0,0,0,1,1,0,0,2,1,0,0,0,6,1,1,50.0
2,Ousmane Dembélé,11.0,fr  FRA,RW,23-236,74,0,0,0,1,1,1,1,2,1,0,0,0,6,1,0,100.0
3,Martin Braithwaite,9.0,dk  DEN,RW,29-215,16,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,66.7
4,Pedri,16.0,es  ESP,CM,18-042,90,0,0,0,1,3,0,1,0,0,0,0,0,6,0,0,
5,Frenkie de Jong,21.0,nl  NED,CM,23-239,90,0,0,0,0,1,0,0,2,1,0,0,0,7,1,0,100.0
6,Sergio Busquets,5.0,es  ESP,DM,32-174,90,0,0,0,2,0,0,0,0,2,0,0,0,5,1,2,33.3
7,Jordi Alba,18.0,es  ESP,LB,31-291,90,0,0,0,0,0,0,2,2,0,0,0,0,11,0,0,
8,Clément Lenglet,15.0,fr  FRA,CB,25-203,90,1,0,0,0,2,1,0,0,0,0,0,0,3,1,0,100.0
9,Ronald Araújo,4.0,uy  URU,CB,21-305,90,0,0,0,0,0,0,0,1,3,0,0,0,8,1,0,100.0
10,Sergiño Dest,2.0,us  USA,RB,20-064,74,0,0,0,0,0,0,2,1,0,0,0,0,3,0,1,0.0
11,Óscar Mingueza,28.0,es  ESP,RB,21-238,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
12,Marc-André ter Stegen,1.0,de  GER,GK,28-251,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
13,13 Players,,,,,990,1,0,0,6,11,4,10,11,8,0,0,0,67,8,6,57.1
