,Athletic Club (4-4-2),Athletic Club (4-4-2).1
0,1,Unai Simón
1,3,Unai Núñez
2,4,Iñigo Martínez
3,6,Mikel Vesga
4,9,Iñaki Williams
5,10,Iker Muniain
6,17,Yuri Berchiche
7,18,Óscar de Marcos
8,21,Ander Capa
9,22,Raúl García
10,27,Unai Vencedor Paris
11,Bench,Bench
12,13,Jokin Ezkieta
13,2,Jon Morcillo
14,7,Ibai Gómez
15,11,Iñigo Córdoba
16,12,Álex Berenguer
17,14,Dani García
18,15,Iñigo Lekue
19,16,Oihan Sancet
20,19,Kenan Kodro
21,20,Asier Villalibre
22,24,Mikel Balenziaga
23,26,Iñigo Vicente
