,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lionel Messi,10.0,ar  ARG,FW,33-196,90,2,0,0,0,5,2,0,0,84,17,1,0,1,0.6,0.6,0.0,6,2,57,68,83.8,9,75,15,3,5
1,Antoine Griezmann,7.0,fr  FRA,LW,29-291,90,0,1,0,0,3,2,0,0,54,20,4,2,2,0.3,0.3,0.8,3,1,35,41,85.4,0,32,3,0,1
2,Ousmane Dembélé,11.0,fr  FRA,RW,23-236,74,0,0,0,0,2,2,0,0,58,12,1,2,1,0.1,0.1,0.2,5,0,38,50,76.0,6,53,18,5,7
3,Martin Braithwaite,9.0,dk  DEN,RW,29-215,16,0,0,0,0,0,0,0,0,7,4,0,1,3,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
4,Pedri,16.0,es  ESP,CM,18-042,90,1,1,0,0,1,1,0,0,71,19,1,0,2,0.2,0.2,0.3,4,1,55,61,90.2,2,50,2,0,1
5,Frenkie de Jong,21.0,nl  NED,CM,23-239,90,0,1,0,0,0,0,0,0,78,9,1,2,3,0.0,0.0,0.2,2,1,64,67,95.5,4,58,9,0,0
6,Sergio Busquets,5.0,es  ESP,DM,32-174,90,0,0,0,0,0,0,0,0,84,14,4,0,0,0.0,0.0,0.0,1,0,69,76,90.8,3,52,1,0,0
7,Jordi Alba,18.0,es  ESP,LB,31-291,90,0,0,0,0,1,1,0,0,107,8,0,2,1,0.0,0.0,0.3,2,1,90,101,89.1,11,77,9,0,0
8,Clément Lenglet,15.0,fr  FRA,CB,25-203,90,0,0,0,0,0,0,1,0,70,9,1,0,0,0.0,0.0,0.0,0,0,62,65,95.4,10,53,5,0,0
9,Ronald Araújo,4.0,uy  URU,CB,21-305,90,0,0,0,0,0,0,0,0,66,11,4,1,2,0.0,0.0,0.0,0,0,50,55,90.9,2,43,2,0,0
10,Sergiño Dest,2.0,us  USA,RB,20-064,74,0,0,0,0,1,1,0,0,68,13,1,1,1,0.4,0.4,0.0,0,0,54,61,88.5,4,45,6,0,0
11,Óscar Mingueza,28.0,es  ESP,RB,21-238,16,0,0,0,0,0,0,0,0,10,4,0,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,5,0,0,0
12,Marc-André ter Stegen,1.0,de  GER,GK,28-251,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,0,22,0,0,0
13,13 Players,,,,,990,3,3,0,0,13,9,1,0,787,140,18,11,17,1.7,1.7,1.7,23,6,610,685,89.1,51,567,70,8,14
