,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Raúl García,22.0,es  ESP,FW,34-179,79,1,1,1,0,0,0,2,0.0,2,20,5,25.0,3,9,8,2,0,0,2,0,1,2,0
1,Jon Morcillo,2.0,es  ESP,FW,22-113,11,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
2,Iñaki Williams,9.0,es  ESP,FW,26-205,90,0,0,0,0,0,0,0,,0,7,0,0.0,1,2,4,0,0,0,0,0,0,0,0
3,Iker Muniain,10.0,es  ESP,LM,28-018,90,1,1,1,0,0,0,0,,0,8,3,37.5,2,2,4,0,0,0,0,1,2,0,0
4,Óscar de Marcos,18.0,es  ESP,RM,31-267,64,0,0,0,0,0,0,1,0.0,1,7,0,0.0,2,2,3,1,0,0,1,0,0,1,0
5,Álex Berenguer,12.0,es  ESP,RM,25-186,26,1,1,1,0,0,0,0,,0,8,2,25.0,4,2,2,2,0,0,2,1,2,0,0
6,Mikel Vesga,6.0,es  ESP,DM,27-230,64,0,0,0,0,0,0,0,,0,14,3,21.4,8,4,2,0,0,0,0,0,0,2,0
7,Dani García,14.0,es  ESP,DM,30-227,26,0,0,0,0,0,0,0,,0,4,0,0.0,0,3,1,0,0,0,0,0,0,0,0
8,Unai Vencedor Paris,27.0,es  ESP,DM,20-052,90,3,2,2,1,0,1,2,50.0,1,17,4,23.5,5,12,0,1,0,0,1,1,4,2,0
9,Yuri Berchiche,17.0,es  ESP,LB,30-331,31,1,1,1,0,0,0,2,0.0,2,4,2,50.0,3,1,0,1,0,0,1,0,1,0,0
10,Mikel Balenziaga,24.0,es  ESP,LB,32-312,59,0,0,0,0,0,0,1,0.0,1,15,4,26.7,1,9,5,2,0,0,2,1,1,0,0
11,Iñigo Martínez,4.0,es  ESP,CB,29-234,90,6,2,6,0,0,3,4,75.0,1,11,6,54.5,11,0,0,1,0,0,1,0,6,4,0
12,Unai Núñez,3.0,es  ESP,CB,23-342,90,2,2,2,0,0,1,1,100.0,0,5,3,60.0,4,1,0,1,0,0,1,1,3,2,0
13,Ander Capa,21.0,es  ESP,RB,28-333,90,1,1,1,0,0,1,1,100.0,0,9,5,55.6,6,3,0,2,0,0,2,0,1,4,0
14,Unai Simón,1.0,es  ESP,GK,23-209,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
15,15 Players,,,,,990,16,11,15,1,0,6,14,42.9,8,130,37,28.5,50,50,30,13,0,0,13,5,21,17,0
