,Possession_Athletic Club,Possession_Barcelona
0,43%,57%
1,Passing Accuracy,Passing Accuracy
2,436 of 517 —  84%,89%  — 610 of 685
3,Shots on Target,Shots on Target
4,4 of 8 —  50%,69%  — 9 of 13
5,Saves,Saves
6,6 of 9 —  66%,50%  — 2 of 4
7,Cards,Cards
8,,
