,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Paco Alcácer,17.0,es  ESP,FW,27-238,59,13,0,3,8,4,4,11,0,0,,0,0,7,41,28,1,0,1,0,1,20,9,45.0,4
1,Francis Coquelin,19.0,fr  FRA,"FW,CM",29-347,31,19,0,2,13,7,2,19,0,0,,0,0,15,70,23,1,2,0,0,0,21,15,71.4,0
2,Gerard Moreno,7.0,es  ESP,FW,29-018,90,51,0,4,29,19,7,49,1,4,25.0,2,0,42,82,27,0,0,0,2,1,57,42,73.7,11
3,Manu Trigueros,14.0,es  ESP,"LM,FW",29-190,64,32,2,7,16,10,0,32,3,4,75.0,3,0,26,67,27,2,0,0,2,2,28,24,85.7,6
4,Daniel Parejo,5.0,es  ESP,CM,32-009,90,79,1,13,55,15,0,70,2,2,100.0,2,0,52,196,93,4,1,0,0,1,59,56,94.9,2
5,Étienne Capoue,25.0,fr  FRA,CM,32-288,75,43,1,9,29,6,1,42,1,1,100.0,1,0,33,160,63,3,1,0,0,0,38,34,89.5,0
6,Moi Gómez,23.0,es  ESP,"CM,LM",26-306,15,12,0,1,6,7,1,11,0,0,,0,0,8,49,20,1,1,0,0,0,12,9,75.0,2
7,Samuel Chukwueze,11.0,ng  NGA,RM,21-338,88,37,0,1,19,22,5,35,4,7,57.1,4,0,35,176,124,8,3,1,0,4,40,31,77.5,7
8,Yeremi Pino,30.0,es  ESP,RM,18-187,2,5,0,0,1,5,0,5,0,1,0.0,0,0,3,21,0,0,1,0,0,0,6,4,66.7,2
9,Alberto Moreno,18.0,es  ESP,LB,28-294,59,33,3,12,17,8,1,31,1,1,100.0,1,1,20,128,77,4,1,1,0,0,21,20,95.2,2
10,Pervis Estupiñán,15.0,ec  ECU,LB,23-094,31,18,0,2,6,11,3,17,0,0,,0,0,15,86,57,3,1,2,2,1,16,14,87.5,5
11,Pau Torres,4.0,es  ESP,CB,24-099,90,59,6,26,33,7,1,57,2,2,100.0,2,0,43,298,200,7,3,0,2,1,46,44,95.7,1
12,Raúl Albiol,3.0,es  ESP,CB,35-233,88,57,10,35,27,0,0,54,0,0,,0,0,34,392,251,7,0,0,0,0,38,37,97.4,0
13,Mario Gaspar,2.0,es  ESP,RB,30-152,2,9,0,0,5,4,1,6,0,0,,0,0,4,15,0,0,0,0,1,0,6,4,66.7,0
14,Juan Foyth,8.0,ar  ARG,"RB,CB",23-103,90,69,2,20,48,11,0,57,3,4,75.0,3,1,45,337,214,7,3,0,0,2,43,37,86.0,2
15,Sergio Asenjo,1.0,es  ESP,GK,31-301,90,39,37,39,0,0,0,32,0,0,,0,0,22,136,43,0,0,0,0,0,24,23,95.8,0
16,16 Players,,,,,964,575,62,174,312,136,26,528,17,26,65.4,18,2,404,2254,1247,48,17,5,9,13,475,403,84.8,44
