,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Antoine Griezmann,7.0,fr  FRA,FW,30-035,79,2,0,0,0,5,3,1,0,32,25,1,1,2,1.3,1.3,0.2,6,0,17,21,81.0,4,21,1,1,1
1,Ousmane Dembélé,11.0,fr  FRA,FW,23-345,11,0,0,0,0,0,0,0,0,3,7,0,0,0,0.0,0.0,0.4,1,0,1,2,50.0,1,4,2,1,2
2,Lionel Messi,10.0,ar  ARG,FW,33-305,90,0,0,0,0,3,1,0,0,61,18,1,0,0,0.2,0.2,0.0,3,0,44,49,89.8,4,54,9,5,7
3,Pedri,16.0,es  ESP,CM,18-151,63,0,0,0,0,0,0,0,0,44,31,3,3,0,0.0,0.0,0.0,0,0,32,35,91.4,1,29,4,0,2
4,Ilaix,27.0,es  ESP,CM,18-096,27,0,0,0,0,2,0,0,0,21,16,0,3,1,0.3,0.3,0.0,1,0,9,10,90.0,1,10,2,1,1
5,Frenkie de Jong,21.0,nl  NED,"CM,DM",23-348,90,0,0,0,0,3,1,0,0,74,22,2,0,0,1.3,1.3,0.5,5,0,53,61,86.9,6,52,9,5,5
6,Sergio Busquets,5.0,es  ESP,DM,32-283,87,0,0,0,0,1,0,1,0,73,28,5,1,0,0.1,0.1,0.0,1,1,64,66,97.0,4,45,4,0,0
7,Ronald Araújo,4.0,uy  URU,CB,22-049,3,0,0,0,0,0,0,0,0,6,3,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,1
8,Jordi Alba,18.0,es  ESP,WB,32-035,90,0,0,0,0,0,0,0,0,73,20,3,3,1,0.0,0.0,0.8,4,0,51,65,78.5,5,51,2,1,2
9,Sergiño Dest,2.0,us  USA,WB,20-173,45,0,0,0,0,1,0,0,0,30,5,0,0,1,0.1,0.1,0.0,1,0,22,25,88.0,2,27,3,2,3
10,Sergi Roberto,20.0,es  ESP,"WB,CM",29-077,45,0,0,0,0,0,0,0,0,38,7,0,0,2,0.0,0.0,0.3,2,0,30,35,85.7,1,20,1,0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-312,90,0,0,0,0,0,0,0,0,86,22,1,6,2,0.0,0.0,0.0,0,0,73,77,94.8,1,68,2,1,1
12,Gerard Piqué,3.0,es  ESP,CB,34-082,90,0,0,0,0,0,0,0,0,56,11,1,0,3,0.0,0.0,0.0,0,0,44,49,89.8,1,38,1,0,0
13,Óscar Mingueza,28.0,es  ESP,"CB,WB",21-347,90,0,1,0,0,0,0,1,0,88,22,3,1,1,0.0,0.0,0.2,1,1,73,84,86.9,3,64,0,0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-360,90,0,0,0,0,0,0,0,0,47,0,0,0,0,0.0,0.0,0.0,0,0,40,45,88.9,0,31,0,0,0
15,15 Players,,,,,990,2,1,0,0,15,5,3,0,732,237,21,18,13,3.3,3.3,2.4,25,2,556,628,88.5,34,516,40,17,25
