,Villarreal (4-4-2),Villarreal (4-4-2).1
0,1,Sergio Asenjo
1,3,Raúl Albiol
2,4,Pau Torres
3,5,Daniel Parejo
4,7,Gerard Moreno
5,8,Juan Foyth
6,11,Samuel Chukwueze
7,14,Manu Trigueros
8,17,Paco Alcácer
9,18,Alberto Moreno
10,25,Étienne Capoue
11,Bench,Bench
12,13,Gerónimo Rulli
13,2,Mario Gaspar
14,6,Ramiro Funes Mori
15,9,Carlos Bacca
16,15,Pervis Estupiñán
17,19,Francis Coquelin
18,21,Jaume Costa
19,23,Moi Gómez
20,24,Alfonso Pedraza
21,30,Yeremi Pino
22,32,Alex Baena
23,34,Fernando Niño
