,Possession_Villarreal,Possession_Barcelona
0,44%,56%
1,Passing Accuracy,Passing Accuracy
2,403 of 484 —  83%,89%  — 556 of 628
3,Shots on Target,Shots on Target
4,4 of 10 —  40%,33%  — 5 of 15
5,Saves,Saves
6,3 of 5 —  60%,75%  — 3 of 4
7,Cards,Cards
8,,
