,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lucas Pérez,7.0,es  ESP,FW,32-156,80,0,0,0,1,0,0,2,0,0,0,0,0,5,0,3,0.0
1,Borja Sainz,29.0,es  ESP,FW,20-012,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2,Joselu,9.0,es  ESP,FW,30-323,80,0,0,0,1,0,0,0,1,1,0,0,0,2,8,1,88.9
3,Deyverson,14.0,br  BRA,FW,29-281,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0.0
4,Iñigo Córdoba,17.0,es  ESP,LM,23-337,45,0,0,0,3,1,0,1,3,2,0,0,0,4,1,1,50.0
5,Luis Rioja,11.0,es  ESP,LM,27-120,45,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,
6,Tomás Pina Isla,8.0,es  ESP,CM,33-122,71,0,0,0,3,0,0,0,3,2,0,0,0,2,0,1,0.0
7,Pere Pons,20.0,es  ESP,CM,27-359,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
8,Rodrigo Battaglia,6.0,ar  ARG,CM,29-216,90,0,0,0,1,0,0,0,1,3,0,0,0,8,1,1,50.0
9,Édgar Méndez,16.0,es  ESP,RM,31-042,90,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,
10,Rubén Duarte,3.0,es  ESP,LB,25-118,90,0,0,0,0,3,0,3,1,1,0,0,0,11,0,1,0.0
11,Florian Lejeune,22.0,fr  FRA,CB,29-269,90,0,0,0,3,0,0,1,2,2,0,0,0,3,0,1,0.0
12,Tachi,2.0,es  ESP,"CB,RB",23-156,90,1,0,0,2,1,0,0,1,0,0,0,0,6,2,1,66.7
13,Martin Agirregabiria,21.0,es  ESP,RB,24-279,45,1,0,0,1,0,0,0,4,0,0,0,0,2,1,0,100.0
14,Víctor Laguardia,5.0,es  ESP,"CB,RB",31-100,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
15,Fernando Pacheco,1.0,es  ESP,GK,28-271,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
16,16 Players,,,,,990,2,0,0,15,11,0,12,18,12,0,0,0,54,13,12,52.0
