,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,FW,33-234,90,91,0,0,41,56,7,85,1,4,25.0,1,0,64,356,231,10,4,2,0,4,92,82,89.1,9
1,Antoine Griezmann,7.0,fr  FRA,LW,29-329,80,49,2,3,20,28,5,49,0,0,,0,0,30,113,71,5,1,1,0,0,55,41,74.5,9
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-274,10,10,0,0,4,7,0,10,0,0,,0,0,6,33,27,1,1,0,0,0,10,10,100.0,2
3,Francisco Trincão,17.0,pt  POR,RW,21-046,90,57,0,1,23,35,5,56,3,4,75.0,3,0,45,244,138,9,0,2,0,5,62,49,79.0,7
4,Riqui Puig,12.0,es  ESP,CM,21-184,90,117,0,8,70,49,1,115,0,0,,0,0,84,583,294,17,6,1,2,0,115,110,95.7,3
5,Ilaix Moriba,27.0,es  ESP,CM,18-025,63,57,1,6,30,26,2,56,0,0,,0,0,42,211,98,4,4,0,1,2,61,49,80.3,2
6,Pedri,16.0,es  ESP,CM,18-080,27,39,0,4,27,9,0,39,0,0,,0,0,24,100,44,2,0,0,1,0,34,31,91.2,0
7,Sergio Busquets,5.0,es  ESP,DM,32-212,45,70,4,10,49,11,0,67,0,1,0.0,0,1,35,90,43,2,0,0,0,0,53,50,94.3,1
8,Samuel Umtiti,23.0,fr  FRA,CB,27-091,45,46,5,24,23,1,0,45,0,0,,0,0,29,119,56,0,0,0,0,0,36,34,94.4,0
9,Junior Firpo,24.0,es  ESP,LB,24-175,90,67,3,17,34,25,2,61,0,0,,0,0,48,276,166,9,5,0,1,0,62,56,90.3,1
10,Clément Lenglet,15.0,fr  FRA,CB,25-241,90,119,14,42,75,9,1,116,2,2,100.0,2,0,91,415,253,9,1,0,0,0,99,98,99.0,0
11,Frenkie de Jong,21.0,nl  NED,"CB,DM",23-277,71,105,4,35,73,6,0,103,0,0,,0,0,79,513,261,6,2,0,0,2,90,89,98.9,0
12,Miralem Pjanić,8.0,ba  BIH,DM,30-317,19,26,1,9,16,1,0,26,0,0,,0,0,18,85,31,0,0,0,0,0,24,24,100.0,0
13,Óscar Mingueza,28.0,es  ESP,RB,21-276,71,85,5,22,46,20,2,78,0,0,,0,0,63,255,125,5,0,0,1,0,71,66,93.0,2
14,Sergiño Dest,2.0,us  USA,RB,20-102,19,19,1,7,6,6,0,15,0,0,,0,0,10,24,12,0,0,0,0,1,14,13,92.9,2
15,Marc-André ter Stegen,1.0,de  GER,GK,28-289,90,29,28,29,0,0,0,26,0,0,,0,0,18,50,28,0,0,0,0,0,20,20,100.0,0
16,16 Players,,,,,990,986,68,217,537,289,25,947,6,11,54.5,6,1,686,3467,1878,79,24,6,6,14,898,822,91.5,38
