,Possession_Barcelona,Possession_Alavés
0,74%,26%
1,Passing Accuracy,Passing Accuracy
2,822 of 899 —  91%,74%  — 236 of 321
3,Shots on Target,Shots on Target
4,9 of 17 —  53%,33%  — 2 of 6
5,Saves,Saves
6,1 of 2 —  50%,44%  — 4 of 9
7,Cards,Cards
8,,
