,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-234,90,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,
1,Antoine Griezmann,7.0,fr  FRA,LW,29-329,80,0,0,0,2,0,1,1,0,0,0,0,0,6,1,2,33.3
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-274,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Francisco Trincão,17.0,pt  POR,RW,21-046,90,0,0,0,3,1,2,0,1,1,0,0,0,3,2,1,66.7
4,Riqui Puig,12.0,es  ESP,CM,21-184,90,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
5,Ilaix Moriba,27.0,es  ESP,CM,18-025,63,0,0,0,1,2,0,0,0,0,0,0,0,5,2,3,40.0
6,Pedri,16.0,es  ESP,CM,18-080,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
7,Sergio Busquets,5.0,es  ESP,DM,32-212,45,0,0,0,0,2,0,0,1,1,0,0,0,10,0,0,
8,Samuel Umtiti,23.0,fr  FRA,CB,27-091,45,0,0,0,1,0,0,0,2,0,0,0,0,5,3,1,75.0
9,Junior Firpo,24.0,es  ESP,LB,24-175,90,0,0,0,2,2,1,0,1,0,0,0,0,3,0,0,
10,Clément Lenglet,15.0,fr  FRA,CB,25-241,90,0,0,0,1,1,0,0,3,2,0,0,0,8,3,3,50.0
11,Frenkie de Jong,21.0,nl  NED,"CB,DM",23-277,71,0,0,0,0,1,0,0,0,1,0,0,0,10,1,1,50.0
12,Miralem Pjanić,8.0,ba  BIH,DM,30-317,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,Óscar Mingueza,28.0,es  ESP,RB,21-276,71,0,0,0,1,1,1,1,1,0,0,0,0,3,0,1,0.0
14,Sergiño Dest,2.0,us  USA,RB,20-102,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Marc-André ter Stegen,1.0,de  GER,GK,28-289,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16,16 Players,,,,,990,0,0,0,12,14,5,2,9,5,0,0,0,67,12,13,48.0
