,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Lucas Pérez,7.0,es  ESP,FW,32-156,80,1,0,0,1,0,0,0,,0,21,4,19.0,3,5,13,0,0,0,0,0,1,0,0
1,Borja Sainz,29.0,es  ESP,FW,20-012,10,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
2,Joselu,9.0,es  ESP,FW,30-323,80,1,1,0,1,0,1,2,50.0,1,18,3,16.7,3,10,5,0,0,0,0,1,2,1,0
3,Deyverson,14.0,br  BRA,FW,29-281,10,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,2,0,0,2,0,0,0,0
4,Iñigo Córdoba,17.0,es  ESP,LM,23-337,45,2,2,1,1,0,0,0,,0,21,3,14.3,7,11,3,3,0,0,3,3,5,0,0
5,Luis Rioja,11.0,es  ESP,LM,27-120,45,1,0,1,0,0,0,2,0.0,2,11,2,18.2,2,6,3,2,0,0,2,1,2,0,0
6,Tomás Pina Isla,8.0,es  ESP,CM,33-122,71,4,2,2,1,1,1,1,100.0,0,21,5,23.8,6,10,5,2,0,0,2,3,7,0,0
7,Pere Pons,20.0,es  ESP,CM,27-359,19,0,0,0,0,0,0,0,,0,7,1,14.3,1,5,1,0,0,0,0,0,0,0,0
8,Rodrigo Battaglia,6.0,ar  ARG,CM,29-216,90,3,3,1,2,0,1,2,50.0,1,30,7,23.3,11,16,3,1,0,0,1,1,4,0,0
9,Édgar Méndez,16.0,es  ESP,RM,31-042,90,0,0,0,0,0,0,1,0.0,1,14,2,14.3,3,7,4,1,1,0,0,1,1,0,0
10,Rubén Duarte,3.0,es  ESP,LB,25-118,90,2,1,0,2,0,0,1,0.0,1,17,3,17.6,8,9,0,3,1,0,2,1,3,3,0
11,Florian Lejeune,22.0,fr  FRA,CB,29-269,90,3,2,3,0,0,1,1,100.0,0,11,4,36.4,8,3,0,2,1,0,1,2,5,4,0
12,Tachi,2.0,es  ESP,"CB,RB",23-156,90,0,0,0,0,0,0,0,,0,13,3,23.1,8,5,0,2,1,0,1,1,1,3,0
13,Martin Agirregabiria,21.0,es  ESP,RB,24-279,45,0,0,0,0,0,0,0,,0,4,1,25.0,2,2,0,1,1,0,0,4,4,0,0
14,Víctor Laguardia,5.0,es  ESP,"CB,RB",31-100,45,1,1,1,0,0,0,0,,0,5,1,20.0,3,2,0,2,1,0,1,0,1,1,0
15,Fernando Pacheco,1.0,es  ESP,GK,28-271,90,1,0,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0
16,16 Players,,,,,990,19,12,10,8,1,5,11,45.5,6,200,39,19.5,66,93,41,21,6,0,15,18,37,12,0
